,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649566800,2022-04-10 00:00,18.8,65.8,0,{},15.4,24.8,182,S,1013.0,29.91,0.0,0.0,48,5,18.8,65.8,18.8,65.8,18.8,65.8,7.5,45.5,0,0,0,0,10.0,6.0,22.6,36.4,1.0
1,1649570400,2022-04-10 01:00,18.5,65.3,0,{},15.4,24.8,184,S,1013.0,29.9,0.0,0.0,53,33,18.5,65.3,18.5,65.3,18.5,65.3,8.7,47.7,0,0,0,0,10.0,6.0,23.0,37.1,1.0
2,1649574000,2022-04-10 02:00,18.6,65.5,0,{},16.6,26.6,189,S,1012.0,29.89,0.0,0.0,52,20,18.6,65.5,18.6,65.5,18.6,65.5,8.6,47.5,0,0,0,0,10.0,6.0,23.9,38.5,1.0
3,1649577600,2022-04-10 03:00,17.8,64.0,0,{},15.2,24.5,186,S,1012.0,29.87,0.0,0.0,61,2,17.8,64.0,17.8,64.0,17.8,64.0,10.3,50.5,0,0,0,0,10.0,6.0,22.4,36.0,1.0
4,1649581200,2022-04-10 04:00,17.3,63.1,0,{},13.9,22.3,182,S,1011.0,29.84,0.0,0.0,67,55,17.3,63.1,17.3,63.1,17.3,63.1,11.2,52.2,0,0,0,0,10.0,6.0,20.6,33.1,1.0
5,1649584800,2022-04-10 05:00,17.1,62.8,0,{},14.3,23.0,180,S,1010.0,29.83,0.0,0.0,69,18,17.1,62.8,17.1,62.8,17.1,62.8,11.4,52.5,0,0,0,0,10.0,6.0,21.3,34.2,1.0
6,1649588400,2022-04-10 06:00,17.0,62.6,0,{},14.3,23.0,180,S,1010.0,29.81,0.0,0.0,70,12,17.0,62.6,17.0,62.6,17.0,62.6,11.5,52.7,0,0,0,0,10.0,6.0,21.7,34.9,1.0
7,1649592000,2022-04-10 07:00,16.7,62.1,0,{},14.3,23.0,181,S,1010.0,29.82,0.0,0.0,73,5,16.7,62.1,16.7,62.1,16.7,62.1,11.8,53.2,0,0,0,0,10.0,6.0,21.5,34.6,1.0
8,1649595600,2022-04-10 08:00,17.4,63.3,1,{},14.1,22.7,179,S,1010.0,29.83,0.0,0.0,73,0,17.4,63.3,17.4,63.3,17.4,63.3,12.4,54.3,0,0,0,0,10.0,6.0,18.8,30.2,5.0
9,1649599200,2022-04-10 09:00,19.8,67.6,1,{},17.2,27.7,179,S,1010.0,29.83,0.0,0.0,66,9,19.8,67.6,19.8,67.6,19.8,67.6,13.3,55.9,0,0,0,0,10.0,6.0,19.9,32.0,5.0
10,1649602800,2022-04-10 10:00,22.5,72.5,1,{},20.1,32.4,184,S,1010.0,29.83,0.0,0.0,55,4,24.7,76.5,22.5,72.5,24.7,76.5,13.1,55.6,0,0,0,0,10.0,6.0,23.0,37.1,6.0
11,1649606400,2022-04-10 11:00,25.8,78.4,1,{},20.4,32.8,185,S,1010.0,29.81,0.0,0.0,48,5,26.4,79.5,25.8,78.4,26.4,79.5,14.0,57.2,0,0,0,0,10.0,6.0,23.5,37.8,7.0
12,1649610000,2022-04-10 12:00,30.1,86.2,1,{},18.8,30.2,191,SSW,1009.0,29.8,0.0,0.0,41,7,30.4,86.7,30.1,86.2,30.4,86.7,15.5,59.9,0,0,0,0,10.0,6.0,21.7,34.9,8.0
13,1649613600,2022-04-10 13:00,32.1,89.8,1,{},18.1,29.2,192,SSW,1009.0,29.78,0.0,0.0,37,7,32.5,90.5,32.1,89.8,32.5,90.5,15.5,59.9,0,0,0,0,10.0,6.0,20.8,33.5,8.0
14,1649617200,2022-04-10 14:00,31.4,88.5,1,{},17.9,28.8,190,S,1007.0,29.75,0.0,0.0,34,19,31.1,88.0,31.4,88.5,31.1,88.0,13.8,56.8,0,0,0,0,10.0,6.0,20.6,33.1,8.0
15,1649620800,2022-04-10 15:00,32.5,90.5,1,{},17.4,28.1,187,S,1006.0,29.71,0.0,0.0,32,18,32.2,90.0,32.5,90.5,32.2,90.0,13.8,56.8,0,0,0,0,10.0,6.0,20.1,32.4,8.0
16,1649624400,2022-04-10 16:00,33.0,91.4,1,{},17.4,28.1,185,S,1005.0,29.68,0.0,0.0,31,18,32.7,90.9,33.0,91.4,32.7,90.9,13.8,56.8,0,0,0,0,10.0,6.0,20.1,32.4,8.0
17,1649628000,2022-04-10 17:00,32.7,90.9,1,{},17.9,28.8,180,S,1005.0,29.66,0.0,0.0,32,16,32.5,90.5,32.7,90.9,32.5,90.5,13.9,57.0,0,0,0,0,10.0,6.0,20.6,33.1,8.0
18,1649631600,2022-04-10 18:00,29.3,84.7,1,{},22.4,36.0,154,SSE,1005.0,29.68,0.0,0.0,50,14,30.4,86.7,29.3,84.7,30.4,86.7,17.7,63.9,0,0,0,0,10.0,6.0,25.7,41.4,7.0
19,1649635200,2022-04-10 19:00,25.7,78.3,1,{},21.3,34.2,155,SSE,1006.0,29.69,0.0,0.0,60,9,26.9,80.4,25.7,78.3,26.9,80.4,17.4,63.3,0,0,0,0,10.0,6.0,24.4,39.2,7.0
20,1649638800,2022-04-10 20:00,23.0,73.4,0,{},16.6,26.6,137,SE,1005.0,29.67,0.0,0.0,68,14,25.0,77.0,23.0,73.4,25.0,77.0,16.8,62.2,0,0,0,0,10.0,6.0,19.7,31.7,1.0
21,1649642400,2022-04-10 21:00,20.1,68.2,0,{},23.3,37.4,178,S,1009.0,29.78,1.6,0.06,90,56,20.1,68.2,20.1,68.2,20.1,68.2,18.4,65.1,0,64,0,0,10.0,6.0,33.8,54.4,1.0
22,1649646000,2022-04-10 22:00,20.1,68.2,0,{},19.9,32.0,160,SSE,1007.0,29.73,3.9,0.15,89,88,20.1,68.2,20.1,68.2,20.1,68.2,18.3,64.9,1,83,0,0,9.0,5.0,28.9,46.4,1.0
23,1649649600,2022-04-10 23:00,19.7,67.5,0,{},23.3,37.4,175,S,1009.0,29.79,1.0,0.04,90,50,19.7,67.5,19.7,67.5,19.7,67.5,17.9,64.2,1,86,0,0,10.0,6.0,33.8,54.4,1.0
0,1649653200,2022-04-11 00:00,19.2,66.6,0,{},18.3,29.5,168,SSE,1008.0,29.76,0.8,0.03,92,98,19.2,66.6,19.2,66.6,19.2,66.6,17.9,64.2,0,69,0,0,10.0,6.0,26.6,42.8,1.0
1,1649656800,2022-04-11 01:00,19.3,66.7,0,{},19.7,31.7,171,S,1008.0,29.77,3.7,0.15,92,98,19.3,66.7,19.3,66.7,19.3,66.7,18.0,64.4,1,72,0,0,7.0,4.0,28.0,45.0,1.0
2,1649660400,2022-04-11 02:00,19.9,67.8,0,{},20.4,32.8,176,S,1008.0,29.77,0.0,0.0,88,99,19.9,67.8,19.9,67.8,19.9,67.8,17.9,64.2,0,0,0,0,10.0,6.0,26.2,42.1,1.0
3,1649664000,2022-04-11 03:00,20.2,68.4,0,{},19.0,30.6,181,S,1008.0,29.77,0.0,0.0,84,98,20.2,68.4,20.2,68.4,20.2,68.4,17.4,63.3,0,0,0,0,10.0,6.0,24.4,39.2,1.0
4,1649667600,2022-04-11 04:00,20.2,68.4,0,{},14.8,23.8,182,S,1008.0,29.77,0.1,0.0,85,99,20.2,68.4,20.2,68.4,20.2,68.4,17.6,63.7,1,85,0,0,9.0,5.0,19.5,31.3,1.0
5,1649671200,2022-04-11 05:00,20.0,68.0,0,{},12.8,20.5,184,S,1008.0,29.77,0.0,0.0,87,97,20.0,68.0,20.0,68.0,20.0,68.0,17.8,64.0,0,0,0,0,9.0,5.0,17.2,27.7,1.0
6,1649674800,2022-04-11 06:00,20.1,68.2,0,{},13.0,20.9,181,S,1008.0,29.77,0.0,0.0,89,96,20.1,68.2,20.1,68.2,20.1,68.2,18.2,64.8,0,0,0,0,9.0,5.0,17.2,27.7,1.0
7,1649678400,2022-04-11 07:00,20.2,68.4,0,{},11.0,17.6,186,S,1009.0,29.79,0.0,0.0,90,100,20.2,68.4,20.2,68.4,20.2,68.4,18.4,65.1,0,0,0,0,9.0,5.0,14.5,23.4,1.0
8,1649682000,2022-04-11 08:00,20.5,68.9,1,{},8.9,14.4,182,S,1009.0,29.8,0.0,0.0,88,95,20.5,68.9,20.5,68.9,20.5,68.9,18.5,65.3,0,0,0,0,9.0,5.0,11.6,18.7,5.0
9,1649685600,2022-04-11 09:00,21.2,70.2,1,{},10.3,16.6,182,S,1009.0,29.81,0.0,0.0,85,89,21.2,70.2,21.2,70.2,24.2,75.6,18.6,65.5,0,0,0,0,9.0,5.0,12.8,20.5,5.0
10,1649689200,2022-04-11 10:00,22.0,71.6,1,{},11.0,17.6,186,S,1010.0,29.82,0.0,0.0,82,100,24.5,76.1,22.0,71.6,24.5,76.1,18.8,65.8,0,0,0,0,9.0,5.0,13.0,20.9,5.0
11,1649692800,2022-04-11 11:00,23.0,73.4,1,{},11.4,18.4,192,SSW,1010.0,29.83,0.0,0.0,79,97,25.1,77.2,23.0,73.4,25.1,77.2,19.1,66.4,0,0,0,0,9.0,5.0,13.2,21.2,5.0
12,1649696400,2022-04-11 12:00,23.7,74.7,1,{},10.5,16.9,201,SSW,1010.0,29.83,0.0,0.0,75,98,25.5,77.9,23.7,74.7,25.5,77.9,19.0,66.2,0,0,0,0,9.0,5.0,12.1,19.4,5.0
13,1649700000,2022-04-11 13:00,24.3,75.7,1,{},9.4,15.1,204,SSW,1010.0,29.83,0.1,0.0,72,99,26.0,78.8,24.3,75.7,26.0,78.8,18.8,65.8,0,63,0,0,9.0,5.0,10.7,17.3,5.0
14,1649703600,2022-04-11 14:00,25.0,77.0,1,{},9.6,15.5,201,SSW,1010.0,29.81,0.0,0.0,69,91,26.6,79.9,25.0,77.0,26.6,79.9,19.0,66.2,0,0,0,0,9.0,5.0,11.2,18.0,6.0
15,1649707200,2022-04-11 15:00,26.0,78.8,1,{},10.1,16.2,193,SSW,1009.0,29.79,0.0,0.0,65,65,27.5,81.5,26.0,78.8,27.5,81.5,19.0,66.2,0,0,0,0,9.0,5.0,11.6,18.7,6.0
16,1649710800,2022-04-11 16:00,27.7,81.9,1,{},9.2,14.8,189,S,1008.0,29.78,0.0,0.0,58,95,29.1,84.4,27.7,81.9,29.1,84.4,18.7,65.7,0,0,0,0,9.0,5.0,10.5,16.9,6.0
17,1649714400,2022-04-11 17:00,26.9,80.4,1,{},9.4,15.1,179,S,1008.0,29.77,0.0,0.0,60,86,28.2,82.8,26.9,80.4,28.2,82.8,18.4,65.1,0,0,0,0,9.0,5.0,10.7,17.3,6.0
18,1649718000,2022-04-11 18:00,26.2,79.2,1,{},10.1,16.2,165,SSE,1008.0,29.76,0.0,0.0,62,28,27.5,81.5,26.2,79.2,27.5,81.5,18.4,65.1,0,0,0,0,9.0,5.0,11.6,18.7,6.0
19,1649721600,2022-04-11 19:00,25.6,78.1,1,{},11.4,18.4,152,SSE,1008.0,29.76,0.1,0.0,65,71,27.0,80.6,25.6,78.1,27.0,80.6,18.6,65.5,1,79,0,0,10.0,6.0,13.6,22.0,6.0
20,1649725200,2022-04-11 20:00,23.7,74.7,0,{},12.5,20.2,149,SSE,1008.0,29.77,0.0,0.0,74,21,25.5,77.9,23.7,74.7,25.5,77.9,18.8,65.8,0,0,0,0,10.0,6.0,17.4,28.1,1.0
21,1649728800,2022-04-11 21:00,22.5,72.5,0,{},11.9,19.1,151,SSE,1009.0,29.78,0.0,0.0,84,29,24.8,76.6,22.5,72.5,24.8,76.6,19.6,67.3,0,0,0,0,10.0,6.0,15.9,25.6,1.0
22,1649732400,2022-04-11 22:00,21.6,70.9,0,{},11.6,18.7,158,SSE,1009.0,29.8,0.0,0.0,91,50,21.6,70.9,21.6,70.9,24.3,75.7,20.1,68.2,0,0,0,0,10.0,6.0,15.7,25.2,1.0
23,1649736000,2022-04-11 23:00,21.3,70.3,0,{},11.2,18.0,157,SSE,1009.0,29.8,0.0,0.0,94,100,21.3,70.3,21.3,70.3,24.2,75.6,20.3,68.5,0,0,0,0,10.0,6.0,15.0,24.1,1.0
0,1649739600,2022-04-12 00:00,21.1,70.0,0,{},12.1,19.4,163,SSE,1009.0,29.8,0.0,0.0,95,100,21.1,70.0,21.1,70.0,24.1,75.4,20.2,68.4,0,0,0,0,10.0,6.0,16.3,26.3,1.0
1,1649743200,2022-04-12 01:00,21.3,70.3,0,{},13.9,22.3,169,S,1009.0,29.8,0.0,0.0,90,100,21.3,70.3,21.3,70.3,24.2,75.6,19.6,67.3,0,0,0,0,10.0,6.0,17.9,28.8,1.0
2,1649746800,2022-04-12 02:00,21.4,70.5,0,{},11.4,18.4,169,S,1009.0,29.79,0.2,0.01,92,100,21.4,70.5,21.4,70.5,24.2,75.6,20.0,68.0,1,75,0,0,2.0,1.0,14.8,23.8,1.0
3,1649750400,2022-04-12 03:00,21.4,70.5,0,{},12.3,19.8,174,S,1009.0,29.79,0.1,0.0,92,100,21.4,70.5,21.4,70.5,24.2,75.6,20.1,68.2,0,56,0,0,9.0,5.0,16.6,26.6,1.0
4,1649754000,2022-04-12 04:00,21.7,71.1,0,{},12.8,20.5,179,S,1009.0,29.78,0.3,0.01,90,100,21.7,71.1,21.7,71.1,24.4,75.9,20.1,68.2,1,88,0,0,2.0,1.0,17.2,27.7,1.0
5,1649757600,2022-04-12 05:00,21.3,70.3,0,{},11.6,18.7,172,S,1008.0,29.78,0.3,0.01,94,100,21.3,70.3,21.3,70.3,24.2,75.6,20.3,68.5,0,62,0,0,10.0,6.0,16.1,25.9,1.0
6,1649761200,2022-04-12 06:00,21.3,70.3,0,{},11.4,18.4,162,SSE,1008.0,29.77,0.2,0.01,94,100,21.3,70.3,21.3,70.3,24.2,75.6,20.4,68.7,0,64,0,0,10.0,6.0,15.4,24.8,1.0
7,1649764800,2022-04-12 07:00,21.2,70.2,0,{},10.1,16.2,159,SSE,1008.0,29.77,1.2,0.05,94,100,21.2,70.2,21.2,70.2,24.2,75.6,20.2,68.4,1,85,0,0,10.0,6.0,13.9,22.3,1.0
8,1649768400,2022-04-12 08:00,21.5,70.7,1,{},11.6,18.7,159,SSE,1009.0,29.79,0.0,0.0,93,100,21.5,70.7,21.5,70.7,24.3,75.7,20.4,68.7,0,0,0,0,10.0,6.0,15.2,24.5,5.0
9,1649772000,2022-04-12 09:00,21.6,70.9,1,{},8.9,14.4,153,SSE,1009.0,29.78,0.0,0.0,91,47,21.6,70.9,21.6,70.9,24.3,75.7,20.1,68.2,0,0,0,0,10.0,6.0,12.1,19.4,6.0
10,1649775600,2022-04-12 10:00,24.2,75.6,1,{},15.2,24.5,166,SSE,1009.0,29.8,0.1,0.0,76,77,26.0,78.8,24.2,75.6,26.0,78.8,19.7,67.5,0,66,0,0,10.0,6.0,17.4,28.1,5.0
11,1649779200,2022-04-12 11:00,27.6,81.7,1,{},15.0,24.1,166,SSE,1009.0,29.78,0.0,0.0,62,34,29.3,84.7,27.6,81.7,29.3,84.7,19.6,67.3,0,0,0,0,9.0,5.0,17.2,27.7,6.0
12,1649782800,2022-04-12 12:00,29.9,85.8,1,{},16.3,26.3,171,S,1008.0,29.77,0.0,0.0,50,22,31.3,88.3,29.9,85.8,31.3,88.3,18.3,64.9,0,0,0,0,10.0,6.0,18.8,30.2,7.0
13,1649786400,2022-04-12 13:00,33.2,91.8,1,{},14.1,22.7,178,S,1007.0,29.72,0.0,0.0,43,4,35.4,95.7,33.2,91.8,35.4,95.7,18.8,65.8,0,0,0,0,10.0,6.0,16.1,25.9,8.0
14,1649790000,2022-04-12 14:00,35.2,95.4,1,{},15.2,24.5,187,S,1005.0,29.69,0.0,0.0,34,4,36.5,97.7,35.2,95.4,36.5,97.7,16.8,62.2,0,0,0,0,10.0,6.0,17.4,28.1,9.0
15,1649793600,2022-04-12 15:00,36.6,97.9,1,{},16.3,26.3,200,SSW,1005.0,29.67,0.0,0.0,28,8,37.3,99.1,36.6,97.9,37.3,99.1,15.3,59.5,0,0,0,0,10.0,6.0,18.8,30.2,9.0
16,1649797200,2022-04-12 16:00,34.0,93.2,1,{},18.6,29.9,185,S,1004.0,29.65,0.0,0.0,32,54,34.2,93.6,34.0,93.2,34.2,93.6,14.7,58.5,0,0,0,0,9.0,5.0,21.5,34.6,7.0
17,1649800800,2022-04-12 17:00,32.0,89.6,1,{},19.2,31.0,178,S,1003.0,29.62,0.0,0.0,40,21,32.9,91.2,32.0,89.6,32.9,91.2,16.7,62.1,0,0,0,0,10.0,6.0,22.1,35.6,8.0
