,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649563200,2022-04-10 00:00,7.5,45.5,0,{},12.5,20.2,301,WNW,1009.0,29.78,0.0,0.0,66,27,4.2,39.6,4.2,39.6,7.5,45.5,1.6,34.9,0,0,0,0,10.0,6.0,16.3,26.3,1.0
1,1649566800,2022-04-10 01:00,6.7,44.1,0,{},12.8,20.5,301,WNW,1009.0,29.79,0.0,0.0,70,31,3.1,37.6,3.1,37.6,6.7,44.1,1.6,34.9,0,0,0,0,10.0,6.0,16.6,26.6,1.0
2,1649570400,2022-04-10 02:00,5.9,42.6,0,{},13.4,21.6,308,NW,1009.0,29.8,0.0,0.0,75,25,2.0,35.6,2.0,35.6,5.9,42.6,1.8,35.2,0,0,0,0,10.0,6.0,17.4,28.1,1.0
3,1649574000,2022-04-10 03:00,5.4,41.7,0,{},12.5,20.2,316,NW,1010.0,29.81,0.0,0.0,73,29,1.6,34.9,1.6,34.9,5.4,41.7,1.0,33.8,0,0,0,0,10.0,6.0,16.6,26.6,1.0
4,1649577600,2022-04-10 04:00,4.9,40.8,0,{},13.0,20.9,315,NW,1010.0,29.83,0.0,0.0,68,46,0.8,33.4,0.8,33.4,4.9,40.8,-0.6,30.9,0,0,0,0,10.0,6.0,17.2,27.7,1.0
5,1649581200,2022-04-10 05:00,4.3,39.7,0,{},11.9,19.1,309,NW,1011.0,29.85,0.0,0.0,67,24,0.3,32.5,0.3,32.5,4.3,39.7,-1.2,29.8,0,0,0,0,10.0,6.0,15.9,25.6,1.0
6,1649584800,2022-04-10 06:00,3.9,39.0,0,{},11.6,18.7,304,NW,1011.0,29.86,0.0,0.0,67,10,-0.2,31.6,-0.2,31.6,3.9,39.0,-1.7,28.9,0,0,0,0,10.0,6.0,15.9,25.6,1.0
7,1649588400,2022-04-10 07:00,3.7,38.7,1,{},11.6,18.7,301,WNW,1012.0,29.88,0.0,0.0,67,7,-0.4,31.3,-0.4,31.3,3.7,38.7,-1.9,28.6,0,0,0,0,10.0,6.0,15.7,25.2,2.0
8,1649592000,2022-04-10 08:00,4.4,39.9,1,{},12.5,20.2,298,WNW,1013.0,29.9,0.0,0.0,65,10,0.3,32.5,0.3,32.5,4.4,39.9,-1.6,29.1,0,0,0,0,10.0,6.0,15.4,24.8,2.0
9,1649595600,2022-04-10 09:00,5.7,42.3,1,{},14.3,23.0,295,WNW,1013.0,29.91,0.0,0.0,61,44,1.6,34.9,1.6,34.9,5.7,42.3,-1.2,29.8,0,0,0,0,10.0,6.0,16.6,26.6,3.0
