,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649566800,2022-04-10 00:00,3.7,38.7,0,{},6.5,10.4,191,SSW,1014.0,29.95,0.0,0.0,61,10,1.0,33.8,1.0,33.8,3.7,38.7,-3.0,26.6,0,0,0,0,10.0,6.0,11.6,18.7,1.0
1,1649570400,2022-04-10 01:00,3.5,38.3,0,{},6.3,10.1,204,SSW,1015.0,29.96,0.0,0.0,64,16,0.8,33.4,0.8,33.4,3.5,38.3,-2.6,27.3,0,0,0,0,10.0,6.0,11.9,19.1,1.0
2,1649574000,2022-04-10 02:00,3.4,38.1,0,{},6.0,9.7,219,SW,1015.0,29.97,0.0,0.0,67,25,0.8,33.4,0.8,33.4,3.4,38.1,-2.1,28.2,0,0,0,0,10.0,6.0,11.9,19.1,1.0
3,1649577600,2022-04-10 03:00,3.4,38.1,0,{},5.6,9.0,225,SW,1015.0,29.98,0.0,0.0,69,32,1.0,33.8,1.0,33.8,3.4,38.1,-1.7,28.9,0,0,0,0,10.0,6.0,11.2,18.0,1.0
4,1649581200,2022-04-10 04:00,3.3,37.9,0,{},5.4,8.6,223,SW,1015.0,29.98,0.0,0.0,70,24,1.0,33.8,1.0,33.8,3.3,37.9,-1.6,29.1,0,0,0,0,10.0,6.0,11.2,18.0,1.0
5,1649584800,2022-04-10 05:00,3.2,37.8,0,{},5.1,8.3,213,SSW,1015.0,29.98,0.0,0.0,71,13,0.9,33.6,0.9,33.6,3.2,37.8,-1.5,29.3,0,0,0,0,10.0,6.0,10.7,17.3,1.0
6,1649588400,2022-04-10 06:00,3.1,37.6,0,{},4.9,7.9,192,SSW,1015.0,29.97,0.0,0.0,72,7,0.9,33.6,0.9,33.6,3.1,37.6,-1.5,29.3,0,0,0,0,10.0,6.0,10.3,16.6,1.0
7,1649592000,2022-04-10 07:00,3.3,37.9,1,{},5.8,9.4,173,S,1015.0,29.97,0.0,0.0,71,4,0.8,33.4,0.8,33.4,3.3,37.9,-1.5,29.3,0,0,0,0,10.0,6.0,11.9,19.1,2.0
8,1649595600,2022-04-10 08:00,4.5,40.1,1,{},6.7,10.8,173,S,1015.0,29.97,0.0,0.0,65,17,1.9,35.4,1.9,35.4,4.5,40.1,-1.4,29.5,0,0,0,0,10.0,6.0,11.6,18.7,2.0
9,1649599200,2022-04-10 09:00,6.1,43.0,1,{},8.5,13.7,159,SSE,1015.0,29.96,0.0,0.0,58,0,3.3,37.9,3.3,37.9,6.1,43.0,-1.5,29.3,0,0,0,0,10.0,6.0,13.0,20.9,3.0
10,1649602800,2022-04-10 10:00,7.5,45.5,1,{},11.2,18.0,154,SSE,1014.0,29.95,0.0,0.0,54,4,4.5,40.1,4.5,40.1,7.5,45.5,-1.2,29.8,0,0,0,0,10.0,6.0,16.1,25.9,3.0
11,1649606400,2022-04-10 11:00,10.3,50.5,1,{},12.1,19.4,148,SSE,1013.0,29.92,0.0,0.0,49,4,7.8,46.0,7.8,46.0,10.3,50.5,0.1,32.2,0,0,0,0,10.0,6.0,13.9,22.3,4.0
12,1649610000,2022-04-10 12:00,12.4,54.3,1,{},13.2,21.2,147,SSE,1012.0,29.88,0.0,0.0,45,2,10.3,50.5,10.3,50.5,12.4,54.3,0.8,33.4,0,0,0,0,10.0,6.0,15.2,24.5,4.0
13,1649613600,2022-04-10 13:00,12.5,54.5,1,{},13.9,22.3,140,SE,1011.0,29.84,0.0,0.0,43,11,10.3,50.5,10.3,50.5,12.5,54.5,0.2,32.4,0,0,0,0,10.0,6.0,17.4,28.1,4.0
14,1649617200,2022-04-10 14:00,13.7,56.7,1,{},15.2,24.5,138,SE,1009.0,29.8,0.0,0.0,42,7,11.7,53.1,11.7,53.1,13.7,56.7,1.1,34.0,0,0,0,0,10.0,6.0,18.8,30.2,4.0
15,1649620800,2022-04-10 15:00,13.4,56.1,1,{},15.9,25.6,140,SE,1008.0,29.75,0.0,0.0,43,47,11.3,52.3,11.3,52.3,13.4,56.1,1.2,34.2,0,0,0,0,10.0,6.0,24.6,39.6,4.0
16,1649624400,2022-04-10 16:00,14.0,57.2,1,{},16.1,25.9,143,SE,1007.0,29.72,0.0,0.0,45,50,12.0,53.6,12.0,53.6,14.0,57.2,2.3,36.1,0,0,0,0,10.0,6.0,25.5,41.0,4.0
17,1649628000,2022-04-10 17:00,14.6,58.3,1,{},16.8,27.0,145,SE,1006.0,29.69,0.0,0.0,49,17,12.7,54.9,12.7,54.9,14.6,58.3,4.0,39.2,0,0,0,0,10.0,6.0,25.7,41.4,4.0
18,1649631600,2022-04-10 18:00,14.3,57.7,1,{},16.1,25.9,154,SSE,1005.0,29.68,0.0,0.0,53,20,12.4,54.3,12.4,54.3,14.3,57.7,5.0,41.0,0,0,0,0,10.0,6.0,26.4,42.5,4.0
19,1649635200,2022-04-10 19:00,13.6,56.5,1,{},15.7,25.2,160,SSE,1005.0,29.68,0.0,0.0,59,39,11.6,52.9,11.6,52.9,13.6,56.5,5.7,42.3,0,0,0,0,10.0,6.0,28.0,45.0,4.0
20,1649638800,2022-04-10 20:00,12.5,54.5,0,{},15.7,25.2,162,SSE,1005.0,29.69,0.0,0.0,66,100,10.1,50.2,10.1,50.2,12.5,54.5,6.2,43.2,0,0,0,0,10.0,6.0,31.1,50.0,1.0
21,1649642400,2022-04-10 21:00,12.3,54.1,0,{},16.1,25.9,159,SSE,1005.0,29.67,0.0,0.0,72,100,9.8,49.6,9.8,49.6,12.3,54.1,7.3,45.1,0,0,0,0,10.0,6.0,31.5,50.8,1.0
22,1649646000,2022-04-10 22:00,12.1,53.8,0,{},16.3,26.3,162,SSE,1004.0,29.64,0.0,0.0,78,100,9.6,49.3,9.6,49.3,12.1,53.8,8.4,47.1,0,0,0,0,9.0,5.0,32.0,51.5,1.0
23,1649649600,2022-04-10 23:00,12.2,54.0,0,{},15.7,25.2,173,S,1003.0,29.63,0.1,0.0,86,99,9.8,49.6,9.8,49.6,12.2,54.0,9.9,49.8,0,65,0,0,9.0,5.0,29.5,47.5,1.0
0,1649653200,2022-04-11 00:00,12.4,54.3,0,{},15.4,24.8,176,S,1003.0,29.6,0.1,0.0,87,90,10.0,50.0,10.0,50.0,12.4,54.3,10.3,50.5,1,75,0,0,10.0,6.0,32.0,51.5,1.0
1,1649656800,2022-04-11 01:00,13.0,55.4,0,{},15.0,24.1,187,S,1002.0,29.59,0.5,0.02,86,97,10.9,51.6,10.9,51.6,13.0,55.4,10.6,51.1,1,78,0,0,2.0,1.0,31.5,50.8,1.0
2,1649660400,2022-04-11 02:00,13.3,55.9,0,{},15.2,24.5,205,SSW,1002.0,29.6,0.0,0.0,87,94,11.2,52.2,11.2,52.2,13.3,55.9,11.2,52.2,0,0,0,0,10.0,6.0,32.0,51.5,1.0
3,1649664000,2022-04-11 03:00,13.5,56.3,0,{},15.0,24.1,215,SW,1003.0,29.61,0.0,0.0,88,66,11.5,52.7,11.5,52.7,13.5,56.3,11.6,52.9,0,0,0,0,10.0,6.0,30.4,49.0,1.0
