,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649566800,2022-04-10 00:00,19.6,67.3,0,{},18.3,29.5,181,S,1009.0,29.8,0.0,0.0,49,0,19.6,67.3,19.6,67.3,19.6,67.3,8.5,47.3,0,0,0,0,10.0,6.0,28.9,46.4,1.0
1,1649570400,2022-04-10 01:00,18.9,66.0,0,{},18.3,29.5,183,S,1009.0,29.8,0.0,0.0,50,0,18.9,66.0,18.9,66.0,18.9,66.0,8.2,46.8,0,0,0,0,10.0,6.0,28.0,45.0,1.0
2,1649574000,2022-04-10 02:00,18.2,64.8,0,{},18.1,29.2,183,S,1009.0,29.8,0.0,0.0,49,0,18.2,64.8,18.2,64.8,18.2,64.8,7.3,45.1,0,0,0,0,10.0,6.0,27.7,44.6,1.0
3,1649577600,2022-04-10 03:00,17.8,64.0,0,{},18.3,29.5,184,S,1009.0,29.78,0.0,0.0,47,0,17.8,64.0,17.8,64.0,17.8,64.0,6.5,43.7,0,0,0,0,10.0,6.0,28.2,45.4,1.0
4,1649581200,2022-04-10 04:00,17.2,63.0,0,{},17.7,28.4,184,S,1008.0,29.77,0.0,0.0,52,0,17.2,63.0,17.2,63.0,17.2,63.0,7.3,45.1,0,0,0,0,10.0,6.0,27.1,43.6,1.0
5,1649584800,2022-04-10 05:00,16.9,62.4,0,{},17.2,27.7,182,S,1008.0,29.76,0.0,0.0,55,0,16.9,62.4,16.9,62.4,16.9,62.4,7.9,46.2,0,0,0,0,10.0,6.0,25.9,41.8,1.0
6,1649588400,2022-04-10 06:00,16.6,61.9,0,{},17.2,27.7,180,S,1007.0,29.75,0.0,0.0,59,0,16.6,61.9,16.6,61.9,16.6,61.9,8.5,47.3,0,0,0,0,10.0,6.0,25.7,41.4,1.0
7,1649592000,2022-04-10 07:00,16.3,61.3,0,{},16.8,27.0,181,S,1008.0,29.75,0.0,0.0,64,0,16.3,61.3,16.3,61.3,16.3,61.3,9.5,49.1,0,0,0,0,10.0,6.0,25.3,40.7,1.0
8,1649595600,2022-04-10 08:00,16.6,61.9,1,{},17.7,28.4,179,S,1008.0,29.76,0.0,0.0,68,1,16.6,61.9,16.6,61.9,16.6,61.9,10.7,51.3,0,0,0,0,10.0,6.0,24.8,40.0,5.0
9,1649599200,2022-04-10 09:00,18.0,64.4,1,{},19.0,30.6,183,S,1008.0,29.75,0.0,0.0,66,0,18.0,64.4,18.0,64.4,18.0,64.4,11.6,52.9,0,0,0,0,10.0,6.0,23.3,37.4,5.0
