,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649570400,2022-04-10 00:00,9.8,49.6,0,{},7.6,12.2,11,NNE,998.0,29.48,0.0,0.0,58,20,8.0,46.4,8.0,46.4,9.8,49.6,1.9,35.4,0,0,0,0,10.0,6.0,8.7,14.0,1.0
1,1649574000,2022-04-10 01:00,9.3,48.7,0,{},6.9,11.2,37,NE,999.0,29.5,0.0,0.0,62,8,7.6,45.7,7.6,45.7,9.3,48.7,2.5,36.5,0,0,0,0,10.0,6.0,8.1,13.0,1.0
2,1649577600,2022-04-10 02:00,7.7,45.9,0,{},11.4,18.4,23,NNE,1001.0,29.56,0.0,0.0,73,76,4.7,40.5,4.7,40.5,7.7,45.9,3.2,37.8,0,0,0,0,9.0,5.0,13.2,21.2,1.0
3,1649581200,2022-04-10 03:00,5.4,41.7,0,{},12.5,20.2,31,NNE,1003.0,29.61,0.2,0.01,74,73,1.6,34.9,1.6,34.9,5.4,41.7,1.1,34.0,0,51,0,0,10.0,6.0,14.3,23.0,1.0
4,1649584800,2022-04-10 04:00,5.1,41.2,0,{},5.6,9.0,37,NE,1004.0,29.63,0.0,0.0,67,73,3.0,37.4,3.0,37.4,5.1,41.2,-0.5,31.1,0,0,0,0,10.0,6.0,6.5,10.4,1.0
5,1649588400,2022-04-10 05:00,5.0,41.0,0,{},3.1,5.0,101,ESE,1004.0,29.64,0.1,0.0,62,68,4.1,39.4,4.1,39.4,5.0,41.0,-1.6,29.1,0,70,0,0,10.0,6.0,3.6,5.8,1.0
6,1649592000,2022-04-10 06:00,5.2,41.4,0,{},4.3,6.8,134,SE,1004.0,29.63,0.0,0.0,57,44,3.7,38.7,3.7,38.7,5.2,41.4,-2.6,27.3,0,0,0,0,10.0,6.0,4.9,7.9,1.0
7,1649595600,2022-04-10 07:00,5.3,41.5,1,{},8.1,13.0,137,SE,1003.0,29.62,0.0,0.0,50,9,2.5,36.5,2.5,36.5,5.3,41.5,-4.2,24.4,0,0,0,0,10.0,6.0,9.2,14.8,3.0
8,1649599200,2022-04-10 08:00,5.8,42.4,1,{},6.9,11.2,131,SE,1003.0,29.63,0.0,0.0,42,3,3.4,38.1,3.4,38.1,5.8,42.4,-6.1,21.0,0,0,0,0,10.0,6.0,8.1,13.0,3.0
9,1649602800,2022-04-10 09:00,7.2,45.0,1,{},4.9,7.9,164,SSE,1002.0,29.6,0.0,0.0,32,0,5.7,42.3,5.7,42.3,7.2,45.0,-8.4,16.9,0,0,0,0,10.0,6.0,5.6,9.0,3.0
10,1649606400,2022-04-10 10:00,9.6,49.3,1,{},7.8,12.6,235,SW,1001.0,29.56,0.0,0.0,19,0,7.7,45.9,7.7,45.9,9.6,49.3,-13.1,8.4,0,0,0,0,10.0,6.0,8.9,14.4,3.0
11,1649610000,2022-04-10 11:00,13.8,56.8,1,{},14.1,22.7,262,W,1001.0,29.56,0.0,0.0,10,0,12.0,53.6,12.0,53.6,13.8,56.8,-17.6,0.3,0,0,0,0,10.0,6.0,16.1,25.9,4.0
12,1649613600,2022-04-10 12:00,14.0,57.2,1,{},16.8,27.0,266,W,1001.0,29.56,0.0,0.0,9,0,12.0,53.6,12.0,53.6,14.0,57.2,-18.6,-1.5,0,0,0,0,10.0,6.0,19.2,31.0,4.0
13,1649617200,2022-04-10 13:00,13.9,57.0,1,{},17.4,28.1,280,W,1002.0,29.58,0.0,0.0,10,0,11.8,53.2,11.8,53.2,13.9,57.0,-17.5,0.5,0,0,0,0,10.0,6.0,20.1,32.4,4.0
14,1649620800,2022-04-10 14:00,13.9,57.0,1,{},18.6,29.9,279,W,1002.0,29.6,0.0,0.0,10,0,11.7,53.1,11.7,53.1,13.9,57.0,-16.6,2.1,0,0,0,0,10.0,6.0,21.5,34.6,4.0
15,1649624400,2022-04-10 15:00,13.3,55.9,1,{},17.7,28.4,291,WNW,1003.0,29.62,0.0,0.0,12,3,11.0,51.8,11.0,51.8,13.3,55.9,-15.4,4.3,0,0,0,0,10.0,6.0,20.4,32.8,4.0
16,1649628000,2022-04-10 16:00,12.2,54.0,1,{},17.0,27.4,293,WNW,1003.0,29.61,0.0,0.0,13,10,9.6,49.3,9.6,49.3,12.2,54.0,-15.5,4.1,0,0,0,0,10.0,6.0,19.5,31.3,4.0
17,1649631600,2022-04-10 17:00,11.0,51.8,1,{},17.0,27.4,294,WNW,1003.0,29.62,0.0,0.0,13,55,8.1,46.6,8.1,46.6,11.0,51.8,-16.0,3.2,0,0,0,0,10.0,6.0,19.5,31.3,4.0
18,1649635200,2022-04-10 18:00,10.1,50.2,1,{},15.0,24.1,298,WNW,1003.0,29.63,0.0,0.0,15,91,7.1,44.8,7.1,44.8,10.1,50.2,-15.6,3.9,0,0,0,0,10.0,6.0,17.2,27.7,3.0
19,1649638800,2022-04-10 19:00,9.4,48.9,1,{},12.8,20.5,297,WNW,1004.0,29.65,0.0,0.0,17,43,6.6,43.9,6.6,43.9,9.4,48.9,-14.5,5.9,0,0,0,0,10.0,6.0,14.8,23.8,3.0
20,1649642400,2022-04-10 20:00,7.3,45.1,0,{},9.8,15.8,311,NW,1005.0,29.67,0.0,0.0,18,41,4.5,40.1,4.5,40.1,7.3,45.1,-15.1,4.8,0,0,0,0,10.0,6.0,11.4,18.4,1.0
21,1649646000,2022-04-10 21:00,6.4,43.5,0,{},8.7,14.0,346,NNW,1006.0,29.7,0.0,0.0,20,6,3.6,38.5,3.6,38.5,6.4,43.5,-14.7,5.5,0,0,0,0,10.0,6.0,10.3,16.6,1.0
22,1649649600,2022-04-10 22:00,5.5,41.9,0,{},7.8,12.6,21,NNE,1006.0,29.71,0.0,0.0,21,5,2.8,37.0,2.8,37.0,5.5,41.9,-14.8,5.4,0,0,0,0,10.0,6.0,8.9,14.4,1.0
23,1649653200,2022-04-10 23:00,4.6,40.3,0,{},6.5,10.4,59,ENE,1007.0,29.75,0.0,0.0,22,6,2.1,35.8,2.1,35.8,4.6,40.3,-15.1,4.8,0,0,0,0,10.0,6.0,7.4,11.9,1.0
0,1649656800,2022-04-11 00:00,3.7,38.7,0,{},7.6,12.2,112,ESE,1009.0,29.79,0.0,0.0,23,8,0.6,33.1,0.6,33.1,3.7,38.7,-15.6,3.9,0,0,0,0,10.0,6.0,8.7,14.0,1.0
1,1649660400,2022-04-11 01:00,3.2,37.8,0,{},8.7,14.0,125,SE,1010.0,29.82,0.0,0.0,23,13,-0.3,31.5,-0.3,31.5,3.2,37.8,-16.1,3.0,0,0,0,0,10.0,6.0,10.1,16.2,1.0
2,1649664000,2022-04-11 02:00,3.1,37.6,0,{},7.8,12.6,135,SE,1010.0,29.83,0.0,0.0,21,32,-0.2,31.6,-0.2,31.6,3.1,37.6,-16.8,1.8,0,0,0,0,10.0,6.0,8.9,14.4,1.0
3,1649667600,2022-04-11 03:00,3.1,37.6,0,{},7.2,11.5,142,SE,1009.0,29.8,0.0,0.0,21,50,0.0,32.0,0.0,32.0,3.1,37.6,-17.1,1.2,0,0,0,0,10.0,6.0,8.3,13.3,1.0
