,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649563200,2022-04-10 00:00,3.2,37.8,0,{},7.8,12.6,300,WNW,1012.0,29.9,0.0,0.0,65,27,0.0,32.0,0.0,32.0,3.2,37.8,-2.6,27.3,0,0,0,0,10.0,6.0,9.8,15.8,1.0
1,1649566800,2022-04-10 01:00,2.7,36.9,0,{},7.6,12.2,293,WNW,1013.0,29.91,0.0,0.0,67,26,-0.6,30.9,-0.6,30.9,2.7,36.9,-2.8,27.0,0,0,0,0,10.0,6.0,9.6,15.5,1.0
2,1649570400,2022-04-10 02:00,2.2,36.0,0,{},7.2,11.5,292,WNW,1013.0,29.91,0.1,0.0,68,74,-1.0,30.2,-1.0,30.2,2.2,36.0,-3.0,26.6,0,60,0,0,9.0,5.0,9.2,14.8,1.0
3,1649574000,2022-04-10 03:00,1.8,35.2,0,{},7.6,12.2,286,WNW,1013.0,29.93,0.0,0.0,69,15,-1.7,28.9,-1.7,28.9,1.8,35.2,-3.3,26.1,0,0,0,0,10.0,6.0,9.6,15.5,1.0
4,1649577600,2022-04-10 04:00,1.5,34.7,0,{},8.5,13.7,290,WNW,1014.0,29.94,0.0,0.0,70,14,-2.3,27.9,-2.3,27.9,1.5,34.7,-3.4,25.9,0,0,0,0,10.0,6.0,10.7,17.3,1.0
5,1649581200,2022-04-10 05:00,1.4,34.5,0,{},8.5,13.7,293,WNW,1014.0,29.96,0.0,0.0,70,8,-2.5,27.5,-2.5,27.5,1.4,34.5,-3.4,25.9,0,0,0,0,10.0,6.0,11.0,17.6,1.0
6,1649584800,2022-04-10 06:00,1.4,34.5,0,{},9.2,14.8,296,WNW,1015.0,29.97,0.0,0.0,71,9,-2.6,27.3,-2.6,27.3,1.4,34.5,-3.2,26.2,0,0,0,0,10.0,6.0,11.6,18.7,1.0
7,1649588400,2022-04-10 07:00,1.2,34.2,1,{},8.9,14.4,300,WNW,1016.0,29.99,0.0,0.0,72,6,-2.8,27.0,-2.8,27.0,1.2,34.2,-3.3,26.1,0,0,0,0,10.0,6.0,11.4,18.4,2.0
8,1649592000,2022-04-10 08:00,1.4,34.5,1,{},8.5,13.7,301,WNW,1016.0,30.01,0.0,0.0,70,5,-2.5,27.5,-2.5,27.5,1.4,34.5,-3.4,25.9,0,0,0,0,10.0,6.0,10.5,16.9,2.0
9,1649595600,2022-04-10 09:00,1.8,35.2,1,{},8.7,14.0,311,NW,1017.0,30.02,0.0,0.0,63,14,-2.0,28.4,-2.0,28.4,1.8,35.2,-4.5,23.9,0,0,0,0,10.0,6.0,11.9,19.1,2.0
10,1649599200,2022-04-10 10:00,3.4,38.1,1,{},8.1,13.0,315,NW,1017.0,30.02,0.0,0.0,55,13,0.1,32.2,0.1,32.2,3.4,38.1,-4.8,23.4,0,0,0,0,10.0,6.0,10.1,16.2,2.0
11,1649602800,2022-04-10 11:00,5.4,41.7,1,{},6.7,10.8,318,NW,1017.0,30.02,0.0,0.0,48,14,3.0,37.4,3.0,37.4,5.4,41.7,-4.7,23.5,0,0,0,0,10.0,6.0,7.8,12.6,3.0
12,1649606400,2022-04-10 12:00,7.4,45.3,1,{},5.4,8.6,307,NW,1016.0,30.01,0.0,0.0,42,8,5.8,42.4,5.8,42.4,7.4,45.3,-4.5,23.9,0,0,0,0,10.0,6.0,6.3,10.1,3.0
13,1649610000,2022-04-10 13:00,9.3,48.7,1,{},4.5,7.2,291,WNW,1016.0,30.01,0.0,0.0,38,7,8.4,47.1,8.4,47.1,9.3,48.7,-4.4,24.1,0,0,0,0,10.0,6.0,5.1,8.3,3.0
14,1649613600,2022-04-10 14:00,11.2,52.2,1,{},4.9,7.9,274,W,1016.0,29.99,0.0,0.0,34,3,10.4,50.7,10.4,50.7,11.2,52.2,-3.9,25.0,0,0,0,0,10.0,6.0,5.6,9.0,4.0
15,1649617200,2022-04-10 15:00,14.0,57.2,1,{},4.3,6.8,254,WSW,1015.0,29.98,0.0,0.0,32,1,13.9,57.0,13.9,57.0,14.0,57.2,-2.4,27.7,0,0,0,0,10.0,6.0,4.9,7.9,4.0
16,1649620800,2022-04-10 16:00,14.7,58.5,1,{},3.8,6.1,225,SW,1015.0,29.96,0.0,0.0,31,1,14.8,58.6,14.8,58.6,14.7,58.5,-2.1,28.2,0,0,0,0,10.0,6.0,4.5,7.2,4.0
17,1649624400,2022-04-10 17:00,14.8,58.6,1,{},5.1,8.3,189,S,1014.0,29.95,0.0,0.0,33,1,14.6,58.3,14.6,58.3,14.8,58.6,-1.4,29.5,0,0,0,0,10.0,6.0,5.8,9.4,4.0
18,1649628000,2022-04-10 18:00,11.2,52.2,1,{},6.9,11.2,172,S,1014.0,29.94,0.0,0.0,38,69,9.9,49.8,9.9,49.8,11.2,52.2,-2.7,27.1,0,0,0,0,10.0,6.0,8.7,14.0,3.0
19,1649631600,2022-04-10 19:00,11.3,52.3,1,{},7.6,12.2,153,SSE,1014.0,29.94,0.0,0.0,44,7,9.9,49.8,9.9,49.8,11.3,52.3,-0.4,31.3,0,0,0,0,10.0,6.0,8.7,14.0,4.0
