,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649574000,2022-04-10 00:00,16.4,61.5,0,{},8.3,13.3,148,SSE,1010.0,29.82,0.0,0.0,70,4,16.4,61.5,16.4,61.5,16.4,61.5,11.0,51.8,0,0,0,0,10.0,6.0,12.1,19.4,1.0
1,1649577600,2022-04-10 01:00,16.0,60.8,0,{},7.2,11.5,144,SE,1010.0,29.81,0.0,0.0,72,8,16.0,60.8,16.0,60.8,16.0,60.8,10.9,51.6,0,0,0,0,10.0,6.0,10.5,16.9,1.0
2,1649581200,2022-04-10 02:00,15.7,60.3,0,{},7.6,12.2,146,SSE,1009.0,29.81,0.0,0.0,73,12,15.7,60.3,15.7,60.3,15.7,60.3,10.8,51.4,0,0,0,0,10.0,6.0,11.2,18.0,1.0
3,1649584800,2022-04-10 03:00,15.4,59.7,0,{},5.8,9.4,150,SSE,1010.0,29.81,0.0,0.0,73,15,15.4,59.7,15.4,59.7,15.4,59.7,10.6,51.1,0,0,0,0,10.0,6.0,8.7,14.0,1.0
4,1649588400,2022-04-10 04:00,15.2,59.4,0,{},5.1,8.3,160,SSE,1010.0,29.81,0.0,0.0,73,10,15.2,59.4,15.2,59.4,15.2,59.4,10.4,50.7,0,0,0,0,10.0,6.0,7.8,12.6,1.0
5,1649592000,2022-04-10 05:00,15.1,59.2,0,{},4.5,7.2,160,SSE,1009.0,29.8,0.0,0.0,73,8,15.1,59.2,15.1,59.2,15.1,59.2,10.3,50.5,0,0,0,0,10.0,6.0,6.9,11.2,1.0
6,1649595600,2022-04-10 06:00,14.9,58.8,0,{},4.7,7.6,161,SSE,1010.0,29.81,0.0,0.0,73,8,14.8,58.6,14.8,58.6,14.9,58.8,10.2,50.4,0,0,0,0,10.0,6.0,7.4,11.9,1.0
7,1649599200,2022-04-10 07:00,15.0,59.0,1,{},4.9,7.9,170,S,1010.0,29.82,0.0,0.0,74,7,14.9,58.8,14.9,58.8,15.0,59.0,10.3,50.5,0,0,0,0,10.0,6.0,7.4,11.9,5.0
8,1649602800,2022-04-10 08:00,15.8,60.4,1,{},4.3,6.8,196,SSW,1010.0,29.84,0.0,0.0,70,16,15.8,60.4,15.8,60.4,15.8,60.4,10.4,50.7,0,0,0,0,10.0,6.0,6.0,9.7,5.0
9,1649606400,2022-04-10 09:00,17.5,63.5,1,{},5.6,9.0,203,SSW,1011.0,29.84,0.0,0.0,64,2,17.5,63.5,17.5,63.5,17.5,63.5,10.6,51.1,0,0,0,0,10.0,6.0,6.5,10.4,5.0
