,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649566800,2022-04-10 00:00,14.8,58.6,0,{},5.1,8.3,232,SW,1019.0,30.08,0.1,0.0,53,85,14.6,58.3,14.6,58.3,14.8,58.6,5.4,41.7,1,89,0,0,10.0,6.0,7.8,12.6,1.0
1,1649570400,2022-04-10 01:00,14.5,58.1,0,{},3.6,5.8,213,SSW,1018.0,30.06,0.7,0.03,52,81,14.7,58.5,14.7,58.5,14.5,58.1,4.8,40.6,0,63,0,0,10.0,6.0,5.6,9.0,1.0
2,1649574000,2022-04-10 02:00,14.3,57.7,0,{},3.1,5.0,211,SSW,1017.0,30.03,0.0,0.0,52,7,14.6,58.3,14.6,58.3,14.3,57.7,4.5,40.1,0,0,0,0,10.0,6.0,5.1,8.3,1.0
3,1649577600,2022-04-10 03:00,14.2,57.6,0,{},2.9,4.7,198,SSW,1016.0,30.01,0.0,0.0,51,5,14.6,58.3,14.6,58.3,14.2,57.6,4.3,39.7,0,0,0,0,10.0,6.0,4.9,7.9,1.0
4,1649581200,2022-04-10 04:00,14.0,57.2,0,{},2.2,3.6,181,S,1016.0,29.99,0.0,0.0,52,4,14.7,58.5,14.7,58.5,14.0,57.2,4.2,39.6,0,0,0,0,10.0,6.0,4.0,6.5,1.0
5,1649584800,2022-04-10 05:00,13.8,56.8,0,{},2.0,3.2,190,S,1016.0,29.99,0.0,0.0,52,4,14.6,58.3,14.6,58.3,13.8,56.8,4.2,39.6,0,0,0,0,10.0,6.0,3.6,5.8,1.0
6,1649588400,2022-04-10 06:00,13.6,56.5,0,{},2.0,3.2,190,S,1016.0,29.99,0.0,0.0,53,5,14.4,57.9,14.4,57.9,13.6,56.5,4.1,39.4,0,0,0,0,10.0,6.0,3.6,5.8,1.0
7,1649592000,2022-04-10 07:00,13.5,56.3,0,{},2.2,3.6,194,SSW,1016.0,30.0,0.0,0.0,53,5,14.1,57.4,14.1,57.4,13.5,56.3,4.2,39.6,0,0,0,0,10.0,6.0,4.0,6.5,1.0
8,1649595600,2022-04-10 08:00,15.9,60.6,1,{},2.5,4.0,201,SSW,1017.0,30.02,0.0,0.0,52,5,15.9,60.6,15.9,60.6,15.9,60.6,6.2,43.2,0,0,0,0,10.0,6.0,2.9,4.7,5.0
9,1649599200,2022-04-10 09:00,17.4,63.3,1,{},2.9,4.7,199,SSW,1017.0,30.02,0.0,0.0,47,5,17.4,63.3,17.4,63.3,17.4,63.3,6.1,43.0,0,0,0,0,10.0,6.0,3.4,5.4,5.0
10,1649602800,2022-04-10 10:00,18.9,66.0,1,{},3.1,5.0,196,SSW,1016.0,30.01,0.0,0.0,42,6,18.9,66.0,18.9,66.0,18.9,66.0,5.8,42.4,0,0,0,0,10.0,6.0,3.6,5.8,5.0
11,1649606400,2022-04-10 11:00,22.1,71.8,1,{},2.9,4.7,206,SSW,1016.0,30.0,0.0,0.0,37,5,23.8,74.8,22.1,71.8,23.8,74.8,6.6,43.9,0,0,0,0,10.0,6.0,3.4,5.4,6.0
12,1649610000,2022-04-10 12:00,24.6,76.3,1,{},1.8,2.9,197,SSW,1015.0,29.98,0.0,0.0,31,3,24.6,76.3,24.6,76.3,24.6,76.3,6.5,43.7,0,0,0,0,10.0,6.0,2.0,3.2,6.0
13,1649613600,2022-04-10 13:00,26.5,79.7,1,{},0.9,1.4,211,SSW,1014.0,29.94,0.0,0.0,28,2,25.5,77.9,26.5,79.7,25.5,77.9,6.3,43.3,0,0,0,0,10.0,6.0,1.1,1.8,7.0
14,1649617200,2022-04-10 14:00,27.6,81.7,1,{},0.4,0.7,336,NNW,1012.0,29.89,0.0,0.0,24,0,26.1,79.0,27.6,81.7,26.1,79.0,5.4,41.7,0,0,0,0,10.0,6.0,0.4,0.7,7.0
15,1649620800,2022-04-10 15:00,28.3,82.9,1,{},2.2,3.6,16,NNE,1010.0,29.83,0.0,0.0,22,5,26.4,79.5,28.3,82.9,26.4,79.5,4.3,39.7,0,0,0,0,10.0,6.0,2.5,4.0,7.0
16,1649624400,2022-04-10 16:00,26.5,79.7,1,{},1.3,2.2,93,E,1009.0,29.8,0.0,0.0,20,21,24.9,76.8,26.5,79.7,24.9,76.8,1.9,35.4,0,0,0,0,10.0,6.0,1.6,2.5,7.0
17,1649628000,2022-04-10 17:00,25.7,78.3,1,{},6.7,10.8,191,SSW,1009.0,29.78,0.0,0.0,22,45,24.5,76.1,25.7,78.3,24.5,76.1,2.7,36.9,0,0,0,0,10.0,6.0,7.8,12.6,7.0
18,1649631600,2022-04-10 18:00,24.2,75.6,1,{},11.4,18.4,229,SW,1009.0,29.8,0.0,0.0,27,47,24.0,75.2,24.2,75.6,24.0,75.2,4.3,39.7,0,0,0,0,10.0,6.0,13.2,21.2,6.0
19,1649635200,2022-04-10 19:00,22.2,72.0,1,{},8.5,13.7,255,WSW,1011.0,29.85,0.2,0.01,32,82,23.6,74.5,22.2,72.0,23.6,74.5,4.9,40.8,0,62,0,0,9.0,5.0,9.8,15.8,5.0
20,1649638800,2022-04-10 20:00,19.7,67.5,0,{},2.0,3.2,230,SW,1012.0,29.88,0.3,0.01,36,81,19.7,67.5,19.7,67.5,19.7,67.5,4.2,39.6,1,85,0,0,9.0,5.0,2.5,4.0,1.0
21,1649642400,2022-04-10 21:00,20.1,68.2,0,{},2.9,4.7,187,S,1013.0,29.9,0.2,0.01,37,79,20.1,68.2,20.1,68.2,20.1,68.2,4.9,40.8,1,79,0,0,9.0,5.0,3.4,5.4,1.0
22,1649646000,2022-04-10 22:00,19.8,67.6,0,{},1.1,1.8,255,WSW,1014.0,29.93,0.4,0.02,38,77,19.8,67.6,19.8,67.6,19.8,67.6,5.2,41.4,0,67,0,0,9.0,5.0,1.3,2.2,1.0
23,1649649600,2022-04-10 23:00,18.8,65.8,0,{},6.9,11.2,357,N,1016.0,29.99,0.1,0.0,46,85,18.8,65.8,18.8,65.8,18.8,65.8,6.9,44.4,0,62,0,0,10.0,6.0,8.3,13.3,1.0
0,1649653200,2022-04-11 00:00,17.7,63.9,0,{},4.0,6.5,39,NE,1016.0,30.01,0.1,0.0,50,85,17.7,63.9,17.7,63.9,17.7,63.9,7.2,45.0,0,64,0,0,10.0,6.0,4.9,7.9,1.0
1,1649656800,2022-04-11 01:00,17.8,64.0,0,{},1.6,2.5,113,ESE,1015.0,29.98,0.5,0.02,49,75,17.8,64.0,17.8,64.0,17.8,64.0,7.0,44.6,1,87,0,0,10.0,6.0,2.0,3.2,1.0
2,1649660400,2022-04-11 02:00,17.7,63.9,0,{},1.1,1.8,146,SSE,1015.0,29.97,0.0,0.0,49,6,17.7,63.9,17.7,63.9,17.7,63.9,7.0,44.6,0,0,0,0,10.0,6.0,1.3,2.2,1.0
3,1649664000,2022-04-11 03:00,17.1,62.8,0,{},2.5,4.0,156,SSE,1014.0,29.95,0.0,0.0,50,6,17.1,62.8,17.1,62.8,17.1,62.8,6.6,43.9,0,0,0,0,10.0,6.0,2.9,4.7,1.0
4,1649667600,2022-04-11 04:00,16.6,61.9,0,{},3.6,5.8,175,S,1014.0,29.94,0.0,0.0,50,7,16.6,61.9,16.6,61.9,16.6,61.9,6.2,43.2,0,0,0,0,10.0,6.0,4.7,7.6,1.0
5,1649671200,2022-04-11 05:00,16.5,61.7,0,{},3.1,5.0,190,S,1014.0,29.94,0.0,0.0,51,7,16.5,61.7,16.5,61.7,16.5,61.7,6.3,43.3,0,0,0,0,10.0,6.0,4.3,6.8,1.0
6,1649674800,2022-04-11 06:00,16.2,61.2,0,{},2.7,4.3,200,SSW,1014.0,29.95,0.0,0.0,51,7,16.2,61.2,16.2,61.2,16.2,61.2,6.1,43.0,0,0,0,0,10.0,6.0,3.8,6.1,1.0
