,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649563200,2022-04-10 00:00,9.3,48.7,0,{},10.5,16.9,301,WNW,1005.0,29.69,0.0,0.0,61,75,6.8,44.2,6.8,44.2,9.3,48.7,2.3,36.1,0,0,0,0,10.0,6.0,14.3,23.0,1.0
1,1649566800,2022-04-10 01:00,8.0,46.4,0,{},11.9,19.1,312,NW,1006.0,29.7,0.0,0.0,71,100,5.0,41.0,5.0,41.0,8.0,46.4,3.0,37.4,0,0,0,0,10.0,6.0,15.2,24.5,1.0
2,1649570400,2022-04-10 02:00,8.0,46.4,0,{},10.3,16.6,318,NW,1005.0,29.69,0.2,0.01,63,53,5.2,41.4,5.2,41.4,8.0,46.4,1.3,34.3,1,81,0,0,10.0,6.0,13.6,22.0,1.0
3,1649574000,2022-04-10 03:00,8.1,46.6,0,{},10.3,16.6,322,NW,1005.0,29.68,0.0,0.0,60,48,5.4,41.7,5.4,41.7,8.1,46.6,0.9,33.6,0,0,0,0,10.0,6.0,13.9,22.3,1.0
4,1649577600,2022-04-10 04:00,7.6,45.7,0,{},12.3,19.8,316,NW,1005.0,29.69,0.0,0.0,63,82,4.4,39.9,4.4,39.9,7.6,45.7,1.0,33.8,0,0,0,0,10.0,6.0,16.1,25.9,1.0
5,1649581200,2022-04-10 05:00,6.6,43.9,0,{},13.6,22.0,313,NW,1006.0,29.7,0.0,0.0,61,50,2.9,37.2,2.9,37.2,6.6,43.9,-0.4,31.3,0,0,0,0,10.0,6.0,17.4,28.1,1.0
6,1649584800,2022-04-10 06:00,5.6,42.1,0,{},13.2,21.2,311,NW,1006.0,29.72,0.0,0.0,64,26,1.7,35.1,1.7,35.1,5.6,42.1,-0.6,30.9,0,0,0,0,10.0,6.0,16.8,27.0,1.0
7,1649588400,2022-04-10 07:00,4.8,40.6,1,{},13.0,20.9,310,NW,1007.0,29.74,0.0,0.0,66,16,0.7,33.3,0.7,33.3,4.8,40.6,-1.1,30.0,0,0,0,0,10.0,6.0,16.3,26.3,2.0
8,1649592000,2022-04-10 08:00,4.9,40.8,1,{},14.1,22.7,310,NW,1008.0,29.77,0.0,0.0,62,9,0.6,33.1,0.6,33.1,4.9,40.8,-1.8,28.8,0,0,0,0,10.0,6.0,16.8,27.0,2.0
9,1649595600,2022-04-10 09:00,5.8,42.4,1,{},14.1,22.7,308,NW,1008.0,29.77,0.0,0.0,53,4,1.8,35.2,1.8,35.2,5.8,42.4,-2.9,26.8,0,0,0,0,10.0,6.0,16.1,25.9,3.0
10,1649599200,2022-04-10 10:00,7.0,44.6,1,{},15.0,24.1,305,NW,1009.0,29.78,0.0,0.0,45,5,3.2,37.8,3.2,37.8,7.0,44.6,-4.1,24.6,0,0,0,0,10.0,6.0,17.2,27.7,3.0
11,1649602800,2022-04-10 11:00,8.6,47.5,1,{},15.0,24.1,306,NW,1009.0,29.78,0.0,0.0,41,55,5.2,41.4,5.2,41.4,8.6,47.5,-3.9,25.0,0,0,0,0,10.0,6.0,17.2,27.7,3.0
12,1649606400,2022-04-10 12:00,9.3,48.7,1,{},16.1,25.9,307,NW,1008.0,29.78,0.0,0.0,38,100,6.0,42.8,6.0,42.8,9.3,48.7,-4.1,24.6,0,0,0,0,10.0,6.0,18.6,29.9,2.0
13,1649610000,2022-04-10 13:00,8.9,48.0,1,{},16.8,27.0,307,NW,1008.0,29.78,0.0,0.0,39,100,5.4,41.7,5.4,41.7,8.9,48.0,-4.1,24.6,0,0,0,0,10.0,6.0,19.2,31.0,2.0
14,1649613600,2022-04-10 14:00,9.3,48.7,1,{},15.7,25.2,308,NW,1008.0,29.78,0.0,0.0,39,100,6.0,42.8,6.0,42.8,9.3,48.7,-4.0,24.8,0,0,0,0,10.0,6.0,18.1,29.2,2.0
15,1649617200,2022-04-10 15:00,9.8,49.6,1,{},15.4,24.8,307,NW,1008.0,29.78,0.0,0.0,39,82,6.7,44.1,6.7,44.1,9.8,49.6,-3.6,25.5,0,0,0,0,10.0,6.0,17.7,28.4,2.0
16,1649620800,2022-04-10 16:00,9.8,49.6,1,{},16.3,26.3,310,NW,1009.0,29.79,0.0,0.0,39,79,6.6,43.9,6.6,43.9,9.8,49.6,-3.3,26.1,0,0,0,0,10.0,6.0,18.8,30.2,2.0
17,1649624400,2022-04-10 17:00,10.9,51.6,1,{},15.7,25.2,309,NW,1009.0,29.78,0.0,0.0,37,43,8.1,46.6,8.1,46.6,10.9,51.6,-3.2,26.2,0,0,0,0,10.0,6.0,18.1,29.2,4.0
18,1649628000,2022-04-10 18:00,10.9,51.6,1,{},15.9,25.6,309,NW,1009.0,29.8,0.0,0.0,39,44,8.1,46.6,8.1,46.6,10.9,51.6,-2.5,27.5,0,0,0,0,10.0,6.0,18.3,29.5,4.0
19,1649631600,2022-04-10 19:00,10.9,51.6,1,{},14.5,23.4,308,NW,1010.0,29.84,0.0,0.0,43,18,8.2,46.8,8.2,46.8,10.9,51.6,-1.2,29.8,0,0,0,0,10.0,6.0,16.8,27.0,4.0
20,1649635200,2022-04-10 20:00,8.2,46.8,0,{},15.7,25.2,313,NW,1012.0,29.88,0.0,0.0,44,14,4.6,40.3,4.6,40.3,8.2,46.8,-3.2,26.2,0,0,0,0,10.0,6.0,19.9,32.0,1.0
21,1649638800,2022-04-10 21:00,7.4,45.3,0,{},15.0,24.1,313,NW,1013.0,29.92,0.0,0.0,47,9,3.7,38.7,3.7,38.7,7.4,45.3,-3.3,26.1,0,0,0,0,10.0,6.0,18.6,29.9,1.0
22,1649642400,2022-04-10 22:00,6.6,43.9,0,{},14.1,22.7,309,NW,1014.0,29.94,0.0,0.0,51,8,2.8,37.0,2.8,37.0,6.6,43.9,-2.8,27.0,0,0,0,0,10.0,6.0,17.9,28.8,1.0
23,1649646000,2022-04-10 23:00,6.2,43.2,0,{},13.4,21.6,313,NW,1014.0,29.95,0.0,0.0,53,7,2.4,36.3,2.4,36.3,6.2,43.2,-2.5,27.5,0,0,0,0,10.0,6.0,17.4,28.1,1.0
0,1649649600,2022-04-11 00:00,5.7,42.3,0,{},12.5,20.2,314,NW,1015.0,29.97,0.0,0.0,55,7,1.9,35.4,1.9,35.4,5.7,42.3,-2.7,27.1,0,0,0,0,10.0,6.0,17.4,28.1,1.0
1,1649653200,2022-04-11 01:00,5.3,41.5,0,{},11.0,17.6,310,NW,1016.0,29.99,0.0,0.0,56,5,1.7,35.1,1.7,35.1,5.3,41.5,-2.7,27.1,0,0,0,0,10.0,6.0,15.4,24.8,1.0
2,1649656800,2022-04-11 02:00,4.9,40.8,0,{},10.3,16.6,297,WNW,1016.0,30.0,0.0,0.0,57,3,1.4,34.5,1.4,34.5,4.9,40.8,-2.8,27.0,0,0,0,0,10.0,6.0,14.5,23.4,1.0
3,1649660400,2022-04-11 03:00,4.7,40.5,0,{},10.7,17.3,301,WNW,1017.0,30.02,0.0,0.0,58,3,1.0,33.8,1.0,33.8,4.7,40.5,-2.9,26.8,0,0,0,0,10.0,6.0,15.2,24.5,1.0
4,1649664000,2022-04-11 04:00,4.4,39.9,0,{},10.3,16.6,306,NW,1017.0,30.03,0.0,0.0,58,0,0.8,33.4,0.8,33.4,4.4,39.9,-3.1,26.4,0,0,0,0,10.0,6.0,15.0,24.1,1.0
5,1649667600,2022-04-11 05:00,4.3,39.7,0,{},10.3,16.6,300,WNW,1018.0,30.05,0.0,0.0,59,0,0.6,33.1,0.6,33.1,4.3,39.7,-2.9,26.8,0,0,0,0,10.0,6.0,14.8,23.8,1.0
6,1649671200,2022-04-11 06:00,4.1,39.4,0,{},9.2,14.8,298,WNW,1018.0,30.05,0.0,0.0,61,0,0.7,33.3,0.7,33.3,4.1,39.4,-2.8,27.0,0,0,0,0,10.0,6.0,13.0,20.9,1.0
7,1649674800,2022-04-11 07:00,4.2,39.6,1,{},9.4,15.1,297,WNW,1019.0,30.08,0.0,0.0,60,0,0.7,33.3,0.7,33.3,4.2,39.6,-2.8,27.0,0,0,0,0,10.0,6.0,13.2,21.2,2.0
8,1649678400,2022-04-11 08:00,5.2,41.4,1,{},10.1,16.2,311,NW,1019.0,30.09,0.0,0.0,55,0,1.8,35.2,1.8,35.2,5.2,41.4,-3.2,26.2,0,0,0,0,10.0,6.0,13.0,20.9,3.0
9,1649682000,2022-04-11 09:00,6.8,44.2,1,{},8.1,13.0,318,NW,1019.0,30.1,0.0,0.0,46,9,4.3,39.7,4.3,39.7,6.8,44.2,-3.9,25.0,0,0,0,0,10.0,6.0,9.6,15.5,3.0
10,1649685600,2022-04-11 10:00,8.5,47.3,1,{},5.6,9.0,321,NW,1019.0,30.1,0.0,0.0,39,9,7.0,44.6,7.0,44.6,8.5,47.3,-4.8,23.4,0,0,0,0,10.0,6.0,6.5,10.4,3.0
11,1649689200,2022-04-11 11:00,11.2,52.2,1,{},3.8,6.1,300,WNW,1019.0,30.09,0.0,0.0,33,7,10.8,51.4,10.8,51.4,11.2,52.2,-4.5,23.9,0,0,0,0,10.0,6.0,4.5,7.2,4.0
12,1649692800,2022-04-11 12:00,12.0,53.6,1,{},4.9,7.9,261,W,1019.0,30.08,0.0,0.0,30,61,11.4,52.5,11.4,52.5,12.0,53.6,-5.1,22.8,0,0,0,0,10.0,6.0,5.6,9.0,4.0
