,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649563200,2022-04-10 00:00,8.6,47.5,0,{},8.7,14.0,296,WNW,1006.0,29.71,0.0,0.0,59,44,6.3,43.3,6.3,43.3,8.6,47.5,1.1,34.0,0,0,0,0,10.0,6.0,12.8,20.5,1.0
1,1649566800,2022-04-10 01:00,7.8,46.0,0,{},8.7,14.0,314,NW,1007.0,29.72,0.0,0.0,64,32,5.3,41.5,5.3,41.5,7.8,46.0,1.5,34.7,0,0,0,0,10.0,6.0,12.3,19.8,1.0
2,1649570400,2022-04-10 02:00,7.0,44.6,0,{},7.8,12.6,332,NNW,1007.0,29.72,0.0,0.0,74,41,4.6,40.3,4.6,40.3,7.0,44.6,2.7,36.9,0,0,0,0,10.0,6.0,11.0,17.6,1.0
3,1649574000,2022-04-10 03:00,6.6,43.9,0,{},7.8,12.6,325,NW,1007.0,29.74,0.1,0.0,78,55,4.1,39.4,4.1,39.4,6.6,43.9,3.0,37.4,0,65,0,0,10.0,6.0,11.0,17.6,1.0
4,1649577600,2022-04-10 04:00,6.4,43.5,0,{},9.8,15.8,314,NW,1007.0,29.75,0.0,0.0,76,70,3.4,38.1,3.4,38.1,6.4,43.5,2.4,36.3,0,0,0,0,10.0,6.0,13.6,22.0,1.0
5,1649581200,2022-04-10 05:00,5.6,42.1,0,{},10.7,17.3,306,NW,1008.0,29.77,0.1,0.0,71,73,2.2,36.0,2.2,36.0,5.6,42.1,0.8,33.4,1,84,0,0,10.0,6.0,14.8,23.8,1.0
6,1649584800,2022-04-10 06:00,4.7,40.5,0,{},10.3,16.6,301,WNW,1009.0,29.79,0.0,0.0,66,17,1.1,34.0,1.1,34.0,4.7,40.5,-1.2,29.8,0,0,0,0,10.0,6.0,14.1,22.7,1.0
7,1649588400,2022-04-10 07:00,4.1,39.4,1,{},10.5,16.9,298,WNW,1009.0,29.81,0.0,0.0,63,9,0.4,32.7,0.4,32.7,4.1,39.4,-2.4,27.7,0,0,0,0,10.0,6.0,14.1,22.7,2.0
8,1649592000,2022-04-10 08:00,4.4,39.9,1,{},11.9,19.1,302,WNW,1010.0,29.83,0.1,0.0,59,84,0.4,32.7,0.4,32.7,4.4,39.9,-2.8,27.0,1,78,0,0,10.0,6.0,14.5,23.4,1.0
9,1649595600,2022-04-10 09:00,5.5,41.9,1,{},12.1,19.4,304,NW,1010.0,29.84,0.0,0.0,55,11,1.8,35.2,1.8,35.2,5.5,41.9,-2.9,26.8,0,0,0,0,10.0,6.0,13.9,22.3,3.0
10,1649599200,2022-04-10 10:00,6.7,44.1,1,{},12.1,19.4,303,WNW,1011.0,29.85,0.0,0.0,49,42,3.3,37.9,3.3,37.9,6.7,44.1,-3.1,26.4,0,0,0,0,10.0,6.0,13.9,22.3,3.0
11,1649602800,2022-04-10 11:00,8.4,47.1,1,{},12.5,20.2,300,WNW,1011.0,29.85,0.0,0.0,44,100,5.3,41.5,5.3,41.5,8.4,47.1,-3.0,26.6,0,0,0,0,10.0,6.0,14.3,23.0,2.0
12,1649606400,2022-04-10 12:00,8.9,48.0,1,{},13.9,22.3,298,WNW,1011.0,29.85,0.0,0.0,43,86,5.8,42.4,5.8,42.4,8.9,48.0,-3.0,26.6,0,0,0,0,10.0,6.0,15.9,25.6,2.0
13,1649610000,2022-04-10 13:00,8.4,47.1,1,{},13.4,21.6,294,WNW,1011.0,29.85,0.0,0.0,44,100,5.2,41.4,5.2,41.4,8.4,47.1,-3.0,26.6,0,0,0,0,10.0,6.0,15.4,24.8,2.0
14,1649613600,2022-04-10 14:00,9.1,48.4,1,{},13.9,22.3,291,WNW,1011.0,29.85,0.0,0.0,43,100,6.0,42.8,6.0,42.8,9.1,48.4,-2.6,27.3,0,0,0,0,10.0,6.0,15.9,25.6,2.0
15,1649617200,2022-04-10 15:00,10.1,50.2,1,{},14.5,23.4,289,WNW,1011.0,29.85,0.0,0.0,43,100,7.2,45.0,7.2,45.0,10.1,50.2,-1.9,28.6,0,0,0,0,10.0,6.0,16.8,27.0,3.0
16,1649620800,2022-04-10 16:00,10.7,51.3,1,{},13.9,22.3,295,WNW,1011.0,29.84,0.0,0.0,41,47,8.1,46.6,8.1,46.6,10.7,51.3,-2.1,28.2,0,0,0,0,10.0,6.0,15.9,25.6,4.0
17,1649624400,2022-04-10 17:00,11.1,52.0,1,{},13.6,22.0,294,WNW,1011.0,29.85,0.0,0.0,40,53,8.6,47.5,8.6,47.5,11.1,52.0,-1.9,28.6,0,0,0,0,10.0,6.0,15.7,25.2,4.0
18,1649628000,2022-04-10 18:00,11.2,52.2,1,{},12.5,20.2,295,WNW,1012.0,29.87,0.0,0.0,42,31,8.9,48.0,8.9,48.0,11.2,52.2,-1.1,30.0,0,0,0,0,10.0,6.0,14.3,23.0,4.0
