,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649574000,2022-04-10 00:00,25.6,78.1,0,{},11.9,19.1,238,WSW,1004.0,29.64,0.0,0.0,14,0,24.2,75.6,25.6,78.1,24.2,75.6,-3.6,25.5,0,0,0,0,10.0,6.0,19.7,31.7,1.0
1,1649577600,2022-04-10 01:00,24.7,76.5,0,{},7.6,12.2,242,WSW,1004.0,29.65,0.0,0.0,16,0,23.6,74.5,24.7,76.5,23.6,74.5,-2.4,27.7,0,0,0,0,10.0,6.0,13.0,20.9,1.0
2,1649581200,2022-04-10 02:00,23.7,74.7,0,{},2.9,4.7,294,WNW,1005.0,29.66,0.0,0.0,19,0,23.0,73.4,23.7,74.7,23.0,73.4,-1.4,29.5,0,0,0,0,10.0,6.0,4.9,7.9,1.0
3,1649584800,2022-04-10 03:00,23.0,73.4,0,{},1.6,2.5,300,WNW,1005.0,29.67,0.0,0.0,21,0,22.6,72.7,23.0,73.4,22.6,72.7,-0.8,30.6,0,0,0,0,10.0,6.0,2.7,4.3,1.0
4,1649588400,2022-04-10 04:00,22.5,72.5,0,{},3.4,5.4,126,SE,1004.0,29.66,0.0,0.0,21,0,22.5,72.5,22.5,72.5,22.5,72.5,-0.7,30.7,0,0,0,0,10.0,6.0,5.8,9.4,1.0
5,1649592000,2022-04-10 05:00,22.1,71.8,0,{},3.6,5.8,143,SE,1004.0,29.65,0.0,0.0,21,0,22.3,72.1,22.1,71.8,22.3,72.1,-1.2,29.8,0,0,0,0,10.0,6.0,6.3,10.1,1.0
6,1649595600,2022-04-10 06:00,21.6,70.9,0,{},0.2,0.4,224,SW,1005.0,29.67,0.0,0.0,22,0,21.6,70.9,21.6,70.9,22.2,72.0,-1.0,30.2,0,0,0,0,10.0,6.0,0.4,0.7,1.0
7,1649599200,2022-04-10 07:00,21.0,69.8,1,{},1.1,1.8,65,ENE,1005.0,29.69,0.0,0.0,23,0,21.0,69.8,21.0,69.8,21.0,69.8,-0.6,30.9,0,0,0,0,10.0,6.0,2.0,3.2,6.0
8,1649602800,2022-04-10 08:00,21.5,70.7,1,{},4.7,7.6,89,E,1006.0,29.71,0.0,0.0,24,3,21.5,70.7,21.5,70.7,22.4,72.3,0.1,32.2,0,0,0,0,10.0,6.0,6.7,10.8,6.0
9,1649606400,2022-04-10 09:00,22.7,72.9,1,{},4.7,7.6,113,ESE,1007.0,29.73,0.0,0.0,23,0,22.7,72.9,22.7,72.9,22.7,72.9,0.2,32.4,0,0,0,0,10.0,6.0,5.4,8.6,6.0
10,1649610000,2022-04-10 10:00,23.8,74.8,1,{},1.3,2.2,140,SE,1007.0,29.75,0.0,0.0,21,0,23.2,73.8,23.8,74.8,23.2,73.8,0.4,32.7,0,0,0,0,10.0,6.0,1.6,2.5,6.0
11,1649613600,2022-04-10 11:00,26.6,79.9,1,{},2.0,3.2,240,WSW,1007.0,29.74,0.0,0.0,20,2,24.9,76.8,26.6,79.9,24.9,76.8,1.9,35.4,0,0,0,0,10.0,6.0,2.2,3.6,7.0
12,1649617200,2022-04-10 12:00,29.4,84.9,1,{},5.6,9.0,239,WSW,1007.0,29.72,0.0,0.0,18,0,27.2,81.0,29.4,84.9,27.2,81.0,2.8,37.0,0,0,0,0,10.0,6.0,6.5,10.4,7.0
