,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649563200,2022-04-10 00:00,1.3,34.3,0,{},4.9,7.9,277,W,1013.0,29.9,0.1,0.0,89,68,-1.2,29.8,-1.2,29.8,1.3,34.3,-0.3,31.5,0,61,0,0,7.0,4.0,7.8,12.6,1.0
1,1649566800,2022-04-10 01:00,1.1,34.0,0,{},5.8,9.4,271,W,1013.0,29.91,0.1,0.0,88,74,-1.8,28.8,-1.8,28.8,1.1,34.0,-0.6,30.9,1,73,0,0,7.0,4.0,8.7,14.0,1.0
2,1649570400,2022-04-10 02:00,0.0,32.0,0,{},6.5,10.4,264,W,1013.0,29.92,0.4,0.02,92,75,-3.4,25.9,-3.4,25.9,0.0,32.0,-1.2,29.8,0,0,1,78,7.0,4.0,10.1,16.2,1.0
3,1649574000,2022-04-10 03:00,-0.4,31.3,0,{},7.2,11.5,261,W,1013.0,29.92,0.0,0.0,92,76,-4.2,24.4,-4.2,24.4,-0.4,31.3,-1.5,29.3,0,0,0,0,10.0,6.0,10.7,17.3,1.0
4,1649577600,2022-04-10 04:00,-0.7,30.7,0,{},7.4,11.9,260,W,1014.0,29.93,0.0,0.0,93,88,-4.6,23.7,-4.6,23.7,-0.7,30.7,-1.7,28.9,0,0,0,0,10.0,6.0,11.0,17.6,1.0
5,1649581200,2022-04-10 05:00,-0.8,30.6,0,{},8.1,13.0,260,W,1014.0,29.94,0.0,0.0,92,90,-5.0,23.0,-5.0,23.0,-0.8,30.6,-1.9,28.6,0,0,0,0,10.0,6.0,11.6,18.7,1.0
6,1649584800,2022-04-10 06:00,-0.8,30.6,0,{},8.7,14.0,262,W,1014.0,29.95,0.0,0.0,90,71,-5.2,22.6,-5.2,22.6,-0.8,30.6,-2.2,28.0,0,0,0,0,10.0,6.0,12.3,19.8,1.0
7,1649588400,2022-04-10 07:00,-0.7,30.7,1,{},8.9,14.4,266,W,1015.0,29.97,0.0,0.0,90,69,-5.2,22.6,-5.2,22.6,-0.7,30.7,-2.1,28.2,0,0,0,0,10.0,6.0,11.6,18.7,1.0
8,1649592000,2022-04-10 08:00,0.0,32.0,1,{},9.2,14.8,274,W,1016.0,30.0,0.0,0.0,87,65,-4.4,24.1,-4.4,24.1,0.0,32.0,-1.9,28.6,0,0,0,0,10.0,6.0,10.7,17.3,1.0
9,1649595600,2022-04-10 09:00,1.5,34.7,1,{},10.5,16.9,284,WNW,1016.0,30.0,0.0,0.0,79,84,-2.9,26.8,-2.9,26.8,1.5,34.7,-1.7,28.9,0,0,0,0,10.0,6.0,12.1,19.4,1.0
10,1649599200,2022-04-10 10:00,3.3,37.9,1,{},11.2,18.0,293,WNW,1016.0,30.01,0.0,0.0,69,100,-0.8,30.6,-0.8,30.6,3.3,37.9,-1.8,28.8,0,0,0,0,10.0,6.0,13.0,20.9,1.0
11,1649602800,2022-04-10 11:00,3.8,38.8,1,{},11.4,18.4,296,WNW,1017.0,30.02,0.0,0.0,65,100,-0.2,31.6,-0.2,31.6,3.8,38.8,-2.2,28.0,0,0,0,0,10.0,6.0,13.2,21.2,1.0
12,1649606400,2022-04-10 12:00,4.1,39.4,1,{},10.1,16.2,297,WNW,1017.0,30.03,0.0,0.0,65,100,0.4,32.7,0.4,32.7,4.1,39.4,-2.0,28.4,0,0,0,0,10.0,6.0,11.6,18.7,1.0
13,1649610000,2022-04-10 13:00,5.4,41.7,1,{},10.1,16.2,295,WNW,1017.0,30.02,0.0,0.0,58,100,2.1,35.8,2.1,35.8,5.4,41.7,-2.2,28.0,0,0,0,0,10.0,6.0,11.6,18.7,2.0
14,1649613600,2022-04-10 14:00,7.3,45.1,1,{},8.9,14.4,299,WNW,1016.0,30.01,0.0,0.0,51,60,4.7,40.5,4.7,40.5,7.3,45.1,-2.3,27.9,0,0,0,0,10.0,6.0,10.3,16.6,3.0
15,1649617200,2022-04-10 15:00,9.8,49.6,1,{},8.9,14.4,302,WNW,1015.0,29.98,0.0,0.0,44,68,7.7,45.9,7.7,45.9,9.8,49.6,-2.0,28.4,0,0,0,0,10.0,6.0,10.3,16.6,2.0
