,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649574000,2022-04-10 00:00,12.1,53.8,0,{},4.9,7.9,342,NNW,1015.0,29.98,0.0,0.0,57,3,11.5,52.7,11.5,52.7,12.1,53.8,3.8,38.8,0,0,0,0,10.0,6.0,10.3,16.6,1.0
1,1649577600,2022-04-10 01:00,12.2,54.0,0,{},6.7,10.8,352,N,1016.0,29.99,0.0,0.0,44,0,11.1,52.0,11.1,52.0,12.2,54.0,0.5,32.9,0,0,0,0,10.0,6.0,14.1,22.7,1.0
2,1649581200,2022-04-10 02:00,12.4,54.3,0,{},9.2,14.8,2,N,1016.0,30.0,0.0,0.0,35,0,10.9,51.6,10.9,51.6,12.4,54.3,-2.7,27.1,0,0,0,0,10.0,6.0,19.2,31.0,1.0
3,1649584800,2022-04-10 03:00,12.1,53.8,0,{},9.2,14.8,354,N,1016.0,30.0,0.0,0.0,33,15,10.5,50.9,10.5,50.9,12.1,53.8,-3.5,25.7,0,0,0,0,10.0,6.0,19.2,31.0,1.0
4,1649588400,2022-04-10 04:00,11.7,53.1,0,{},8.1,13.0,344,NNW,1016.0,30.0,0.0,0.0,36,0,10.2,50.4,10.2,50.4,11.7,53.1,-3.0,26.6,0,0,0,0,10.0,6.0,16.3,26.3,1.0
5,1649592000,2022-04-10 05:00,11.0,51.8,0,{},5.4,8.6,336,NNW,1016.0,30.0,0.0,0.0,38,0,10.1,50.2,10.1,50.2,11.0,51.8,-2.8,27.0,0,0,0,0,10.0,6.0,11.2,18.0,1.0
6,1649595600,2022-04-10 06:00,10.4,50.7,0,{},6.0,9.7,323,NW,1016.0,29.99,0.0,0.0,40,3,9.2,48.6,9.2,48.6,10.4,50.7,-2.7,27.1,0,0,0,0,10.0,6.0,12.8,20.5,1.0
7,1649599200,2022-04-10 07:00,9.9,49.8,1,{},5.6,9.0,318,NW,1016.0,30.0,0.0,0.0,44,40,8.7,47.7,8.7,47.7,9.9,49.8,-1.8,28.8,0,0,0,0,10.0,6.0,11.6,18.7,3.0
8,1649602800,2022-04-10 08:00,11.1,52.0,1,{},4.3,6.8,301,WNW,1016.0,30.01,0.0,0.0,47,4,10.5,50.9,10.5,50.9,11.1,52.0,0.2,32.4,0,0,0,0,10.0,6.0,6.9,11.2,4.0
9,1649606400,2022-04-10 09:00,12.3,54.1,1,{},5.8,9.4,297,WNW,1016.0,30.01,0.0,0.0,44,3,11.5,52.7,11.5,52.7,12.3,54.1,0.4,32.7,0,0,0,0,10.0,6.0,7.8,12.6,4.0
10,1649610000,2022-04-10 10:00,13.9,57.0,1,{},5.4,8.6,292,WNW,1016.0,30.0,0.0,0.0,40,0,13.5,56.3,13.5,56.3,13.9,57.0,0.6,33.1,0,0,0,0,10.0,6.0,6.7,10.8,4.0
11,1649613600,2022-04-10 11:00,16.1,61.0,1,{},6.7,10.8,283,WNW,1016.0,29.99,0.0,0.0,39,2,16.1,61.0,16.1,61.0,16.1,61.0,2.1,35.8,0,0,0,0,10.0,6.0,7.8,12.6,5.0
12,1649617200,2022-04-10 12:00,15.8,60.4,1,{},8.9,14.4,271,W,1015.0,29.97,0.0,0.0,40,3,15.8,60.4,15.8,60.4,15.8,60.4,2.4,36.3,0,0,0,0,10.0,6.0,10.3,16.6,5.0
13,1649620800,2022-04-10 13:00,15.5,59.9,1,{},10.7,17.3,273,W,1015.0,29.96,0.0,0.0,44,2,15.5,59.9,15.5,59.9,15.5,59.9,3.2,37.8,0,0,0,0,10.0,6.0,12.8,20.5,5.0
14,1649624400,2022-04-10 14:00,18.6,65.5,1,{},13.0,20.9,274,W,1014.0,29.95,0.0,0.0,47,0,18.6,65.5,18.6,65.5,18.6,65.5,7.0,44.6,0,0,0,0,10.0,6.0,15.0,24.1,5.0
15,1649628000,2022-04-10 15:00,18.9,66.0,1,{},14.8,23.8,280,W,1014.0,29.93,0.0,0.0,49,0,18.9,66.0,18.9,66.0,18.9,66.0,7.9,46.2,0,0,0,0,10.0,6.0,17.0,27.4,5.0
16,1649631600,2022-04-10 16:00,18.6,65.5,1,{},16.8,27.0,282,WNW,1013.0,29.92,0.0,0.0,52,0,18.6,65.5,18.6,65.5,18.6,65.5,8.5,47.3,0,0,0,0,10.0,6.0,19.2,31.0,5.0
17,1649635200,2022-04-10 17:00,17.5,63.5,1,{},17.0,27.4,284,WNW,1013.0,29.91,0.0,0.0,57,0,17.5,63.5,17.5,63.5,17.5,63.5,9.0,48.2,0,0,0,0,10.0,6.0,19.5,31.3,5.0
18,1649638800,2022-04-10 18:00,16.4,61.5,1,{},17.7,28.4,290,WNW,1013.0,29.92,0.0,0.0,62,2,16.4,61.5,16.4,61.5,16.4,61.5,9.2,48.6,0,0,0,0,10.0,6.0,20.4,32.8,5.0
19,1649642400,2022-04-10 19:00,15.0,59.0,1,{},17.2,27.7,292,WNW,1013.0,29.92,0.0,0.0,68,3,13.2,55.8,13.2,55.8,15.0,59.0,9.2,48.6,0,0,0,0,10.0,6.0,19.9,32.0,5.0
20,1649646000,2022-04-10 20:00,10.5,50.9,0,{},15.7,25.2,290,WNW,1013.0,29.93,0.0,0.0,73,5,7.6,45.7,7.6,45.7,10.5,50.9,5.9,42.6,0,0,0,0,10.0,6.0,23.3,37.4,1.0
21,1649649600,2022-04-10 21:00,9.8,49.6,0,{},14.8,23.8,289,WNW,1014.0,29.94,0.0,0.0,75,5,6.8,44.2,6.8,44.2,9.8,49.6,5.5,41.9,0,0,0,0,10.0,6.0,21.7,34.9,1.0
22,1649653200,2022-04-10 22:00,9.5,49.1,0,{},14.8,23.8,290,WNW,1014.0,29.94,0.0,0.0,76,5,6.4,43.5,6.4,43.5,9.5,49.1,5.4,41.7,0,0,0,0,10.0,6.0,21.7,34.9,1.0
23,1649656800,2022-04-10 23:00,9.3,48.7,0,{},13.9,22.3,290,WNW,1014.0,29.94,0.0,0.0,76,7,6.3,43.3,6.3,43.3,9.3,48.7,5.2,41.4,0,0,0,0,10.0,6.0,20.4,32.8,1.0
0,1649660400,2022-04-11 00:00,8.9,48.0,0,{},13.2,21.2,287,WNW,1014.0,29.93,0.0,0.0,76,12,5.9,42.6,5.9,42.6,8.9,48.0,4.8,40.6,0,0,0,0,10.0,6.0,20.4,32.8,1.0
1,1649664000,2022-04-11 01:00,9.0,48.2,0,{},14.3,23.0,287,WNW,1014.0,29.94,0.0,0.0,76,10,5.8,42.4,5.8,42.4,9.0,48.2,5.0,41.0,0,0,0,0,10.0,6.0,21.9,35.3,1.0
2,1649667600,2022-04-11 02:00,9.3,48.7,0,{},14.5,23.4,288,WNW,1014.0,29.93,0.0,0.0,75,12,6.2,43.2,6.2,43.2,9.3,48.7,5.2,41.4,0,0,0,0,10.0,6.0,22.1,35.6,1.0
3,1649671200,2022-04-11 03:00,9.6,49.3,0,{},15.4,24.8,286,WNW,1014.0,29.93,0.0,0.0,75,18,6.4,43.5,6.4,43.5,9.6,49.3,5.4,41.7,0,0,0,0,10.0,6.0,22.4,36.0,1.0
4,1649674800,2022-04-11 04:00,9.6,49.3,0,{},15.7,25.2,283,WNW,1014.0,29.93,0.0,0.0,76,19,6.4,43.5,6.4,43.5,9.6,49.3,5.5,41.9,0,0,0,0,10.0,6.0,21.5,34.6,1.0
5,1649678400,2022-04-11 05:00,9.3,48.7,0,{},13.2,21.2,284,WNW,1014.0,29.94,0.0,0.0,80,40,6.4,43.5,6.4,43.5,9.3,48.7,6.0,42.8,0,0,0,0,10.0,6.0,18.6,29.9,1.0
6,1649682000,2022-04-11 06:00,9.3,48.7,0,{},9.8,15.8,269,W,1014.0,29.94,0.0,0.0,84,100,7.0,44.6,7.0,44.6,9.3,48.7,6.8,44.2,0,0,0,0,10.0,6.0,13.9,22.3,1.0
7,1649685600,2022-04-11 07:00,9.9,49.8,1,{},9.2,14.8,237,WSW,1014.0,29.94,0.0,0.0,87,100,7.8,46.0,7.8,46.0,9.9,49.8,7.8,46.0,0,0,0,0,10.0,6.0,12.3,19.8,2.0
8,1649689200,2022-04-11 08:00,10.3,50.5,1,{},11.6,18.7,209,SSW,1013.0,29.93,0.6,0.02,93,100,7.9,46.2,7.9,46.2,10.3,50.5,9.2,48.6,1,87,0,0,2.0,1.0,15.4,24.8,3.0
9,1649692800,2022-04-11 09:00,10.6,51.1,1,{},13.4,21.6,221,SW,1013.0,29.92,0.0,0.0,95,100,8.0,46.4,8.0,46.4,10.6,51.1,9.8,49.6,0,0,0,0,10.0,6.0,18.6,29.9,3.0
10,1649696400,2022-04-11 10:00,11.0,51.8,1,{},14.1,22.7,236,WSW,1013.0,29.92,0.4,0.02,96,100,8.4,47.1,8.4,47.1,11.0,51.8,10.3,50.5,1,86,0,0,2.0,1.0,20.1,32.4,3.0
11,1649700000,2022-04-11 11:00,11.8,53.2,1,{},16.6,26.6,253,WSW,1013.0,29.92,0.0,0.0,95,100,9.1,48.4,9.1,48.4,11.8,53.2,11.0,51.8,0,0,0,0,10.0,6.0,21.3,34.2,3.0
12,1649703600,2022-04-11 12:00,11.3,52.3,1,{},18.3,29.5,285,WNW,1013.0,29.92,0.2,0.01,87,81,8.3,46.9,8.3,46.9,11.3,52.3,9.3,48.7,1,85,0,0,10.0,6.0,21.3,34.2,3.0
13,1649707200,2022-04-11 13:00,11.6,52.9,1,{},20.8,33.5,283,WNW,1014.0,29.93,0.0,0.0,73,16,8.5,47.3,8.5,47.3,11.6,52.9,6.9,44.4,0,0,0,0,10.0,6.0,23.9,38.5,4.0
14,1649710800,2022-04-11 14:00,14.2,57.6,1,{},24.2,38.9,285,WNW,1014.0,29.94,0.2,0.01,57,87,11.6,52.9,11.6,52.9,14.2,57.6,5.8,42.4,1,82,0,0,10.0,6.0,28.2,45.4,3.0
15,1649714400,2022-04-11 15:00,13.9,57.0,1,{},25.9,41.8,288,WNW,1014.0,29.94,0.0,0.0,48,0,11.1,52.0,11.1,52.0,13.9,57.0,3.2,37.8,0,0,0,0,10.0,6.0,29.8,47.9,4.0
16,1649718000,2022-04-11 16:00,13.6,56.5,1,{},25.9,41.8,293,WNW,1014.0,29.94,0.0,0.0,49,0,10.7,51.3,10.7,51.3,13.6,56.5,3.0,37.4,0,0,0,0,10.0,6.0,30.2,48.6,4.0
17,1649721600,2022-04-11 17:00,13.3,55.9,1,{},24.4,39.2,296,WNW,1015.0,29.96,0.0,0.0,47,5,10.4,50.7,10.4,50.7,13.3,55.9,2.2,36.0,0,0,0,0,10.0,6.0,28.0,45.0,4.0
18,1649725200,2022-04-11 18:00,13.8,56.8,1,{},22.8,36.7,300,WNW,1015.0,29.96,0.0,0.0,48,0,11.2,52.2,11.2,52.2,13.8,56.8,3.1,37.6,0,0,0,0,10.0,6.0,26.2,42.1,4.0
19,1649728800,2022-04-11 19:00,13.2,55.8,1,{},19.9,32.0,311,NW,1015.0,29.98,0.0,0.0,51,0,10.6,51.1,10.6,51.1,13.2,55.8,3.2,37.8,0,0,0,0,10.0,6.0,22.8,36.7,4.0
20,1649732400,2022-04-11 20:00,9.2,48.6,0,{},18.6,29.9,311,NW,1016.0,30.01,0.0,0.0,55,0,5.5,41.9,5.5,41.9,9.2,48.6,0.7,33.3,0,0,0,0,10.0,6.0,24.4,39.2,1.0
21,1649736000,2022-04-11 21:00,8.7,47.7,0,{},18.1,29.2,308,NW,1018.0,30.05,0.0,0.0,57,0,4.9,40.8,4.9,40.8,8.7,47.7,0.6,33.1,0,0,0,0,10.0,6.0,24.4,39.2,1.0
22,1649739600,2022-04-11 22:00,8.4,47.1,0,{},19.5,31.3,310,NW,1018.0,30.06,0.0,0.0,58,0,4.4,39.9,4.4,39.9,8.4,47.1,0.7,33.3,0,0,0,0,10.0,6.0,25.9,41.8,1.0
