,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
0,1649574000,2022-04-10 00:00,2.4,36.3,0,{},6.7,10.8,150,SSE,1018.0,30.05,2.7,0.11,99,100,-0.6,30.9,-0.6,30.9,2.4,36.3,2.2,36.0,1,97,0,0,6.0,3.0,8.5,13.7,1.0
1,1649577600,2022-04-10 01:00,3.0,37.4,0,{},8.5,13.7,179,S,1017.0,30.04,0.0,0.0,94,100,-0.5,31.1,-0.5,31.1,3.0,37.4,2.1,35.8,0,0,0,0,10.0,6.0,11.6,18.7,1.0
2,1649581200,2022-04-10 02:00,3.0,37.4,0,{},9.4,15.1,190,S,1017.0,30.04,3.7,0.15,91,100,-0.7,30.7,-0.7,30.7,3.0,37.4,1.6,34.9,1,97,0,0,2.0,1.0,13.6,22.0,1.0
3,1649584800,2022-04-10 03:00,2.8,37.0,0,{},7.6,12.2,190,S,1017.0,30.04,0.0,0.0,94,100,-0.5,31.1,-0.5,31.1,2.8,37.0,2.0,35.6,0,0,0,0,2.0,1.0,10.1,16.2,1.0
4,1649588400,2022-04-10 04:00,2.7,36.9,0,{},5.4,8.6,192,SSW,1018.0,30.05,0.9,0.04,97,100,0.2,32.4,0.2,32.4,2.7,36.9,2.3,36.1,1,96,0,0,2.0,1.0,6.9,11.2,1.0
5,1649592000,2022-04-10 05:00,3.0,37.4,0,{},3.6,5.8,184,S,1018.0,30.06,0.0,0.0,98,100,1.5,34.7,1.5,34.7,3.0,37.4,2.7,36.9,0,0,0,0,0.0,0.0,4.5,7.2,1.0
6,1649595600,2022-04-10 06:00,3.0,37.4,0,{},2.7,4.3,174,S,1018.0,30.06,0.2,0.01,97,100,2.1,35.8,2.1,35.8,3.0,37.4,2.5,36.5,1,86,0,0,5.0,3.0,3.6,5.8,1.0
7,1649599200,2022-04-10 07:00,3.2,37.8,1,{},2.9,4.7,171,S,1018.0,30.06,0.0,0.0,96,87,2.2,36.0,2.2,36.0,3.2,37.8,2.5,36.5,0,0,0,0,2.0,1.0,3.6,5.8,1.0
8,1649602800,2022-04-10 08:00,3.3,37.9,1,{},4.0,6.5,175,S,1018.0,30.07,0.6,0.02,95,91,1.6,34.9,1.6,34.9,3.3,37.9,2.5,36.5,1,80,0,0,7.0,4.0,5.1,8.3,1.0
9,1649606400,2022-04-10 09:00,3.7,38.7,1,{},4.3,6.8,177,S,1018.0,30.07,0.0,0.0,92,100,2.0,35.6,2.0,35.6,3.7,38.7,2.5,36.5,0,0,0,0,10.0,6.0,5.1,8.3,1.0
10,1649610000,2022-04-10 10:00,4.6,40.3,1,{},4.3,6.8,174,S,1018.0,30.07,0.2,0.01,86,100,3.0,37.4,3.0,37.4,4.6,40.3,2.5,36.5,1,87,0,0,10.0,6.0,5.4,8.6,1.0
11,1649613600,2022-04-10 11:00,5.3,41.5,1,{},4.0,6.5,157,SSE,1018.0,30.05,0.0,0.0,82,100,3.9,39.0,3.9,39.0,5.3,41.5,2.5,36.5,0,0,0,0,10.0,6.0,4.7,7.6,2.0
12,1649617200,2022-04-10 12:00,5.9,42.6,1,{},4.0,6.5,167,SSE,1017.0,30.04,0.3,0.01,78,100,4.6,40.3,4.6,40.3,5.9,42.6,2.3,36.1,0,55,0,0,10.0,6.0,4.7,7.6,2.0
13,1649620800,2022-04-10 13:00,6.8,44.2,1,{},4.0,6.5,185,S,1017.0,30.02,0.0,0.0,71,96,5.7,42.3,5.7,42.3,6.8,44.2,1.9,35.4,0,0,0,0,10.0,6.0,4.7,7.6,2.0
14,1649624400,2022-04-10 14:00,7.6,45.7,1,{},5.1,8.3,195,SSW,1016.0,30.0,0.7,0.03,65,92,6.1,43.0,6.1,43.0,7.6,45.7,1.5,34.7,1,93,0,0,10.0,6.0,6.5,10.4,2.0
15,1649628000,2022-04-10 15:00,8.1,46.6,1,{},6.3,10.1,202,SSW,1015.0,29.98,0.0,0.0,61,98,6.3,43.3,6.3,43.3,8.1,46.6,1.0,33.8,0,0,0,0,10.0,6.0,7.2,11.5,2.0
16,1649631600,2022-04-10 16:00,8.4,47.1,1,{},7.8,12.6,209,SSW,1014.0,29.96,0.2,0.01,57,99,6.3,43.3,6.3,43.3,8.4,47.1,0.4,32.7,1,92,0,0,10.0,6.0,10.5,16.9,2.0
17,1649635200,2022-04-10 17:00,7.8,46.0,1,{},9.4,15.1,218,SW,1014.0,29.94,0.0,0.0,62,92,5.2,41.4,5.2,41.4,7.8,46.0,0.9,33.6,0,0,0,0,10.0,6.0,11.0,17.6,2.0
