Titles,Price,Rating,Evaluation,Amenities,Links
"Céntrico estudio hasta para 3 personas, Carey #3 🌴",$420 MXN por noche,"['3 huéspedes', 'estudio', '2 camas', '1 baño', 'Wifi', 'Aire acondicionado', 'Cocina']",5.0,12 evaluaciones,https://www.airbnb.mx/rooms/51815427?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Beautiful Flat downtown,$800 MXN por noche,"['3 huéspedes', '1 habitación', '2 camas', '1 baño', 'Wifi', 'Aire acondicionado', 'Cocina']",4.47,49 evaluaciones,https://www.airbnb.mx/rooms/45796417?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Cozy Room by the Lagoon,$624 MXN por noche,"['2 huéspedes', '1 habitación', '1 cama', '1 baño', 'Wifi', 'Aire acondicionado', 'Alberca', 'Cocina']",4.89,194 evaluaciones,https://www.airbnb.mx/rooms/26236425?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Departamento nuevo en la zona hotelera,"$1,123 MXN por noche","['2 huéspedes', '1 habitación', '1 cama', '1 baño', 'Wifi', 'Aire acondicionado', 'Alberca']",4.79,121 evaluaciones,https://www.airbnb.mx/rooms/40843862?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Beautiful suite Cancun,$450 MXN por noche,"['3 huéspedes', '1 habitación', '1 cama', '1 baño', 'Wifi', 'Aire acondicionado']",4.77,13 evaluaciones,https://www.airbnb.mx/rooms/51082606?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
"Céntrico Estudio con hermosa terraza, #6.",$470 MXN por noche,"['4 huéspedes', 'estudio', '2 camas', '1 baño', 'Wifi', 'Aire acondicionado', 'Cocina']",4.98,81 evaluaciones,https://www.airbnb.mx/rooms/40371464?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Bright modern loft#1 w/rooftop pool by Pto Juarez,$915 MXN por noche,"['3 huéspedes', '1 habitación', '2 camas', '1 baño', 'Wifi', 'Aire acondicionado', 'Alberca', 'Cocina']",4.89,18 evaluaciones,https://www.airbnb.mx/rooms/51488526?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Seafront ocean view apartment. Great location,"$1,534 MXN por noche","['2 huéspedes', '1 habitación', '1 cama', '1 baño completo y uno de tocador', 'Wifi', 'Aire acondicionado', 'Alberca', 'Cocina']",4.87,15 evaluaciones,https://www.airbnb.mx/rooms/41067627?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
S3❤StudiosRubia-near🏖+AC❄+WiFi + ♛Bd+Work ✔,$437 MXN por noche,"['2 huéspedes', '1 habitación', '1 cama', '1 baño', 'Wifi', 'Aire acondicionado', 'Cocina']",4.76,49 evaluaciones,https://www.airbnb.mx/rooms/44595987?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Beautiful house with private pool,$776 MXN por noche,"['4 huéspedes', '1 habitación', '1 cama', '1 baño', 'Wifi', 'Aire acondicionado', 'Alberca', 'Cocina']",4.41,46 evaluaciones,https://www.airbnb.mx/rooms/47349263?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
"Frente al mar, hermosa playa, nuevo 03","$1,746 MXN por noche","['2 huéspedes', '1 habitación', '1 cama', '1 baño', 'Wifi', 'Aire acondicionado', 'Alberca']",4.98,47 evaluaciones,https://www.airbnb.mx/rooms/44938840?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Beautiful suite,$450 MXN por noche,"['2 huéspedes', '1 habitación', '1 baño', 'Wifi', 'Aire acondicionado']",4.60,5 evaluaciones,https://www.airbnb.mx/rooms/51001198?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Beautiful Suite Cancun,$450 MXN por noche,"['2 huéspedes', '1 habitación', '1 cama', '1 baño', 'Wifi', 'Aire acondicionado']",4.47,49 evaluaciones,https://www.airbnb.mx/rooms/39774536?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Beautiful Double suite Cancun,$420 MXN por noche,"['4 huéspedes', '1 habitación', '2 camas', '1 baño', 'Wifi', 'Aire acondicionado']",4.51,43 evaluaciones,https://www.airbnb.mx/rooms/39693741?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
"Nueva suite privada #1,Acceso independiente,Centro",$560 MXN por noche,"['2 huéspedes', '1 habitación', '1 cama', '1 baño', 'Wifi', 'Aire acondicionado']",4.88,259 evaluaciones,https://www.airbnb.mx/rooms/30952852?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Beautiful suite downtown Cancun,$559 MXN por noche,"['2 huéspedes', 'estudio', '1 cama', '1 baño', 'Wifi', 'Aire acondicionado']",4.56,85 evaluaciones,https://www.airbnb.mx/rooms/39692908?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Jardines de la Costa una experiencia magnifica,$623 MXN por noche,"['4 huéspedes', '1 habitación', '2 camas', '1 baño', 'Wifi', 'Aire acondicionado', 'Alberca', 'Cocina']",4.86,106 evaluaciones,https://www.airbnb.mx/rooms/34721797?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
Departamento en el corazón de la zona hotelera.,$933 MXN por noche,"['2 huéspedes', '1 habitación', '1 baño completo y uno de tocador', 'Wifi', 'Aire acondicionado', 'Cocina']",4.71,14 evaluaciones,https://www.airbnb.mx/rooms/51624590?adults=2&previous_page_section_name=1000&federated_search_id=484f82f9-6347-4013-b34b-745377d47091
