,Equipo,Posicion,Juegos_Jugados,Diferencia_Goles,Puntos
0,Bayern Munich   ,1,34,62.0,79.0
1,VfL Wolfsburg ,2,34,34.0,69.0
2,Bor. M'gladbach ,3,34,27.0,66.0
3,Bay. Leverkusen ,4,34,25.0,61.0
4,FC Augsburg ,5,34,0.0,49.0
5,FC Schalke 04 ,6,34,2.0,48.0
6,Bor. Dortmund ,7,34,5.0,46.0
7,TSG Hoffenheim ,8,34,-6.0,44.0
8,E. Frankfurt ,9,34,-6.0,43.0
9,Werder Bremen ,10,34,-15.0,43.0
10,1.FSV Mainz 05 ,11,34,-2.0,40.0
11,1. FC Köln   ,12,34,-6.0,40.0
12,Hannover 96 ,13,34,-16.0,37.0
13,VfB Stuttgart ,14,34,-18.0,36.0
14,Hertha BSC ,15,34,-16.0,35.0
15,Hamburger SV ,16,34,-25.0,35.0
16,SC Freiburg ,17,34,-11.0,34.0
17,SC Paderborn   ,18,34,-34.0,31.0
