Equipo,Diferencia de Goles,Puntos Totales,Valor Total Promedio,Valor Promedio por Jugador,Bang x Buck [Points/Value]
1. FC Koeln,-36,154,73.37,2.36,2.098950525
1.FC Nuremberg,-42,19,42.88,1.48,0.443097015
1.FSV Mainz 05,-34,206,78.68,2.172,2.618200305
Bay. Leverkusen,70,275,239.326,7.74,1.149060278
Bayern Munich ,312,411,642.776,19.042,0.639414042
Bor. Dortmund,139,319,357.696,10.716,0.891818751
Bor. M'gladbach,48,268,148.878,4.836,1.800131651
E. Frankfurt,-19,224,89.876,2.424,2.492322756
F. Duesseldorf,-16,44,47.43,1.39,0.927682901
FC Augsburg,-49,198,65.852,1.768,3.006742392
FC Ingolstadt,-30,72,30.53,421.075,2.358336063
FC Schalke 04,7,239,222.116,6.384,1.076014335
Hamburger SV,-83,145,88.5225,2.4275,1.638001638
Hannover 96,-97,122,74.6775,2.1025,1.63369154
Hertha BSC,-31,220,87.962,2.652,2.501080012
RB Leipzig,65,186,194.87,6.176666667,0.954482475
SC Freiburg,-68,154,66.04,1.9525,2.331920048
SC Paderborn,-34,31,22.45,802,1.380846325
SV Darmstadt 98,-50,63,26.315,751,2.394071822
TSG Hoffenheim,42,249,119.992,3.526,2.075138343
VfB Stuttgart,-81,148,103.4575,3.1375,1.43053911
VfL Wolfsburg,14,239,192.648,5.46,1.240604626
Werder Bremen,-27,221,76.488,2.146,2.889342119
