,Equipo,No. Jugadores,Edad Promedio,No. Extranjeros,Valor Total [mil.EUR],Valor Promedio x Jugador [mil.EUR]
0,Bayern Munich ,34,24.9,19,608.5,17.9
1,Bor. Dortmund,30,23.9,13,311.6,10.39
2,VfL Wolfsburg,35,24.5,19,265.43,7.58
3,FC Schalke 04,32,23.9,14,209.35,6.54
4,Bay. Leverkusen,33,23.2,20,200.75,6.08
5,Bor. M'gladbach,29,24.4,17,139.55,4.81
6,TSG Hoffenheim,31,23.8,16,111.4,3.59
7,E. Frankfurt,35,23.9,21,87.5,2.5
8,VfB Stuttgart,34,23.8,18,82.6,2.43
9,Hamburger SV,35,24.8,18,74.08,2.12
10,Hannover 96,39,23.5,22,73.58,1.89
11,Hertha BSC,34,24.3,15,72.9,2.14
12,1.FSV Mainz 05,39,24.3,22,67.55,1.73
13,FC Augsburg,39,24.9,20,62.5,1.6
14,Werder Bremen,39,23.6,18,59.5,1.53
15,1. FC Köln,25,24.0,12,52.05,2.08
16,FC Ingolstadt,29,24.2,15,24.38,841.0
17,SV Darmstadt 98,30,26.3,9,19.8,660.0
