,Titulo,Precio,Link
0,"SOLDIER, LILY, PEACE AND...",$45.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334796
1,BLEMISHED JEWEL,$45.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334808
2,THUG,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334871
3,A PATCHWORK OF STORIES,$45.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334872
4,DIVINE INTERVENTION,$45.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334873
5,OMEGA SEED,$45.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334876
6,BODY SWAP,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334935
7,IN SEARCH OF THE PERFECT CUP,$45.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334977
8,OUTPOST ON IO,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334979
9,TOP IT OFF WITH DEATH,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334980
10,CITY OF THE DEAD,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334981
11,BEYOND THE HEAVISIDE LAYER,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334982
12,HAIR OF THE DOG,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000334984
13,CHILDREN OF THE MONSTER,$34.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335036
14,TERROR OUT OF SPACE,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335066
15,AND EVE WAS,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335067
16,NYMPH OF DARKNESS,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335068
17,AN EPOS OF POSI AND NEGA,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335069
18,THE PERILOUS PLANET,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335070
19,GRAY DENIM,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335072
0,A MATTER OF MAGNITUDE,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335073
1,FALLEN DREAMS,$91.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335118
2,THE BIRD MASTER,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335159
3,DEATH DESERT,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335160
4,PHALANXES OF ATLANS,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335212
5,SATAN'S PLEA,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335214
6,DANGEROUS WATERS,$34.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335215
7,FIVE MINUTES,$34.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335217
8,CONVOY TO ATLANTIS,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335218
9,COMPENSATION,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335219
10,LACHEN LEBEN STERBEN,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335220
11,DIE KLEINE ÄTHERISCHE...,$68.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335291
12,BILDER MIT GEFÜHLEN.,$114.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335376
13,JOFFREY – WIR SAGTEN...,$45.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335479
14,FJORDIMONAS FIDELN - DER...,$34.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335557
15,DAS MONDSCHIFF,$34.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335561
16,STAHLBEIN MULDIN 1: DER...,$23.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335562
17,"VATER, SOHN UND TEUFEL",$45.00,https://www.elsotano.com/foto/muestraPortadaEbook.php?id=E1000335563
