Car_Name,Years,Kilometers,Places,Prices
Kia Soul EX,2017,"62,170",Monterrey,"$249,999"
Chevrolet Cruze LS Turbo,2017,"72,910",Monterrey,"$194,999"
Honda Accord EXL,2015,"105,360",Monterrey,"$265,999"
Infiniti Q50 Híbrido,2017,"83,440",Monterrey,"$396,999"
Mazda MX-5 I Sport,2017,"53,960",Monterrey,"$310,999"
Toyota Camry XLE,2015,"71,350",Monterrey,"$245,999"
Bmw Serie 6 650i Gran Coupé,2016,"30,324",Monterrey,"$799,999"
Ford Edge SEL Plus,2016,"106,640",Monterrey,"$387,999"
Jeep Grand Cherokee Summit HEMI,2015,"98,550",Monterrey,"$517,999"
Buick Enclave Premium,2017,"65,910",Monterrey,"$424,999"
Bmw I3 Hatch Back i3 Rex Dynamic Híbrido,2017,"77,380",Monterrey,"$603,999"
Ford Fusion Sport V6 EcoBoost,2017,"17,290",Monterrey,"$421,999"
Mazda 3 s,2017,"56,535",México,"$264,999"
Infiniti Q50 Híbrido,2017,"89,340",México,"$399,999"
Infiniti Q70 Perfection,2016,"67,400",Monterrey,"$439,999"
Jeep Grand Cherokee Limited Lujo,2019,"21,760",Monterrey,"$763,999"
Chevrolet Cruze LT Turbo,2017,"64,200",Monterrey,"$224,999"
Seat Leon Style 1.4T,2016,"87,299",Monterrey,"$236,999"
Renault Koleos Iconic,2019,"33,700",Monterrey,"$465,999"
Chevrolet Aveo LTZ (Línea anterior),2017,"97,000",Monterrey,"$176,999"
Nissan X Trail Híbrido,2018,"90,000",Monterrey,"$497,999"
Ford Explorer Limited,2015,"69,000",Monterrey,"$423,999"
Volkswagen Vento Comfortline,2019,"59,000",Monterrey,"$250,999"
Honda Hr-V Epic,2017,"69,300",Monterrey,"$345,999"
Toyota RAV4 XLE,2020,"40,000",Monterrey,"$550,999"
Chevrolet Aveo LS,2019,"65,000",Monterrey,"$198,999"
Volkswagen Gol Trendline,2018,"54,600",Monterrey,"$207,999"
Kia Sorento EX,2017,"112,700",Monterrey,"$408,999"
Suzuki Vitara GLX,2018,"70,600",Monterrey,"$355,999"
Dodge Durango Limited,2014,"113,400",Monterrey,"$374,999"
