id,sku,brand,name,colorway,gender,silhouette,releaseYear,releaseDate,retailPrice,estimatedMarketValue,story,image,links
b274a3f7-7211-42de-81ec-01802a0b0853,DO6492-141,Nike,Air Max 90 Golf 'Washed Teal',Sail/Pearl White/Light Orewood Brown/Washed Teal,men,Air Max 90,2022,2022-04-05,150,200,"The Nike Air Max 90 Golf ‘Washed Teal’ takes the retro runner from the street to the green. The upper maintains the clean lines of the original, featuring an off-white textile base, TPU eyelets, a tonal suede mudguard, and an aqua-colored leather Swoosh. The latter hue is repeated on the foam midsole, enhanced with a crimson-tinged Max Air unit in the heel. A gum rubber outsole is updated with an integrated traction pattern inspired by Nike’s iconic waffle tread.","{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/070/056/832/original/DO6492_141.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/070/056/832/original/DO6492_141.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/070/056/832/original/DO6492_141.png.png'}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-max-90-golf-washed-teal-do6492-141', 'flightClub': 'https://flightclub.com/air-max-90-golf-washed-teal-do6492-141', 'stadiumGoods': ''}"
bf17d1b0-82e7-46de-b78a-6ec0fe748f17,DO0750-002,Jordan,Jordan 1 Low SE Sherpa Fleece (W),College Grey/Particle Grey/Neutral Grey/White,women,Air Jordan 1,2022,2022-04-05,120,110,,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/066/248/261/original/850026_00.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/066/248/261/original/850026_00.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/066/248/261/original/850026_00.png.png'}","{'stockX': 'https://stockx.com/air-jordan-1-low-se-sherpa-fleece-w', 'goat': 'https://goat.com/sneakers/wmns-air-jordan-1-low-se-sherpa-fleece-do0750-002', 'flightClub': 'https://flightclub.com/wmns-air-jordan-1-low-se-sherpa-fleece-do0750-002', 'stadiumGoods': ''}"
cbcf2b91-c213-4b84-b6fa-12e69651c4bf,DC0774-114,Jordan,Wmns Air Jordan 1 Low 'Marina Blue',White/Dark Marina Blue,women,Air Jordan 1,2022,2022-04-05,100,140,,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/069/693/145/original/913992_00.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/069/693/145/original/913992_00.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/069/693/145/original/913992_00.png.png'}","{'stockX': '', 'goat': 'https://goat.com/sneakers/wmns-air-jordan-1-low-marina-blue-dc0774-114', 'flightClub': 'https://flightclub.com/wmns-air-jordan-1-low-marina-blue-dc0774-114', 'stadiumGoods': ''}"
01903417-7f84-46f3-b946-44dca028cc7d,GZ1554,adidas,Swift Run 22 J 'White Black',Cloud White/Core Black/Cloud White,youth,Swift Run,2022,2022-04-04,70,70,,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/swift-run-22-j-white-black-gz1554', 'flightClub': 'https://flightclub.com/swift-run-22-j-white-black-gz1554', 'stadiumGoods': ''}"
11492de7-ed5b-4e06-82bf-12eb96ed08c0,GY1972,Reebok,Wmns Nano X1 'Pure Grey Hint Mint',Pure Grey 1/Hint Mint/Pure Grey 3,women,Nano X1,2022,2022-04-04,135,135,,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/wmns-nano-x1-pure-grey-hint-mint-gy1972', 'flightClub': 'https://flightclub.com/wmns-nano-x1-pure-grey-hint-mint-gy1972', 'stadiumGoods': ''}"
1d0d617c-fbf5-4a81-b451-38bb5f87535a,A01209F,Converse,Chuck Taylor All Star Low Easy-On TD 'Ice Pop',White/Baltic Blue/Lime Rave,infant,Chuck Taylor All Star,2022,2022-04-04,35,35,,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/chuck-taylor-all-star-low-easy-on-td-ice-pop-a01209f', 'flightClub': 'https://flightclub.com/chuck-taylor-all-star-low-easy-on-td-ice-pop-a01209f', 'stadiumGoods': ''}"
2827e2d4-f798-412b-8d6e-5896282365f5,194682-09,Puma,Wmns Eternity Nitro 'Grape Wine',Grape Wine/Lavender Fog/White,women,Eternity Nitro,2022,2022-04-04,120,120,,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/wmns-eternity-nitro-grape-wine-194682-09', 'flightClub': 'https://flightclub.com/wmns-eternity-nitro-grape-wine-194682-09', 'stadiumGoods': ''}"
30594b59-b829-4e57-a665-735fb3265969,171331C,Converse,Louie Lopez Pro Mid 'Black White',Black/Black/White,men,Louie Lopez Pro,2022,2022-04-04,75,75,,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/louie-lopez-pro-mid-black-white-171331c', 'flightClub': 'https://flightclub.com/louie-lopez-pro-mid-black-white-171331c', 'stadiumGoods': ''}"
36cec28f-675f-471c-b14e-90311ae7b8a6,GZ3332,adidas,Vulc Raid3r J 'White Black',Cloud White/Cloud White/Core Black,youth,Vulc Raid3r,2022,2022-04-04,45,45,,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/vulc-raid3r-j-white-black-gz3332', 'flightClub': 'https://flightclub.com/vulc-raid3r-j-white-black-gz3332', 'stadiumGoods': ''}"
39ce73cf-32a8-421a-b3ac-5f95a0f3b9e9,GV7846,adidas,FortaRun EL J 'Black Floral',Core Black/Cloud White/Bold Gold,youth,FortaRun,2022,2022-04-04,50,50,,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/fortarun-el-j-black-floral-gv7846', 'flightClub': 'https://flightclub.com/fortarun-el-j-black-floral-gv7846', 'stadiumGoods': ''}"
