Open Price,Highest Price,Lowest Price,Close Price,Volume_Ops
138.44,138.55,138.34,138.43,886466.0
138.44,138.49,138.35,138.44,321964.0
138.375,138.455,138.34,138.44,252689.0
138.36,138.47,138.335,138.385,233272.0
138.34,138.4,138.33,138.365,249061.0
138.443,138.457,138.295,138.34,210479.0
138.46,138.47,138.4,138.45,135392.0
138.63,138.65,138.41,138.46,183601.0
138.57,138.67,138.55,138.63,161121.0
138.68,138.685,138.53,138.57,169380.0
138.705,138.79,138.665,138.68,166921.0
138.445,138.8,138.435,138.705,404897.0
138.41,138.47,138.39,138.45,115974.0
138.35,138.42,138.34,138.41,118987.0
138.21,138.35,138.206,138.345,125469.0
138.15,138.24,138.14,138.21,71032.0
138.25,138.275,138.12,138.15,115094.0
138.185,138.28,138.16,138.26,152923.0
138.19,138.22,138.178,138.185,93773.0
138.19,138.22,138.18,138.195,87335.0
138.23,138.26,138.18,138.195,100154.0
138.255,138.27,138.16,138.237,172939.0
138.215,138.33,138.2,138.25,183011.0
138.175,138.25,138.175,138.215,147785.0
138.145,138.22,138.14,138.17,132920.0
138.09,138.157,138.08,138.15,99802.0
138.146,138.155,138.04,138.09,142886.0
138.17,138.226,138.14,138.145,122524.0
138.18,138.2,138.12,138.165,136384.0
138.185,138.25,138.16,138.175,114172.0
138.18,138.25,138.16,138.184,67901.0
138.23,138.24,138.17,138.18,78538.0
138.275,138.293,138.23,138.23,77151.0
138.218,138.285,138.19,138.275,118863.0
138.18,138.23,138.15,138.215,104196.0
138.375,138.42,138.17,138.19,154095.0
138.36,138.43,138.31,138.375,190471.0
138.439,138.445,138.36,138.36,105301.0
138.505,138.53,138.42,138.433,118735.0
138.47,138.51,138.46,138.51,102142.0
138.414,138.55,138.4,138.46,143815.0
138.468,138.475,138.37,138.41,70224.0
138.53,138.56,138.435,138.45,105264.0
138.52,138.58,138.46,138.535,166159.0
138.51,138.62,138.46,138.521,153043.0
138.34,138.51,138.32,138.505,135899.0
138.43,138.466,138.33,138.344,126860.0
138.59,138.63,138.34,138.44,158529.0
138.62,138.64,138.53,138.595,166528.0
138.446,138.63,138.446,138.62,153907.0
138.43,138.595,138.42,138.52,200739.0
138.36,138.45,138.265,138.44,197505.0
138.285,138.409,138.215,138.354,194263.0
138.354,138.43,138.24,138.29,157112.0
138.24,138.38,138.21,138.355,171612.0
138.327,138.34,138.14,138.25,201769.0
138.37,138.39,138.19,138.32,222568.0
138.43,138.475,138.3,138.37,163048.0
138.3,138.51,138.3,138.422,251561.0
138.4,138.5,138.22,138.3,267282.0
138.37,138.53,138.32,138.4,318770.0
138.498,138.498,138.353,138.353,271861.0
138.65,138.67,138.39,138.5,344688.0
138.94,138.97,138.59,138.643,358709.0
138.89,139.04,138.865,138.93,269487.0
138.83,139.1,138.81,138.89,745691.0
138.58,138.89,138.55,138.812,373339.0
138.83,138.84,138.53,138.57,463068.0
138.887,139.065,138.81,138.83,467613.0
138.845,138.9,138.77,138.895,525662.0
138.78,139.19,138.76,139.0,792631.0
138.78,138.85,138.75,138.84,960330.0
138.461,138.75,138.41,138.69,551095.0
138.16,138.48,138.155,138.465,861930.0
138.04,138.201,137.914,138.155,470234.0
138.085,138.36,138.0,138.03,705766.0
137.95,138.1,137.6,138.09,742992.0
137.41,137.99,137.33,137.945,1683698.0
136.84,136.845,136.51,136.6,1823415.0
136.665,136.87,136.633,136.84,625291.0
137.045,137.07,136.62,136.665,613419.0
136.89,137.11,136.85,137.05,489213.0
136.894,136.95,136.72,136.89,374177.0
136.95,137.11,136.85,136.9,540279.0
136.81,136.955,136.805,136.945,409692.0
136.6,136.84,136.46,136.8,846317.0
136.727,136.815,136.59,136.61,449129.0
136.73,136.805,136.58,136.725,318304.0
136.66,136.88,136.66,136.72,277960.0
137.0,137.077,136.68,136.68,360791.0
137.06,137.13,136.95,137.0,282515.0
137.1,137.28,137.05,137.057,402198.0
136.86,137.13,136.836,137.1,268204.0
136.82,137.06,136.8,136.87,387917.0
136.75,136.89,136.61,136.82,661988.0
136.72,137.0,136.71,136.75,455275.0
137.03,137.17,136.69,136.718,612677.0
137.148,137.34,137.02,137.05,474916.0
137.33,137.41,137.13,137.142,351629.0
137.34,137.422,137.19,137.32,551611.0
