Ciudad,Fecha y fuente,País,Población según Citypopulation (2015),Población según Citypopulation (2016),Población según Citypopulation[1]​,Población según Demographia (2015),Población según Demographia[2]​,Población según ONU (2015),Población según ONU[3]​,Población según último censo,Población según último censo oficial,Posición
Cantón,2010,China,,,45 600 000,,42 941 000,,45 553 000,,39 264 086,1
Tokio,2020,Japón,,,40 200 000,,38 001 000,,37 843 000,,8 945 695,2
Shanghái,2010,China,,,35 900 000,,29 213 000,,30 539 000,,10 558 121,3
Yakarta,2010,Indonesia,,,30 600 000,,11 399 000,,30 477 000,,25 420 288,4
Delhi,2011,India,,,29 400 000,,25 703 000,,24 998 000,,16 349 831,5
Manila,2010,Filipinas,,,25 200 000,,12 946 000,,24 123 000,,1 652 171,6
Seúl,2010,Corea del Sur,,,24 700 000,,13 558 000,,23 480 000,,23 836 272,7
Bombay,2011,India,,,24 700 000,,21 043 000,,21 732 000,,19 617 302,8
Ciudad de México,2015,México,,,22 800 000,,22 452 000,,20 063 000,,20 892 724,9
Nueva York,2010,Estados Unidos,,,22 400 000,,19 532 000,,20 630 000,,19 556 440,10
São Paulo,2010,Brasil,,,22 200 000,,21 066 000,,20 365 000,,19 683 975,11
El Cairo,2006,Egipto,,,20 500 000,,13 123 000,,13 123 000,,7 740 018,12
Pekín,2010,China,,,20 400 000,,13 123 000,,13 123 000,,16 446 857,13
Daca,2011,Bangladés,,,19 500 000,,17 598 000,,15 669 000,,14 543 124,14
Lagos,1991,Nigeria,,,18 800 000,,18 772 000,,15 600 000,,5 195 247,15
Bangkok,2010,Tailandia,,,18 300 000,,11 084 000,,14 998 000,,8 986 218,16
Los Ángeles,2010,Estados Unidos,,,17 800 000,,14 504 000,,15 058 000,,17 053 905,17
Osaka,2010,Japón,,,17 700 000,,20 238 000,,17 444 000,,2 665 314,18
Karachi,2011,Pakistán,,,17 300 000,,16 618 000,,22 123 000,,21 142 625,19
Moscú,2010,Rusia,,,17 200 000,,12 166 000,,16 170 000,,11 612 885,20
Calcuta,2011,India,,,16 600 000,,14 865 000,,14 667 000,,14 057 991,21
Buenos Aires,2017,Argentina,,,16 300 000,,18 086 000,,14 122 000,,13 588 171,22
Estambul,2015,Turquía,,,15 800 000,,14 164 000,,13 287 000,,14 657 000,23
Teherán,2011,Irán,,,15 000 000,,10 239 000,,13 532 000,,9 768 677,24
Londres,2011,Reino Unido,,,14 700 000,,10 313 000,,10 236 000,,11 140 445,25
Johannesburgo,2009,Sudáfrica,,,13 700 000,,12 613 000,,12 066 000,,10 002 039,26
