Ciudad,Fecha,País,Citypopulation 2015,Demographia 2015,ONU 2015,Ultimo Censo,Posición en Tabla Inicial
"Cantón (incluyendo Dongguan, Foshan, Jiangmen, Shenzhen y Zhongshan)",2010.0,China,46900000.0,45553000.0,42941000.0,39264086.0,1
Tokio,2010.0,Japón,39500000.0,37843000.0,38001000.0,8945695.0,2
"Shanghái (incl. Suzhou, Kunshan)",2010.0,China,30400000.0,30477000.0,29213000.0,25420288.0,3
Yakarta (incluyendo Bogor),2010.0,Indonesia,30100000.0,30539000.0,11399000.0,10558121.0,4
Delhi,2011.0,India,28400000.0,24998000.0,25703000.0,16349831.0,5
Karachi,2011.0,Pakistán,25300000.0,22123000.0,16618000.0,21142625.0,6
Manila,2010.0,Filipinas,24600000.0,24123000.0,12946000.0,1652171.0,7
Bombay (incluyendo Kalyan y Vasai-Virar),2011.0,India,24300000.0,21732000.0,21043000.0,19617302.0,8
Seúl (incluyendo Incheon y Suwon),2010.0,Corea del Sur,24100000.0,23480000.0,10558000.0,23836272.0,9
Daca,2011.0,Bangladés,22300000.0,15669000.0,17598000.0,14543124.0,10
Pekín,2010.0,China,20700000.0,21009000.0,20384000.0,16446857.0,11
Osaka,2010.0,Japón,19800000.0,17444000.0,20238000.0,2665314.0,12
Bangkok (incluyendo Samut Prakan),2010.0,Tailandia,16700000.0,14998000.0,11084000.0,8986218.0,13
Calcuta,2011.0,India,15900000.0,14667000.0,14865000.0,14057991.0,14
Teherán (incluyendo Karaj),2011.0,Irán,13600000.0,13532000.0,10239000.0,9768677.0,15
Tianjin,2010.0,China,11200000.0,10920000.0,11210000.0,9290263.0,16
Nagoya,2010.0,Japón,10400000.0,10177000.0,9406000.0,2263894.0,17
Bangalore,2011.0,India,10300000.0,9807000.0,10087000.0,8520435.0,18
Lahore,1998.0,Pakistán,9950000.0,10052000.0,8741000.0,5143495.0,19
Madrás,2011.0,India,9900000.0,9714000.0,9890000.0,8653521.0,20
Xiamen (incluyendl Quanzhou),2010.0,China,9850000.0,11130000.0,5825000.0,4273841.0,21
Chengdu,2010.0,China,9400000.0,10376000.0,7556000.0,6316922.0,22
Taipéi,,Taiwán,9000000.0,7438000.0,2666000.0,,23
Hyderabad,2011.0,India,8900000.0,8754000.0,8942000.0,7677018.0,24
Hangzhou (incluyendo Shaoxing),2010.0,China,8150000.0,9625000.0,8467000.0,6887819.0,25
Ciudad Ho Chi Minh,2009.0,Vietnam,8150000.0,8957000.0,7298000.0,5880615.0,26
Wuhan,2010.0,China,7950000.0,7509000.0,7906000.0,7541527.0,27
"Shantou (incluyendo Chaozhou, Puning, Chaoyang y Chaonan)",2010.0,China,7850000.0,6337000.0,6287000.0,5775239.0,28
Shenyang (incluyendo Fushun),2010.0,China,7600000.0,7402000.0,7613000.0,7037040.0,29
Ahmedabad,2011.0,India,7350000.0,7186000.0,7343000.0,6357693.0,30
Hong Kong,2011.0,Hong Kong,7200000.0,7246000.0,7314000.0,7071576.0,31
Chongqing,2010.0,China,6950000.0,7217000.0,13332000.0,6263790.0,32
Kuala Lumpur,2000.0,Malasia,6950000.0,7088000.0,6837000.0,1305792.0,33
Singapur - Johor Bahru,,Singapur Malasia,6900000.0,7312000.0,6531000.0,5719644.0,34
Nankín,2010.0,China,6750000.0,6155000.0,7369000.0,5827888.0,35
Bagdad,1987.0,Irak,6750000.0,6625000.0,6643000.0,3841268.0,36
Riad,2010.0,Arabia Saudita,6550000.0,5666000.0,6370000.0,5188286.0,37
Xi'an,2010.0,China,6550000.0,5977000.0,6044000.0,5206253.0,38
Pune,2011.0,India,6000000.0,5631000.0,5728000.0,5057709.0,39
Bandung,2010.0,Indonesia,5900000.0,5695000.0,2544000.0,2394873.0,40
Wenzhou (incluyendo Rui'an),2010.0,China,5800000.0,4303000.0,3208000.0,3614208.0,41
Qingdao,2010.0,China,5650000.0,5816000.0,4566000.0,3990942.0,42
Surat,2011.0,India,5600000.0,5447000.0,5650000.0,4591246.0,43
Harbin,2010.0,China,5100000.0,4815000.0,5457000.0,4596313.0,44
Rangún,2014.0,Birmania,5100000.0,4800000.0,4802000.0,4728524.0,45
Kitakyushu - Fukuoka,2010.0,Japón,4725000.0,4505000.0,5510000.0,2440589.0,46
Surabaya,2010.0,Indonesia,4675000.0,4881000.0,2853000.0,2765487.0,47
Colombo,2012.0,Sri Lanka,4650000.0,2180000.0,707000.0,561314.0,48
Ankara,2000.0,Turquía,4625000.0,4538000.0,4750000.0,3203362.0,49
Zhengzhou,2010.0,China,4600000.0,4942000.0,4387000.0,3677032.0,50
Teherán (incluyendo Karaj),2011.0,Irán,13600000.0,13532000.0,,,1
Bagdad,1987.0,Irak,6750000.0,6625000.0,6643000.0,3841268.0,2
Riad,2010.0,Arabia Saudita,6550000.0,5666000.0,6370000.0,5188286.0,3
Ankara,2000.0,Turquía,4625000.0,4538000.0,4750000.0,3203362.0,4
Yida,2010.0,Arabia Saudita,4175000.0,3677000.0,4076000.0,3430697.0,5
Kuwait,,Kuwait,4075000.0,4283000.0,2779000.0,,6
Dubái (incluyendo Sarja),1995.0,Emiratos Árabes Unidos,3800000.0,3933000.0,,,7
Damasco,2004.0,Siria,3650000.0,2560000.0,2566000.0,1414913.0,8
Kabul,1979.0,Afganistán,3600000.0,4635000.0,4635000.0,913164.0,9
Amán,2004.0,Jordania,3325000.0,2468000.0,1155000.0,1036330.0,10
Alepo,2004.0,Siria,3050000.0,3560000.0,3562000.0,2132100.0,11
Mashhad,2011.0,Irán,3050000.0,3294000.0,3014000.0,2749374.0,12
Esmirna,2000.0,Turquía,2925000.0,3112000.0,3040000.0,2232265.0,13
Isfahán,2011.0,Irán,2725000.0,2392000.0,1880000.0,1756126.0,14
Taskent,1989.0,Uzbekistán,2625000.0,2250000.0,2251000.0,2072459.0,15
Tel Aviv,1995.0,Israel,2475000.0,2979000.0,3608000.0,348245.0,16
Saná,2004.0,Yemen,2425000.0,2980000.0,2962000.0,1707531.0,17
Bakú,1989.0,Azerbaiyán,2425000.0,2661000.0,2374000.0,1150055.0,18
Dammam,2010.0,Arabia Saudita,2350000.0,1019000.0,1064000.0,903312.0,19
Bursa,2000.0,Turquía,1930000.0,1839000.0,1923000.0,1194687.0,20
La Meca,2010.0,Arabia Saudita,1840000.0,1647000.0,1771000.0,1534731.0,21
Franja de Gaza,2007.0,Palestina,1760000.0,620000.0,624000.0,483869.0,22
Almaty,1999.0,Kazajistán,1750000.0,1500000.0,1523000.0,1365632.0,23
Mosul,1987.0,Irak,1680000.0,1675000.0,1694000.0,664221.0,24
Shiraz,2011.0,Irán,1680000.0,1873000.0,1661000.0,1460665.0,25
Adana,2000.0,Turquía,1670000.0,1830000.0,1830000.0,1130710.0,26
Novosibirsk [n 5]​,2010.0,Rusia,1640000.0,1486000.0,1497000.0,,27
Beirut,1970.0,Líbano,1630000.0,2200000.0,2226000.0,474870.0,28
Tabriz,2011.0,Irán,1610000.0,1693000.0,1572000.0,1494998.0,29
Ekaterimburgo [n 5]​,2010.0,Rusia,1590000.0,1361000.0,1379000.0,1473754.0,30
Gaziantep,2000.0,Turquía,1530000.0,1394000.0,1528000.0,853513.0,31
Ereván,2011.0,Armenia,1480000.0,1274000.0,1044000.0,1060138.0,32
Cheliábinsk [n 5]​,2010.0,Rusia,1390000.0,1150000.0,1157000.0,1130132.0,33
Basora,1987.0,Irak,1390000.0,1000000.0,1019000.0,406296.0,34
Medina,2010.0,Arabia Saudita,1320000.0,1233000.0,1280000.0,1100093.0,35
Ahvaz,2011.0,Irán,1240000.0,1315000.0,1060000.0,1112021.0,36
Tiflis,2002.0,Georgia,1230000.0,1125000.0,1147000.0,1073345.0,37
Konya,2000.0,Turquía,1190000.0,1190000.0,1194000.0,742690.0,38
Omsk [n 5]​,2010.0,Rusia,1180000.0,1154000.0,1162000.0,1154116.0,39
Qom,2011.0,Irán,1160000.0,1101000.0,1204000.0,1074036.0,40
Erbil,1987.0,Irak,1150000.0,1150000.0,1166000.0,485968.0,41
Antalya,2000.0,Turquía,1140000.0,1070000.0,1072000.0,603190.0,42
Asjabad,1989.0,Turkmenistán,1140000.0,740000.0,746000.0,401135.0,43
Abu Dabi,1995.0,Emiratos Árabes Unidos,1120000.0,982000.0,1145000.0,398695.0,44
Kirkuk,1987.0,Irak,1110000.0,650000.0,650000.0,418624.0,45
Krasnoyarsk [n 5]​,2010.0,Rusia,1080000.0,998000.0,1008000.0,973826.0,46
Kayseri,2000.0,Turquía,1050000.0,900000.0,904000.0,536392.0,47
Delhi,2011.0,India,26000000.0,24998000.0,25703000.0,16349831.0,1
Karachi,2011.0,Pakistán,24000000.0,22123000.0,16618000.0,21142625.0,2
Bombay (incluyendo Kalyan y Vasai-Virar),2011.0,India,23000000.0,,21043000.0,,3
Daca,2011.0,Bangladés,17300000.0,15669000.0,17598000.0,14543124.0,4
Calcuta,2011.0,India,15900000.0,14667000.0,14865000.0,14057991.0,5
Bangalore,2011.0,India,10300000.0,9807000.0,10087000.0,8520435.0,6
Lahore,1998.0,Pakistán,9950000.0,10052000.0,8741000.0,5143495.0,7
Madrás,2011.0,India,9900000.0,9714000.0,9890000.0,8653521.0,8
Hyderabad,2011.0,India,8900000.0,8754000.0,8942000.0,7677018.0,9
Ahmedabad,2011.0,India,7350000.0,7186000.0,7343000.0,6357693.0,10
Pune,2011.0,India,6000000.0,5631000.0,5728000.0,5057709.0,11
Surat,2011.0,India,5600000.0,5447000.0,5650000.0,4591246.0,12
Colombo,2012.0,Sri Lanka,4650000.0,2180000.0,707000.0,,13
Chittagong,2011.0,Bangladés,4475000.0,3176000.0,4539000.0,4009423.0,14
Faisalabad,1998.0,Pakistán,3900000.0,3560000.0,3567000.0,2008861.0,15
Rawalpindi (incluyendo Islamabad),1998.0,Pakistán,3800000.0,2510000.0,,,16
Jaipur,2011.0,India,3475000.0,3409000.0,3461000.0,3046163.0,17
Lucknow,2011.0,India,3300000.0,3184000.0,3222000.0,2902920.0,18
Kanpur,,India,3275000.0,3037000.0,3021000.0,2011.0,19
Nagpur,2011.0,India,3000000.0,2668000.0,2675000.0,2497870.0,20
Katmandú,2011.0,Nepal,2875000.0,1180000.0,1183000.0,1003285.0,21
Indore,2011.0,India,2725000.0,2405000.0,2441000.0,2170295.0,22
