,zona,paraje,municipio,coordenadas_geo_norte,coordenadas_geo_oeste,causa,fecha_de_registro,estrato_afectado_forestal_hojarasca,estrato_afectado_forestal_pasto,estrato_afectado_forestal_arbusto,estrato_afectado_forestal_renuevo,estrato_afectado_no_forestal_cultivos,estrato_afectado_no_forestal_pastizal,estrato_afectado_no_forestal_otros,superficie_afectada_total,num_de_participantes
0,ZI,EL NAVO,ZAPOPAN,20.72733333333333,103.58516666666667,INTENCIONAL,2018-01-01,0.0,0.0,0.0,0.0,0.0,5.7,0.0,5.7,30.0
1,ZI,VILLA FELICIDAD,TALA,20.65836111111111,103.67655555555557,INTENCIONAL,2018-01-03,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.28,7.0
2,ZI,LA TOMA DE VILLA,TALA,20.654,103.68941666666667,INTENCIONAL,2018-01-04,0.0,0.0,0.0,0.0,0.0,4.96,0.0,4.96,22.0
3,ZP,LA LOBERA,TALA,20.62027777777778,103.67111111111112,QUEMA DE BASURA,2018-01-04,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.44,17.0
4,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,20.62741666666667,103.50252777777777,INTENCIONAL,2018-01-04,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,24.0
5,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,20.626,103.50525,OTROS,2018-01-14,1.0,0.37,0.0,0.0,0.0,0.0,0.0,1.37,7.0
6,ZI,TECNOLOGY PARK,ZAPOPAN,20.719305555555554,103.49158333333334,INTENCIONAL,2018-01-14,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,15.0
7,ZI,BARRANCA DEL MUERTO,ZAPOPAN,20.736833333333333,103.59277777777777,INTENCIONAL,2018-01-16,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.2,26.0
8,ZI,RANCHO LOS CONEJOS,TALA,20.636277777777778,103.68613888888889,INTENCIONAL,2018-01-18,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,9.0
9,ZI,EL 18,ZAPOPAN,20.726527777777775,103.51080555555555,INTENCIONAL,2018-01-24,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.85,40.0
10,ZI,EL PALOMAR,TLAJOMULCO,20.596166666666665,103.44697222222223,QUEMA AGRICOLA,2018-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
11,ZI,EL BAJIO,ZAPOPAN,20.69311111111111,103.48047222222222,QUEMA DE BASURA,2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
12,ZI,EL REVENTÓN,ZAPOPAN,20.72386111111111,103.57775,INTENCIONAL,2018-02-01,0.0,0.0,0.0,0.0,0.0,4.4,0.0,4.4,12.0
13,ZI,BUGAMBILIAS,ZAPOPAN,20.59861111111111,103.45280555555556,FOGATA,2018-02-03,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,46.0
14,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,20.626833333333334,103.50461111111112,INTENCIONAL,2018-02-04,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,46.0
15,ZI,LAS PIEDROTAS,TALA,20.66797222222222,103.68211111111111,INTENCIONAL,2018-02-15,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,8.0
16,ZI,CORRAL FALSO,TALA,20.672416666666667,103.68244444444444,INTENCIONAL,2018-02-15,0.0,0.0,0.0,0.0,0.0,2.49,0.0,2.49,26.0
17,ZI,LA MESITA,ZAPOPAN,20.724888888888888,103.55616666666667,DESCONOCIDA,2018-02-15,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,16.0
18,ZI,EL 18,ZAPOPAN,20.72461111111111,103.50944444444444,INTENCIONAL,2018-02-17,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,50.0
19,ZI,EL 18,ZAPOPAN,20.726805555555554,103.51238888888889,DESCONOCIDA,2018-02-22,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,16.0
20,ZI,EL CALABUS,ZAPOPAN,20.72358333333333,103.56063888888889,INTENCIONAL,2018-02-22,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.32,8.0
21,ZI,CERRO DEL COLLI,ZAPOPAN,20.649944444444444,103.46294444444445,QUEMA DE BASURA,2018-02-25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,27.0
22,ZI,CERRO DEL COLLI,ZAPOPAN,20.649194444444444,103.4635,QUEMA DE BASURA,2018-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
23,ZI,VILLA FELICIDAD,TALA,20.65911111111111,103.6678888888889,INTENCIONAL,2018-02-26,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.17,8.0
24,ZI,EL MIRADOR,TALA,20.649666666666665,103.6863888888889,INTENCIONAL,2018-02-28,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,9.0
25,ZI,BOSQUES DE SANTA ANITA,TLAJOMULCO,20.579666666666668,103.48238888888889,INTENCIONAL,2018-03-01,2.08,2.0,0.0,0.0,0.0,0.0,0.0,4.08,22.0
26,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,20.626583333333333,103.50497222222222,INTENCIONAL,2018-03-04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,31.0
27,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,20.613805555555558,103.49836111111111,INTENCIONAL,2018-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
28,ZP,CERRO DEL COLLI,ZAPOPAN,20.65061111111111,103.46347222222222,QUEMA DE BASURA,2018-03-13,0.0,1.6,1.0,0.0,0.0,0.0,0.0,2.6,12.0
29,ZI,BUGAMBILIAS,ZAPOPAN,20.61475,103.47011111111111,VANDALISMO,2018-03-13,0.0,0.0,0.0,0.0,0.0,1.16,0.0,1.16,28.0
30,ZP,SAMUEL CURIEL,EL ARENAL,20.707833333333333,103.62277777777777,PASEANTES,2018-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
31,ZI,LOS CONEJOS,TALA,20.637055555555555,103.68911111111112,INTENCIONAL,2018-03-14,0.0,0.0,0.0,0.0,0.0,11.38,0.0,11.38,10.0
32,ZI,LAS  TORRES,TALA,20.655277777777776,103.68144444444445,INTENCIONAL,2018-03-14,0.0,0.0,0.0,0.0,0.0,1.16,0.0,1.16,7.0
33,ZI,VILLA FELICIDAD,TALA,20.65936111111111,103.66944444444445,INTENCIONAL,2018-03-15,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.74,7.0
34,ZP,CERRO DEL COLLI,ZAPOPAN,20.658416666666664,103.45930555555556,INTENCIONAL,2018-03-15,0.0,0.0,5.78,0.0,0.0,0.0,0.0,5.78,24.0
35,ZI,EL COLLI,ZAPOPAN,20.651138888888887,103.47500000000001,QUEMA DE BASURA,2018-03-16,0.0,2.0,0.2,0.0,0.0,0.0,0.0,2.2,39.0
36,ZI,VILLA FELICIDAD,TALA,20.658277777777776,103.68266666666668,INTENCIONAL,2018-03-18,0.0,0.0,0.0,0.0,0.0,1.18,0.0,1.18,8.0
37,ZI,CERRO LA CAMPANA,TLAJOMULCO,20.546111111111113,103.51019444444445,QUEMA AGRICOLA,2018-03-18,0.0,11.0,1.73,0.0,0.0,0.0,0.0,12.73,29.0
38,ZP,VOLCANES,TALA,20.56972222222222,103.56916666666666,PASEANTES,2018-03-19,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.87,32.0
39,ZP,CERRO DEL COLLI,ZAPOPAN,20.657,103.45952777777778,INTENCIONAL,2018-03-19,5.0,5.38,0.0,0.0,0.0,0.0,0.0,10.38,34.0
40,ZP,EMILIANO ZAPATA,EL ARENAL,20.714388888888887,103.62374999999999,DESCONOCIDA,2018-03-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,42.0
41,ZI,VILLA FELICIDAD,TALA,20.660805555555555,103.66644444444445,INTENCIONAL,2018-03-19,2.0,1.77,0.0,0.0,0.0,0.0,0.0,3.77,26.0
42,ZI,LA LOBERA,TALA,20.62847222222222,103.68791666666667,QUEMA AGRICOLA,2018-03-20,0.0,0.0,0.0,0.0,0.0,7.82,0.0,7.82,8.0
43,ZI,CHORROS DE TALA,TALA,20.688583333333334,103.68955555555556,DESCONOCIDA,2018-03-20,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,7.0
44,ZP,LA BANDERA,ZAPOPAN,20.689777777777778,103.48155555555556,DESCONOCIDA,2018-03-21,2.0,2.57,0.0,0.0,0.0,0.0,0.0,4.57,69.0
