,0,0
0,Villarreal - Defensa,Pau Torres
1,Benfica - Defensa,Vertonghen
2,Liverpool - Portero,Alisson Becker
3,Benfica - Portero,Vlachodimos
4,Atlético - Portero,Oblak
5,Villarreal - Portero,Rulli
6,Real Madrid - Portero,Courtois
7,Villarreal - Centrocampista,Parejo
8,Real Madrid - Delantero,Vinícius Júnior
9,Bayern - Delantero,Lewandowski
10,Villarreal - Defensa,Albiol
11,Real Madrid - Defensa,Alaba
12,Real Madrid - Defensa,Éder Militão
13,Villarreal - Centrocampista,Capoue
14,Benfica - Defensa,Grimaldo
15,Villarreal - Centrocampista,Danjuma
16,Atlético - Defensa,Reinildo
17,Man. City - Centrocampista,Mahrez
18,Inter - Defensa,Škriniar
19,Salzburg - Defensa,Kristensen
20,Ajax - Defensa,Martínez
21,Paris - Defensa,Marquinhos
22,Bayern - Portero,Neuer
23,Benfica - Centrocampista,Weigl
24,LOSC - Defensa,Fonte
25,Benfica - Defensa,Otamendi
26,Chelsea - Defensa,Rüdiger
27,Chelsea - Portero,Mendy
28,Salzburg - Portero,Köhn
29,Inter - Portero,Handanovič
30,Paris - Defensa,Hakimi
31,Salzburg - Defensa,Ulmer
32,Salzburg - Centrocampista,Aaronson
33,Real Madrid - Centrocampista,Modrić
34,Bayern - Centrocampista,Sané
35,Liverpool - Delantero,Salah
36,Benfica - Delantero,Rafa Silva
37,Ajax - Centrocampista,Gravenberch
38,Man. City - Portero,Ederson
39,Real Madrid - Delantero,Benzema
40,Bayern - Delantero,Müller
41,Chelsea - Defensa,Azpilicueta
42,LOSC - Delantero,David
43,Bayern - Defensa,Pavard
44,Paris - Delantero,Mbappé
45,Salzburg - Centrocampista,Camara
46,Real Madrid - Centrocampista,Casemiro
47,Ajax - Delantero,Haller
48,Inter - Defensa,Bastoni
49,Ajax - Defensa,Mazraoui
50,Porto - Delantero,Luis Díaz
51,Salzburg - Centrocampista,Seiwald
52,Chelsea - Defensa,Thiago Silva
53,Inter - Centrocampista,Brozović
54,Paris - Delantero,Messi
55,Man. City - Defensa,João Cancelo
56,Ajax - Delantero,Tadić
57,LOSC - Centrocampista,André
58,Paris - Defensa,Kimpembe
59,Sporting CP - Portero,Adán
60,Juventus - Portero,Szczęsny
61,Man. United - Portero,De Gea
62,Ajax - Delantero,Berghuis
63,Juventus - Defensa,De Ligt
64,Benfica - Defensa,Gilberto
65,Villarreal - Defensa,Foyth
66,Bayern - Centrocampista,Kimmich
67,Sporting CP - Defensa,Matheus Reis
68,Man. United - Delantero,Ronaldo
69,Atlético - Centrocampista,Marcos Llorente
70,Salzburg - Delantero,Adeyemi
71,Chelsea - Defensa,Christensen
72,Atlético - Centrocampista,Koke
73,LOSC - Defensa,Zeki Çelik
74,Man. City - Centrocampista,Bernardo Silva
75,Inter - Delantero,Martínez
76,Atlético - Defensa,Giménez
77,Sporting CP - Delantero,Paulinho
78,Real Madrid - Centrocampista,Kroos
79,Paris - Defensa,Nuno Mendes
80,Juventus - Defensa,Bonucci
81,Ajax - Delantero,Antony
82,Salzburg - Defensa,Wöber
83,Ajax - Defensa,Blind
84,Ajax - Centrocampista,J. Timber
85,Bayern - Defensa,Upamecano
86,Liverpool - Defensa,Robertson
87,Man. City - Centrocampista,Rodri
88,Sporting CP - Defensa,Gonçalo Inácio
89,Ajax - Centrocampista,Álvarez
90,Atlético - Centrocampista,De Paul
91,Juventus - Defensa,Alex Sandro
92,Liverpool - Centrocampista,Fabinho
93,Chelsea - Centrocampista,Havertz
94,Liverpool - Centrocampista,Mané
95,Chelsea - Centrocampista,Jorginho
96,Bayern - Delantero,Coman
97,Inter - Delantero,Džeko
98,Club Brugge - Centrocampista,Vanaken
99,Sheriff - Centrocampista,S. Thill
100,Sporting CP - Defensa,Coates
101,Wolfsburg - Centrocampista,Arnold
102,Sheriff - Defensa,Cristiano
103,Liverpool - Defensa,Van Dijk
104,Sevilla - Centrocampista,Fernando
105,Sheriff - Defensa,Fernando Costanza
106,Shakhtar Donetsk - Defensa,Dodô
107,Dynamo Kyiv - Defensa,Zabarnyi
108,Zenit - Centrocampista,Barrios
109,Wolfsburg - Defensa,Lacroix
110,Club Brugge - Defensa,Hendry
111,Liverpool - Defensa,Matip
112,Sheriff - Defensa,Arboleda
113,Sheriff - Defensa,Dulanto
114,Sevilla - Portero,Bounou
115,Dortmund - Portero,Kobel
116,Club Brugge - Portero,Mignolet
117,Ajax - Portero,Pasveer
118,Atalanta - Portero,Musso
119,LOSC - Portero,Grbić
120,Porto - Portero,Diogo Costa
121,Barcelona - Portero,Ter Stegen
122,Real Madrid - Defensa,Carvajal
123,Juventus - Centrocampista,Locatelli
124,Sevilla - Defensa,Diego Carlos
125,Juventus - Centrocampista,Rabiot
126,Dynamo Kyiv - Centrocampista,Sydorchuk
127,Man. United - Defensa,Maguire
128,Sporting CP - Centrocampista,João Palhinha
129,LOSC - Defensa,Tiago Djaló
130,Liverpool - Defensa,Alexander-Arnold
131,Young Boys - Centrocampista,Moumi Ngamaleu
132,Inter - Centrocampista,Perišić
133,Leipzig - Centrocampista,Nkunku
134,Sheriff - Centrocampista,Traore
