Data.GamePatchID,Data.ID,Data.Icon,Data.Name,Data.Name_cn,Data.Name_de,Data.Name_en,Data.Name_fr,Data.Name_ja,Data.Name_kr,Data.Url,Text
2,477,/c/Leve.png,He Has His Quartz,,Dank für die Lobeshymnen,He Has His Quartz,Livraison: elle mérite un béryl,調達依頼：吟遊詩人に贈るサークレット,,/Leve/477,"Master Gegeruju's open-handedness is as genuine as it is legendary. Last night, he chanced to hear an improvisatore compose on the theme of “lens of time,” and not only does he secure her a worthy theatrical agent, he wishes to give her a silver circlet set with goshenite of the first water."
19,1191,/c/Leve.png,"Dreams of War, Dreams of Liars, Dreams of Dragon Fire",,Das ist die Härte!,"Dreams of War, Dreams of Liars, Dreams of Dragon Fire",Collecte: un sable légendaire,指定採集：幻の蒼天砂,,/Leve/1191,"There has been some increased interest among the Temple Knights concerning the Twelve's legendary weapons which struck at Nidhogg. While the stories speak of the weapons forged with sand from the slumbering eyes of Halone, that the arms existed cannot be denied, and real arms are smelt with real sand. If a miner could extract some from the outcrops in the Sea of Clouds, surely there would be knights who would pay handsomely for samples with which to create replicas in homage to the ancient heroes."
32,17688,/i/027000/027666.png,Zurvan Card,,Zurvan-Karte,Zurvan Card,Carte Zurvan,カード:ズルワーン,,/Item/17688,A legendary (★★★★★) card used in the game Triple Triad.
36,17838,/i/026000/026168.png,Tome of Geological Folklore - Gyr Abania,,Abanischer Bergbau-Almanach,Tome of Geological Folklore - Gyr Abania,Légendes géologiques de Gyr Abania,鉱物伝承録:ギラバニア,,/Item/17838,Tales gathered from local Gyr Abanian miners regarding the location of legendary ore veins and gem deposits.
36,17839,/i/026000/026168.png,Tome of Geological Folklore - Othard,,Othardischer Bergbau-Almanach,Tome of Geological Folklore - Othard,Légendes géologiques d'Othard,鉱物伝承録:オサード,,/Item/17839,Tales gathered from local Othardian miners regarding the location of legendary ore veins and gem deposits.
36,17842,/i/026000/026164.png,Tome of Ichthyological Folklore - Gyr Abania,,Abanischer Fischer-Almanach,Tome of Ichthyological Folklore - Gyr Abania,Légendes ichtyologiques de Gyr Abania,魚類伝承録:ギラバニア,,/Item/17842,Tales gathered from local Gyr Abanian fishers regarding the location of legendary fish.
36,17843,/i/026000/026164.png,Tome of Ichthyological Folklore - Othard,,Othardischer Fischer-Almanach,Tome of Ichthyological Folklore - Othard,Légendes ichtyologiques d'Othard,魚類伝承録:オサード,,/Item/17843,Tales gathered from local Othardian fishers regarding the location of legendary fish.
36,17962,/i/052000/052849.png,Susano Miniature,,Miniatur-Susano,Susano Miniature,Figurine magitek de Susano,MGスサノオ,,/Item/17962,"A statuette depicting the Lord of the Revel, Susano. (Legendary blade Ame-no-Murakumo included. Second “O” missing, and nowhere to be found.)



※One per estate only."
36,18032,/i/026000/026112.png,Stygian Ash,,Stygische Asche,Stygian Ash,Cendres stygiennes,火車の灰,,/Item/18032,"The charred remnants of a malevolent spirit known to possess the bodies of the dead. Detested by the legendary beast Ixion.



<span style=""color:#00cc22;"">Duration:</span> 30s"
36,20155,/i/029000/029099.png,Little Dragonfish,,Zwerg-Flügelrossfisch,Little Dragonfish,Petit poisson-dragon,ウミテング,,/Item/20155,The elongated forehead of this saltwater species is compared to the nose of a tengu─a legendary dog-like creature of Far Eastern legend.
36,20258,/i/027000/027666.png,Zenos yae Galvus Card,,Zenos yae Galvus-Karte,Zenos yae Galvus Card,Carte Zenos yae Galvus,カード:ゼノス・イェー・ガルヴァス,,/Item/20258,A legendary (★★★★★) card used in the game Triple Triad.
36,20259,/i/027000/027666.png,Hien Card,,Hien-Karte,Hien Card,Carte Hien,カード:ヒエン,,/Item/20259,A legendary (★★★★★) card used in the game Triple Triad.
17,10054,/i/030000/030515.png,Excalibur Zeta,,Zeta-Exkalibur,Excalibur Zeta,Excalibur zêta,エクスカリバー・ゼータ,,/Item/10054,One of the true weapons wielded by the legendary Zodiac Braves.
17,10055,/i/031000/031082.png,Kaiser Knuckles Zeta,,Zeta-Kaiserklauen,Kaiser Knuckles Zeta,Griffes Kaiser zêta,カイザーナックル・ゼータ,,/Item/10055,One of the true weapons wielded by the legendary Zodiac Braves.
17,10056,/i/031000/031488.png,Ragnarok Zeta,,Zeta-Ragnarök,Ragnarok Zeta,Ragnarok zêta,ラグナロク・ゼータ,,/Item/10056,One of the true weapons wielded by the legendary Zodiac Braves.
17,10057,/i/031000/031887.png,Longinus Zeta,,Zeta-Longinus,Longinus Zeta,Longinus zêta,ロンギヌス・ゼータ,,/Item/10057,One of the true weapons wielded by the legendary Zodiac Braves.
17,10058,/i/032000/032283.png,Yoichi Bow Zeta,,Zeta-Yoichi,Yoichi Bow Zeta,Arc de Yoichi zêta,与一の弓【絶】,,/Item/10058,One of the true weapons wielded by the legendary Zodiac Braves.
17,10059,/i/032000/032663.png,Nirvana Zeta,,Zeta-Nirvana,Nirvana Zeta,Nirvâna zêta,ニルヴァーナ・ゼータ,,/Item/10059,One of the true weapons wielded by the legendary Zodiac Braves.
17,10060,/i/033000/033031.png,Lilith Rod Zeta,,Zeta-Lilith,Lilith Rod Zeta,Sceptre de Lilith zêta,リリスロッド・ゼータ,,/Item/10060,One of the true weapons wielded by the legendary Zodiac Braves.
17,10061,/i/033000/033498.png,Apocalypse Zeta,,Zeta-Apokalypse,Apocalypse Zeta,Apocalypse zêta,アポカリプス・ゼータ,,/Item/10061,One of the true weapons wielded by the legendary Zodiac Braves.
17,10062,/i/033000/033499.png,Last Resort Zeta,,Zeta-Letzter Trumpf,Last Resort Zeta,Dernier recours zêta,ラストリゾート・ゼータ,,/Item/10062,One of the true weapons wielded by the legendary Zodiac Braves.
17,10063,/i/030000/030109.png,Aegis Shield Zeta,,Zeta-Aegis,Aegis Shield Zeta,Aegis zêta,イージスシールド・ゼータ,,/Item/10063,One of the true shields borne by the legendary Zodiac Braves.
