User,Location,Tweet,Date/Time,Likes
miguel_cedeno,"Aguascalientes, México","** SPOILER **

Cuando mencionan al Chapo Guzmán en ""Casa de Papel"" hasta orgullo nacional siente uno!",2019-07-22 00:47:54,2903
Yasminsouzas9,"Massachusetts, USA",ix chapô,2019-07-22 00:47:48,3730
unomasunomx,México D.F.,"La Cancillería reveló que éste fue uno de los temas entre Pompeo y Ebrard
#UnoMásUnoNoticias
https://t.co/9ijCNryIkD",2019-07-22 00:47:38,1337
Bacon_Incident,Chicago,"@Natedogisdeadlo I've never listened to it but hearing people talk about it gives me this ""chapo trap house for the… https://t.co/SFGCZpOcTl",2019-07-22 00:47:26,41199
fannyofannyo,México ,@politicomx @m_ebrard @ezshabot @JulianVenturaV @marthadelgado @LeonardoCurzio @anafvega @Amsalazar @warkentin El c… https://t.co/AoTxCE3ImD,2019-07-22 00:47:24,1685
littlemirrors_,slytherin 🐍,"@CrashFreman que me iba a costar más conseguir pareja porque había más posibilidades de hacerlo cornudo/da, lo peor… https://t.co/U1vC4cYfvX",2019-07-22 00:47:23,16331
chapo_omu,,"@uruchim_kis うるるちゃんおはよー！！
今日も頑張ろう=͟͟͞͞ =͟͟͞͞(¦3[ ▓▓ ]",2019-07-22 00:47:18,8943
DjThatsMyJam,[New Mixtape] DOWNLOAD NOW!!!,"no worries #Elchapo will be back |THE PLUG II| "" The Return Of El Chapo"" #Mixtape  https://t.co/EczuY2fKLG",2019-07-22 00:46:42,31
L__Chapo,"Detroit, MI",Sure don’t seem like it https://t.co/y1OnsC5Cf3,2019-07-22 00:46:30,33048
emm_gr1216,"Morelos, México","Los putos del reguetón:
Dicen que soy un delincuente pero todo lo que he hecho es legal

Los vergas del trap:
Fuck… https://t.co/bC4b961bbY",2019-07-22 00:46:23,1857
ImEl_chapo,,does that pussy stink on the regular,2019-07-22 00:46:12,9917
chapo_omu,,"@NaoShirota なおたん14回も脱毛してたの( ⊙᎑⊙ )！
脱毛した毛が抜けるのって何日後がおおい？？",2019-07-22 00:46:08,8943
MariaSa02980098,,@maibortpetit Lo inumano fueron las centenas de personas asesinadas por ordem del Chapo!!!!!!!,2019-07-22 00:45:59,7869
Musaed_ARS,,"@rNetfIix كثيييير وآخرها

SHAFT - 1
SHAFT - 2
Polar
Point Blank
NARCOS
EL CHAPO

باقي البروفسور",2019-07-22 00:45:49,174
myhandsaregon,The driveway,"Those who both deserve and have hands:
-Shrek
-Bob Ross 
-Mr. Rosenburger
-Waxy monkey leaf frogs

Those who have h… https://t.co/I4BZbHdWck",2019-07-22 00:45:42,8
ArrobaClauRB1,Asturias,"Joder con la casa de papel, chapó",2019-07-22 00:45:13,1849
schutzhund007,Rocky Mountains USA,@realDonaldTrump we should take his Billions stashed and use to #BuildTheWall El Chapo arrives at the 'Alcatraz of… https://t.co/IQIdVlV5G2,2019-07-22 00:44:44,5900
LACKWANWAN,,"@epigmenioibarra Tienes un presidente que es un inútil, idiota, incongruente, mentiroso, ogt. Pero que se conmueve… https://t.co/8J2qdQ4HSx",2019-07-22 00:44:17,1591
dannowicki,"Phoenix, Ariz.","""El Chapo complained about New York jail. Let's see how Supermax works out."" (via @USATODAY) https://t.co/pNyGYEVkJ0",2019-07-22 00:44:14,1784
MarcLesan,"Barcelona, Catalunya","@intolaura Me rindo ante ti, chapó 🙌",2019-07-22 00:44:01,182775
TlahuicoleIvan,México,"@Chivas Esto es limitación de Boy, metió a los que siempre le fallan: “Chofis” su ignorancia causa desliento, Pulid… https://t.co/xGbcjcRL0s",2019-07-22 00:43:57,3651
JesuspereyraG,"Lima, Peru","""El Cartel del Sinaloa sigue controlando la mayor parte de los mercados de distribución en Estados Unidos. La gente… https://t.co/jkgzhaNPmI",2019-07-22 00:43:52,22315
chapo_omu,,"@ayalovekamarezu あやちゃんおはよー！
髪の毛のびてきたのでキューティクルが出たのかな(๑´ლ`๑)",2019-07-22 00:43:45,8943
SilviaClemori,,@miguela55515218 @MargaWirkierman Ay!!! Por Dios estos esbirros son peores q el chapo gusman!!!!!,2019-07-22 00:43:02,503
chapo_omu,,"@Serika_15_Queen せりかちゃんおはよ٩(๑❛ᴗ❛๑)۶
いいなー触り心地よさそう！！
触ってみたい||д･) ﾁﾗｯ",2019-07-22 00:42:57,8943
L__Chapo,"Detroit, MI",@5headshawtyyy Have y’all heard them say “YouTube” ??? Shit sounds terrible https://t.co/IUhS09bIhf,2019-07-22 00:42:48,33048
ftparkjiminie,210415♡,"un chico me esta preguntando si le gusto bueno hijito no me chapo con cualquiera, mínimo me tienes que gustar no crees",2019-07-22 00:42:37,16668
therealkobo,"Baltimore, MD",They say it's the given and I accept like I'm making deals for el chapo while he in the state penn,2019-07-22 00:42:24,14
TesBorges,Puta que pariu,Juro q dps daquela riva n chapo mais não kkkkkk,2019-07-22 00:42:19,1085
JohnRaygoza,"Los Angeles, CA",@emilyepalmer I love this story. They should make a movie about the journalistic experience covering the Chapo trial.,2019-07-22 00:41:55,376
Rickomendations,,Influencers only prefer Chapo Trap House to Rick and Morty because the show made fun of them.,2019-07-22 00:41:28,0
chapo_omu,,"@usamaru_d_lvi 今日引越しなんだ！！
電車でゆっくり寝よう(๓´˘`๓)♡",2019-07-22 00:41:07,8943
raulherqui,,"@AristeguiOnline AMLO dejo libre a este pendejo del Peña Nieto, para que disfrutara del dinero que robó el cual ya… https://t.co/1W8FJuOm9f",2019-07-22 00:40:15,208
chapo_dq10,,"@dowahako3 @shelly_dq10_gp えええー😱😱それはそれで…。
選挙は終わっちゃったらどうでも良いことなのか？？
これからなのにねーー😣💦",2019-07-22 00:40:11,13489
alt_brainnews,"Manhattan, NY",Mexican president denounces drug kingpin 'El Chapo' life sentence for 'El Chapo' life sentence for 'El Chapo' as Hi… https://t.co/bDHer2H5EU,2019-07-22 00:40:02,0
SinEmbargoMX,México,Ebrard y Pompeo plantean grupo binacional para recuperar bienes y activos ligados a “El Chapo”… https://t.co/yw5YHFRzRv,2019-07-22 00:40:00,253
