,Modelo,Año,precio_or,precio_de
0,Honda CR-V Touring,"2017 • 42,000 km • Monterrey","$447,999","$438,999"
1,Honda CR-V EX,"2018 • 86,000 km • Monterrey","$404,999","$395,999"
2,Honda CR-V EX,"2013 • 118,500 km • Monterrey","$248,999","$245,999"
3,Honda CR-V LX,"2014 • 102,300 km • Monterrey","$259,999","$254,999"
4,Honda CR-V I Style,"2015 • 102,750 km • Ciudad de México","$303,999","$296,999"
5,Honda CR-V EX,"2014 • 101,500 km • Ciudad de México","$270,999","$265,999"
6,Honda CR-V EX,"2013 • 90,500 km • Ciudad de México","$248,999","$243,999"
7,Honda CR-V EXL,"2015 • 99,814 km • Ciudad de México","$325,999","$310,999"
8,Honda CR-V LX,"2013 • 89,019 km • Ciudad de México","$232,999","$222,999"
9,Honda CR-V EX,"2012 • 109,480 km • Ciudad de México","$219,999","$209,999"
10,Honda CR-V EX,"2013 • 86,950 km • Ciudad de México","$248,999","$243,999"
11,Honda CR-V LX,"2015 • 89,937 km • Ciudad de México","$269,999","$254,999"
12,Honda CR-V EX,"2014 • 100,130 km • Ciudad de México","$268,999","$265,999"
13,Honda CR-V LX,"2015 • 45,300 km • Ciudad de México","$279,999","$276,999"
14,Honda CR-V EXL,"2016 • 87,800 km • Ciudad de México","$378,999","$371,999"
15,Honda CR-V EXL,"2015 • 77,800 km • Ciudad de México","$328,999","$313,999"
16,Honda CR-V I Style,"2016 • 81,000 km • Ciudad de México","$310,999","$297,999"
17,Honda CR-V EXL,"2016 • 84,250 km • Ciudad de México","$375,999","$368,999"
18,Honda CR-V LX,"2013 • 100,300 km • Ciudad de México","$243,999","$239,999"
19,Honda CR-V I Style,"2015 • 53,200 km • Ciudad de México","$302,999","$297,999"
20,Honda CR-V EX,"2013 • 101,480 km • Ciudad de México","$248,999","$243,999"
21,Honda CR-V EX,"2013 • 84,620 km • Ciudad de México","$234,999","$224,999"
22,Honda CR-V EX,"2014 • 102,000 km • Ciudad de México","$239,999","$229,999"
23,Honda CR-V EX,"2014 • 79,400 km • Ciudad de México","$267,999","$264,999"
24,Honda CR-V EXL,"2016 • 111,500 km • Ciudad de México","$378,999","$372,999"
25,Honda CR-V I Style,"2015 • 97,460 km • Ciudad de México","$298,999","$286,999"
26,Honda CR-V EX,"2013 • 107,500 km • Ciudad de México","$234,999","$224,999"
27,Honda CR-V EXL,"2013 • 107,800 km • Ciudad de México","$259,999","$256,999"
28,Honda CR-V EX,"2011 • 112,700 km • Puebla","$212,999","$207,999"
29,Honda CR-V EX,"2017 • 105,000 km • Puebla","$389,999","$382,999"
30,Honda CR-V EXL,"2013 • 90,600 km • Puebla","$259,999","$247,999"
31,Honda CR-V EX,"2014 • 114,900 km • Puebla","$268,999","$263,999"
32,Honda CR-V Turbo Plus,"2017 • 67,490 km • Puebla","$432,999","$422,999"
33,Honda CR-V I Style,"2016 • 85,000 km • Monterrey",,
34,Honda CR-V EX,"2014 • 97,240 km • Monterrey",,
35,Honda CR-V EX,"2018 • 71,530 km • Monterrey",,
