La Tarjeta American Express,The Gold Card,The Platinum Card
La Tarjeta American Express,The Gold Card,The Platinum Card
"Obtén $2,000.00 M.N. de regalo en Liverpool¹ al adquirir La Tarjeta", American Express, American Express
"Ingreso mínimo mensual: $15,000.00 M.N.","Obtén $4,000.00 M.N. de regalo en Liverpool5","Obtén $15,000.00 M.N. de regalo en Liverpool10 al adquirir La Tarjeta"
Sin costo el 1er año2,al adquirir La Tarjeta,"Ingreso mínimo mensual: $100,000.00 M.N."
Crece tu bebida en Starbucks,"Ingreso mínimo mensual: $40,000.00 M.N.",The Centurion Lounge11
3,Sin costo el 1er año6,Fine Hotel and Resorts Program12
Descuentos en tus restaurantes favoritos4,Membresía7,International Airline Program13
Conoce más,Priority PassTM,Conoce Más
,Airline Privileges Program8,
,Dining Program & Taste9,
,from American Expres,
,Conoce Más,
