Summoner,Region,Fecha y Hora,Solo/Duo,Type,Map,Lane,Champion,Season
The Wardman,NA1,2019-07-18 18:47:57.269,DUO,5v5 ARAM games,Howling Abyss,NONE,Graves,SEASON 2019
The Wardman,NA1,2019-07-02 00:59:14.090,DUO,5v5 Ranked Solo games,Summoner's Rift,TOP,Mordekaiser,SEASON 2019
The Wardman,NA1,2019-06-27 03:23:27.175,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Thresh,SEASON 2019
The Wardman,NA1,2019-06-26 06:59:58.005,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Twitch,SEASON 2019
The Wardman,NA1,2019-06-26 06:13:37.753,SOLO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-26 05:40:55.337,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Jinx,SEASON 2019
The Wardman,NA1,2019-06-26 05:02:09.996,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Jinx,SEASON 2019
The Wardman,NA1,2019-06-26 02:44:46.587,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Lux,SEASON 2019
The Wardman,NA1,2019-06-26 01:56:25.799,DUO,5v5 Ranked Solo games,Summoner's Rift,MID,Morgana,SEASON 2019
The Wardman,NA1,2019-06-26 01:20:22.169,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Nautilus,SEASON 2019
The Wardman,NA1,2019-06-25 06:30:23.719,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-25 05:51:42.389,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-25 05:06:40.593,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-25 04:28:56.002,DUO,5v5 Ranked Solo games,Summoner's Rift,MID,Sivir,SEASON 2019
The Wardman,NA1,2019-06-25 03:46:41.352,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-25 03:00:40.616,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-25 02:25:20.426,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Jax,SEASON 2019
The Wardman,NA1,2019-06-25 01:45:10.502,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Garen,SEASON 2019
The Wardman,NA1,2019-06-25 01:08:02.540,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Nasus,SEASON 2019
The Wardman,NA1,2019-06-22 18:51:55.717,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Mordekaiser,SEASON 2019
The Wardman,NA1,2019-06-22 18:11:13.746,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Garen,SEASON 2019
The Wardman,NA1,2019-06-22 17:33:36.001,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Garen,SEASON 2019
The Wardman,NA1,2019-06-22 09:22:40.004,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Garen,SEASON 2019
The Wardman,NA1,2019-06-22 08:56:55.090,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Garen,SEASON 2019
The Wardman,NA1,2019-06-22 00:05:08.735,DUO,5v5 Ranked Solo games,Summoner's Rift,MID,Garen,SEASON 2019
The Wardman,NA1,2019-06-21 23:27:34.215,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Garen,SEASON 2019
The Wardman,NA1,2019-06-21 04:53:10.636,DUO,5v5 Ranked Solo games,Summoner's Rift,MID,Garen,SEASON 2019
The Wardman,NA1,2019-06-21 04:07:30.695,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Garen,SEASON 2019
The Wardman,NA1,2019-06-21 03:21:22.361,SOLO,5v5 Ranked Solo games,Summoner's Rift,MID,Galio,SEASON 2019
The Wardman,NA1,2019-06-21 02:29:44.324,NONE,5v5 Ranked Solo games,Summoner's Rift,JUNGLE,Sejuani,SEASON 2019
The Wardman,NA1,2019-06-21 01:57:08.983,NONE,5v5 Ranked Solo games,Summoner's Rift,JUNGLE,Sejuani,SEASON 2019
The Wardman,NA1,2019-06-21 01:26:52.376,NONE,5v5 Ranked Solo games,Summoner's Rift,JUNGLE,Sejuani,SEASON 2019
The Wardman,NA1,2019-06-20 07:57:00.685,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Janna,SEASON 2019
The Wardman,NA1,2019-06-20 07:13:23.952,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Janna,SEASON 2019
The Wardman,NA1,2019-06-20 06:42:34.631,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Janna,SEASON 2019
The Wardman,NA1,2019-06-20 06:04:58.748,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Janna,SEASON 2019
The Wardman,NA1,2019-06-20 05:29:10.996,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Janna,SEASON 2019
The Wardman,NA1,2019-06-20 04:46:43.211,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Janna,SEASON 2019
The Wardman,NA1,2019-06-20 04:12:27.912,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Lux,SEASON 2019
The Wardman,NA1,2019-06-20 03:31:24.939,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Janna,SEASON 2019
The Wardman,NA1,2019-06-20 02:57:07.204,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Nautilus,SEASON 2019
The Wardman,NA1,2019-06-20 02:09:44.975,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Morgana,SEASON 2019
The Wardman,NA1,2019-06-20 01:36:46.630,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-20 00:51:39.665,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-19 02:13:35.099,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Nautilus,SEASON 2019
The Wardman,NA1,2019-06-19 01:36:45.296,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Morgana,SEASON 2019
The Wardman,NA1,2019-06-18 02:59:36.387,DUO,5v5 Ranked Solo games,Summoner's Rift,MID,Sivir,SEASON 2019
The Wardman,NA1,2019-06-18 02:22:47.760,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Morgana,SEASON 2019
The Wardman,NA1,2019-06-18 01:59:07.664,DUO,5v5 Ranked Solo games,Summoner's Rift,NONE,Leona,SEASON 2019
The Wardman,NA1,2019-06-18 01:16:48.909,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Morgana,SEASON 2019
The Wardman,NA1,2019-06-18 00:39:31.512,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Nautilus,SEASON 2019
The Wardman,NA1,2019-06-17 06:51:02.159,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Thresh,SEASON 2019
