,Nombre,Liga,Ultimo_Precio
0,Dólar FIX*,https://www.elfinanciero.com.mx/mercados/divisas/dolar-fix/,20.83
1,Interbancario 48 Hrs.,https://www.elfinanciero.com.mx/mercados/divisas/dolar-interbancario-48-horas/,10.32
2,Forex,https://www.elfinanciero.com.mx/mercados/divisas/forex/,20.83
3,Peso-Euro,https://www.elfinanciero.com.mx/mercados/divisas/peso-euro/,23.51
4,Peso-Libra,https://www.elfinanciero.com.mx/mercados/divisas/peso-libra/,28.04
5,Peso-Dólar (Canadá),https://www.elfinanciero.com.mx/mercados/divisas/peso-dolar-canadiense/,16.49
6,Peso-Yen,https://www.elfinanciero.com.mx/mercados/divisas/peso-yen/,0.18
7,Peso-Franco (Suiza),https://www.elfinanciero.com.mx/mercados/divisas/peso-franco-suizo/,22.44
8,Peso (Argentina),https://www.elfinanciero.com.mx/mercados/divisas/peso-argentino/,100.45
9,Peso (Colombia),https://www.elfinanciero.com.mx/mercados/divisas/peso-colombiano/,"3,916.73"
10,Dólar (Canadá),https://www.elfinanciero.com.mx/mercados/divisas/dolar-canadiense/,1.26
11,Peso (Chile),https://www.elfinanciero.com.mx/mercados/divisas/peso-chileno/,829.80
12,Real (Brasil),https://www.elfinanciero.com.mx/mercados/divisas/real-brasileno/,5.61
13,Franco (Suiza),https://www.elfinanciero.com.mx/mercados/divisas/franco-suizo/,0.93
14,Corona (Suecia),https://www.elfinanciero.com.mx/mercados/divisas/corona-sueca/,8.95
15,Libra esterlina (Gran Bretaña),https://www.elfinanciero.com.mx/mercados/divisas/libra-esterlina/,1.35
16,Euro,https://www.elfinanciero.com.mx/mercados/divisas/euro/,1.13
17,Corona (Noruega),https://www.elfinanciero.com.mx/mercados/divisas/corona-noruega/,8.92
18,Renminbi (China),https://www.elfinanciero.com.mx/mercados/divisas/renminbi-china/,6.39
19,Corona (República Checa),https://www.elfinanciero.com.mx/mercados/divisas/corona-checa/,22.53
20,Lira (Turquía),https://www.elfinanciero.com.mx/mercados/divisas/lira-turca/,11.29
21,Rand (Sudáfrica),https://www.elfinanciero.com.mx/mercados/divisas/zloty-polonia/,15.73
22,Rublo (Rusia),https://www.elfinanciero.com.mx/mercados/divisas/rublo-ruso/,73.49
23,Rupia (India),https://www.elfinanciero.com.mx/mercados/divisas/rupia-india/,74.24
24,Yen (Japón),https://www.elfinanciero.com.mx/mercados/divisas/yen-japones/,113.99
25,Dólar (Taiwán),https://www.elfinanciero.com.mx/mercados/divisas/dolar-taiwanes/,27.79
26,Ringgit (Malasia),https://www.elfinanciero.com.mx/mercados/divisas/ringgit-malayo/,4.18
27,Dólar (Singapur),https://www.elfinanciero.com.mx/mercados/divisas/dolar-singapurense/,1.36
28,Dólar-Won (Corea del Sur),https://www.elfinanciero.com.mx/mercados/divisas/won-surcoreano/,"1,185.12"
29,Dólar (Hong Kong),https://www.elfinanciero.com.mx/mercados/divisas/dolar-hongkones/,7.79
30,Rupia (Indonesia),https://www.elfinanciero.com.mx/mercados/divisas/rupia-indonesia/,0.72
31,Dólar (Australia),https://www.elfinanciero.com.mx/mercados/divisas/dolar-australiano/,0.70
