Book_Title,Auhtor,Overall_Review,Num_reviews,Publisher,Release_date,Category,Link_all_reviews
Weather,Jenny Offill,Rave,62,Knopf,2020-02-11,Fiction,https://bookmarks.reviews/reviews/all/weather/
The Nickel Boys,Colson Whitehead,Rave,53,Doubleday,2019-07-16,Fiction,https://bookmarks.reviews/reviews/all/the-nickel-boys/
Normal People,Sally Rooney,Positive,61,Hogarth,2019-04-16,Fiction,https://bookmarks.reviews/reviews/all/normal-people/
Cleanness,Garth Greenwell,Rave,53,"Farrar, Straus and Giroux",2020-01-14,Fiction,https://bookmarks.reviews/reviews/all/cleanness/
In The Dream House: A Memoir,Carmen Maria Machado,Rave,44,Graywolf,2019-11-05,Hottest Books of the Season,https://bookmarks.reviews/reviews/all/in-the-dream-house-a-memoir/
The Mirror & the Light,Hilary Mantel,Positive,53,Henry Holt,2020-03-10,Fiction,https://bookmarks.reviews/reviews/all/the-mirror-the-light/
Inland,Téa Obreht,Rave,47,Random House,2019-08-13,Fiction,https://bookmarks.reviews/reviews/all/inland/
A Little Life,Hanya Yanagihara,Positive,49,Doubleday,2015-03-10,Fiction,https://bookmarks.reviews/reviews/all/a-little-life/
The Glass Hotel,Emily St. John Mandel,Positive,49,Knopf,2020-03-24,Fiction,https://bookmarks.reviews/reviews/all/the-glass-hotel/
The Largesse of the Sea Maiden: Stories,Denis Johnson,Rave,38,Random House,2018-01-16,Fiction,https://bookmarks.reviews/reviews/all/the-largesse-of-the-sea-maiden-stories/
Crossroads,Jonathan Franzen,Positive,48,"Farrar, Straus and Giroux",2021-10-05,Fiction,https://bookmarks.reviews/reviews/all/crossroads/
Transcendent Kingdom,Yaa Gyasi,Rave,36,Knopf,2020-09-01,Fiction,https://bookmarks.reviews/reviews/all/transcendent-kingdom/
Lincoln in the Bardo,George Saunders,Rave,42,Random House,2017-02-14,Fiction,https://bookmarks.reviews/reviews/all/lincoln-in-the-bardo/
A Burning,Megha Majumdar,Rave,36,Knopf,2020-06-02,Fiction,https://bookmarks.reviews/reviews/all/a-burning/
The Vanishing Half,Brit Bennett,Rave,38,Riverhead,2020-06-02,Fiction,https://bookmarks.reviews/reviews/all/the-vanishing-half/
Klara and the Sun,Kazuo Ishiguro,Positive,43,Knopf,2021-03-02,Fiction,https://bookmarks.reviews/reviews/all/klara-and-the-sun/
The Lying Life of Adults,Elena Ferrante,Positive,51,Europa Editions,2020-09-01,Fiction,https://bookmarks.reviews/reviews/all/the-lying-life-of-adults/
Her Body and Other Parties,Carmen Maria Machado,Rave,32,Graywolf,2017-10-03,Fiction,https://bookmarks.reviews/reviews/all/her-body-and-other-parties/
Piranesi,Susanna Clarke,Rave,32,Bloomsbury Publishing,2020-09-15,Fantasy,https://bookmarks.reviews/reviews/all/piranesi/
Underland: A Deep Time Journey,Robert Macfarlane,Rave,35,W.W. Norton,2019-06-04,Hottest Books of the Season,https://bookmarks.reviews/reviews/all/underland/
Kudos,Rachel Cusk,Rave,33,Farrar Straus and Giroux,2018-06-05,Fiction,https://bookmarks.reviews/reviews/all/kudos/
Feel Free,Zadie Smith,Rave,37,Penguin Press,2018-02-06,Award Winners,https://bookmarks.reviews/reviews/all/feel-free/
"Black Leopard, Red Wolf",Marlon James,Positive,43,Riverhead Books,2019-02-05,Fantasy,https://bookmarks.reviews/reviews/all/black-leopard-red-wolf/
My Year of Rest and Relaxation,Ottessa Moshfegh,Positive,45,Penguin Press,2018-07-10,Fiction,https://bookmarks.reviews/reviews/all/my-year-of-rest-and-relaxation/
"Sing, Unburied, Sing",Jesmyn Ward,Rave,34,Scribner,2017-09-05,Fiction,https://bookmarks.reviews/reviews/all/sing-unburied-sing/
The Underground Railroad,Colson Whitehead,Rave,32,Doubleday,2016-09-13,Fiction,https://bookmarks.reviews/reviews/all/the-underground-railroad/
No One Is Talking About This,Patricia Lockwood,Positive,43,Riverhead Books,2021-02-16,Fiction,https://bookmarks.reviews/reviews/all/no-one-is-talking-about-this/
Homeland Elegies,Ayad Akhtar,Rave,31,Little Brown,2020-09-15,Fiction,https://bookmarks.reviews/reviews/all/homeland-elegies/
Hurricane Season,"Fernanda Melchor, Trans. by Sophie Hughes",Rave,34,New Directions,2020-03-31,Fiction,https://bookmarks.reviews/reviews/all/hurricane-season/
Deacon King Kong,James McBride,Rave,32,Riverhead,2020-03-03,Fiction,https://bookmarks.reviews/reviews/all/deacon-king-kong/
On Earth We're Briefly Gorgeous,Ocean Vuong,Positive,41,Penguin Press,2019-06-04,Fiction,https://bookmarks.reviews/reviews/all/on-earth-were-briefly-gorgeous/
Orange World and Other Stories,Karen Russell,Rave,30,Knopf,2019-05-14,Fiction,https://bookmarks.reviews/reviews/all/orange-world-and-other-stories/
Anything is Possible,Elizabeth Strout,Rave,28,Random House,2017-04-25,Fiction,https://bookmarks.reviews/reviews/all/anything-is-possible/
Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,Positive,36,Random House,2019-08-06,Criticism,https://bookmarks.reviews/reviews/all/trick-mirror-reflections-on-self-delusion/
Exhalation: Stories,Ted Chiang,Rave,30,Knopf,2019-05-07,Fiction,https://bookmarks.reviews/reviews/all/exhalation-stories/
Women Talking,Miriam Toews,Rave,32,Bloomsbury Publishing,2019-04-02,Fiction,https://bookmarks.reviews/reviews/all/women-talking/
Leave the World Behind,Rumaan Alam,Positive,40,Ecco Press,2020-10-06,Fiction,https://bookmarks.reviews/reviews/all/leave-the-world-behind/
Matrix,Lauren Groff,Rave,31,Riverhead,2021-09-07,Fiction,https://bookmarks.reviews/reviews/all/matrix/
Writers & Lovers,Lily King,Positive,38,Grove Press,2020-03-03,Fiction,https://bookmarks.reviews/reviews/all/writers-lovers/
The Man Who Saw Everything,Deborah Levy,Rave,32,Bloomsbury,2019-10-15,Fiction,https://bookmarks.reviews/reviews/all/the-man-who-saw-everything/
The Topeka School,Ben Lerner,Positive,52,"Farrar, Straus and Giroux",2019-10-01,Fiction,https://bookmarks.reviews/reviews/all/the-topeka-school/
Asymmetry,Lisa Halliday,Rave,31,Simon & Schuster,2018-02-06,Fiction,https://bookmarks.reviews/reviews/all/asymmetry/
"Beautiful World, Where Are You",Sally Rooney,Positive,74,"Farrar, Straus and Giroux",2021-09-07,Fiction,https://bookmarks.reviews/reviews/all/beautiful-world-where-are-you/
The Yellow House,Sarah M. Broom,Rave,30,Grove Press,2019-08-13,Award Winners,https://bookmarks.reviews/reviews/all/the-yellow-house/
Frederick Douglass: Prophet of Freedom,David W. Blight,Rave,27,Simon & Schuster,2018-10-16,Biography,https://bookmarks.reviews/reviews/all/frederick-douglass-prophet-of-freedom/
The Mars Room,Rachel Kushner,Positive,35,Scribner,2018-05-01,Fiction,https://bookmarks.reviews/reviews/all/the-mars-room/
Moonglow,Michael Chabon,Positive,37,Harper,2016-11-22,Fiction,https://bookmarks.reviews/reviews/all/moonglow/
Harlem Shuffle,Colson Whitehead,Rave,31,Doubleday,2021-09-14,Fiction,https://bookmarks.reviews/reviews/all/harlem-shuffle/
Afterparties: Stories,Anthony Veasna So,Rave,27,Ecco,2021-08-03,Fiction,https://bookmarks.reviews/reviews/all/afterparties-stories/
Second Place,Rachel Cusk,Positive,40,"Farrar, Straus and Giroux",2021-05-04,Fiction,https://bookmarks.reviews/reviews/all/second-place/
Vesper Flights,Helen MacDonald,Rave,26,Grove Press,2020-08-25,Essays,https://bookmarks.reviews/reviews/all/vesper-flights/
Florida,Lauren Groff,Positive,33,Riverhead Books,2018-06-05,Fiction,https://bookmarks.reviews/reviews/all/florida/
Grant,Ron Chernow,Rave,28,Penguin Press,2017-10-10,Biography,https://bookmarks.reviews/reviews/all/grant/
The Prophets,Robert Jones Jr,Rave,24,G.P. Putnam's Sons,2021-01-05,Fiction,https://bookmarks.reviews/reviews/all/the-prophets/
Memorial Drive: A Daughter's Memoir,Natasha Trethewey,Rave,24,Ecco Press,2020-07-28,Memoir,https://bookmarks.reviews/reviews/all/memorial-drive-a-daughters-memoir/
How Much of These Hills Is Gold,C Pam Zhang,Rave,31,Riverhead,2020-04-07,Fiction,https://bookmarks.reviews/reviews/all/how-much-of-these-hills-is-gold/
There There,Tommy Orange,Rave,24,Knopf,2018-06-05,Award Winners,https://bookmarks.reviews/reviews/all/there-there/
Exit West,Mohsin Hamid,Rave,31,Riverhead Books,2017-03-07,Fiction,https://bookmarks.reviews/reviews/all/exit-west/
