,region,from,to,forecast,index,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
0,North Scotland,2019-05-15T11:30Z,2019-05-15T12:00Z,258,moderate,0.0,0.0,0.0,64.9,0.0,0,6.4,0.0,28.7
1,North Scotland,2019-05-15T12:00Z,2019-05-15T12:30Z,263,high,0.0,0.0,0.0,67.7,0.0,0,4.6,0.0,27.7
2,North Scotland,2019-05-15T12:30Z,2019-05-15T13:00Z,251,moderate,0.0,0.0,0.0,64.3,0.0,0,5.4,0.0,30.3
3,North Scotland,2019-05-15T13:00Z,2019-05-15T13:30Z,243,moderate,0.0,0.0,0.0,61.9,0.0,0,6.4,0.0,31.7
4,North Scotland,2019-05-15T13:30Z,2019-05-15T14:00Z,235,moderate,0.0,0.0,0.0,60.9,0.0,0,6.9,0.0,32.2
5,North Scotland,2019-05-15T14:00Z,2019-05-15T14:30Z,224,moderate,0.0,0.0,0.0,57.5,0.0,0,7.8,0.0,34.7
6,North Scotland,2019-05-15T14:30Z,2019-05-15T15:00Z,222,moderate,0.0,0.0,0.0,56.2,0.0,0,8.8,0.0,35.0
7,North Scotland,2019-05-15T15:00Z,2019-05-15T15:30Z,229,moderate,0.0,0.0,0.0,57.9,0.0,0,6.9,0.0,35.2
8,North Scotland,2019-05-15T15:30Z,2019-05-15T16:00Z,235,moderate,0.0,0.0,0.0,60.2,0.0,0,5.8,0.0,34.0
9,North Scotland,2019-05-15T16:00Z,2019-05-15T16:30Z,229,moderate,0.0,0.0,0.0,58.8,0.0,0,7.1,0.0,34.1
10,North Scotland,2019-05-15T16:30Z,2019-05-15T17:00Z,223,moderate,0.0,0.0,0.0,56.4,0.0,0,7.9,0.0,35.7
11,North Scotland,2019-05-15T17:00Z,2019-05-15T17:30Z,225,moderate,0.0,0.0,0.0,57.7,0.0,0,9.1,0.0,33.2
12,North Scotland,2019-05-15T17:30Z,2019-05-15T18:00Z,217,moderate,0.0,0.0,0.0,55.7,0.0,0,12.2,0.0,32.1
13,North Scotland,2019-05-15T18:00Z,2019-05-15T18:30Z,210,moderate,0.0,0.0,0.0,53.7,0.0,0,13.3,0.0,33.0
14,North Scotland,2019-05-15T18:30Z,2019-05-15T19:00Z,203,moderate,0.0,0.0,0.0,52.4,0.0,0,15.1,0.0,32.5
15,North Scotland,2019-05-15T19:00Z,2019-05-15T19:30Z,202,moderate,0.0,0.0,0.0,49.9,0.0,0,17.3,0.0,32.8
16,North Scotland,2019-05-15T19:30Z,2019-05-15T20:00Z,223,moderate,0.0,0.0,0.0,56.6,0.0,0,6.6,0.0,36.8
17,North Scotland,2019-05-15T20:00Z,2019-05-15T20:30Z,223,moderate,0.0,0.0,0.0,56.6,0.0,0,3.7,0.0,39.7
18,North Scotland,2019-05-15T20:30Z,2019-05-15T21:00Z,219,moderate,0.0,0.0,0.0,55.8,0.0,0,2.9,0.0,41.3
19,North Scotland,2019-05-15T21:00Z,2019-05-15T21:30Z,209,moderate,0.0,0.0,0.0,53.8,0.0,0,3.8,0.0,42.4
20,North Scotland,2019-05-15T21:30Z,2019-05-15T22:00Z,197,moderate,0.0,0.0,0.0,50.7,0.0,0,4.4,0.0,44.9
21,North Scotland,2019-05-15T22:00Z,2019-05-15T22:30Z,185,moderate,0.0,0.0,0.0,47.5,0.0,0,5.0,0.0,47.5
22,North Scotland,2019-05-15T22:30Z,2019-05-15T23:00Z,171,moderate,0.0,0.0,0.0,44.4,0.0,0,5.3,0.0,50.3
23,North Scotland,2019-05-15T23:00Z,2019-05-15T23:30Z,155,low,0.0,0.0,0.0,40.2,0.0,0,5.0,0.0,54.8
24,North Scotland,2019-05-15T23:30Z,2019-05-16T00:00Z,146,low,0.0,0.0,0.0,36.6,0.0,0,6.6,0.0,56.8
25,North Scotland,2019-05-16T00:00Z,2019-05-16T00:30Z,154,low,0.0,0.0,0.0,38.9,0.0,0,4.2,0.0,56.9
26,North Scotland,2019-05-16T00:30Z,2019-05-16T01:00Z,163,moderate,0.0,0.0,0.0,40.5,0.0,0,3.4,0.0,56.1
27,North Scotland,2019-05-16T01:00Z,2019-05-16T01:30Z,176,moderate,0.0,0.0,0.0,45.2,0.0,0,2.7,0.0,52.1
28,North Scotland,2019-05-16T01:30Z,2019-05-16T02:00Z,175,moderate,0.0,0.0,0.0,44.8,0.0,0,3.2,0.0,52.0
29,North Scotland,2019-05-16T02:00Z,2019-05-16T02:30Z,171,moderate,0.0,0.0,0.0,43.7,0.0,0,5.2,0.0,51.1
