Nome,Partido,Voto,ID Votacao
Bia Kicis         ,(PSL-DF),Sim,21775
Caroline de Toni  ,(PSL-SC),Sim,21775
Delegado Marcelo  ,(PSL-MG),Sim,21775
Delegado Waldir   ,(PSL-GO),Sim,21775
FelipeFrancischini,(PSL-PR),Sim,21775
Nicoletti         ,(PSL-RR),Sim,21775
Coronel Tadeu     ,(PSL-SP),Sim,21775
Hiran Gonçalves   ,(PP-RR),Sim,21775
Marcelo Aro       ,(PP-MG),Sim,21775
Margarete Coelho  ,(PP-PI),Sim,21775
Cacá Leão         ,(PP-BA),Sim,21775
Pedro Westphalen  ,(PP-RS),Sim,21775
Darci de Matos    ,(PSD-SC),Sim,21775
Deleg. Éder Mauro ,(PSD-PA),Sim,21775
Edilazio Junior   ,(PSD-MA),Sim,21775
Fábio Trad        ,(PSD-MS),Sim,21775
Stephanes Junior  ,(PSD-PR),Sim,21775
Arthur O. Maia    ,(DEM-BA),Sim,21775
Bilac Pinto       ,(DEM-MG),Sim,21775
Geninho Zuliani   ,(DEM-SP),Sim,21775
David Soares      ,(DEM-SP),Sim,21775
Alceu Moreira     ,(MDB-RS),Sim,21775
Celso Maldaner    ,(MDB-SC),Sim,21775
Márcio Biolchi    ,(MDB-RS),Sim,21775
Darcísio Perondi  ,(MDB-RS),Sim,21775
Giovani Cherini   ,(PR-RS),Sim,21775
Marcelo Ramos     ,(PR-AM),Sim,21775
Sergio Toledo     ,(PR-AL),Sim,21775
Vicentinho Júnior ,(PR-TO),Sim,21775
João Campos       ,(PRB-GO),Sim,21775
João Roma         ,(PRB-BA),Sim,21775
Lafayette Andrada ,(PRB-MG),Sim,21775
Luizão Goulart    ,(PRB-PR),Sim,21775
Eduardo Cury      ,(PSDB-SP),Sim,21775
Paulo Abi-Ackel   ,(PSDB-MG),Sim,21775
Samuel Moreira    ,(PSDB-SP),Sim,21775
Shéridan          ,(PSDB-RR),Sim,21775
Paulo Martins     ,(PSC-PR),Sim,21775
Maurício Dziedrick,(PTB-RS),Não,21775
Afonso Motta      ,(PDT-RS),Obstrução,21775
