name_model,description,owner,price,license,published_date,formats_available,list_categories,links_categories,list_tags,links_tags
Free base male anatomy,Free model. You can use for base anatomy/proportion. ztl and obj files included.,niyoo,Free, - All Extended Uses,2019-07-21,['OBJ '],"['3D Model', 'characters', 'people', 'man']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/character', 'https://www.turbosquid.com/3d-model/people', 'https://www.turbosquid.com/3d-model/man']","['characters', 'man', 'male', 'human', 'zbrush', 'ztl', 'obj', 'head', 'face', 'body', 'torso', 'people', 'free']","['https://www.turbosquid.com/Search/3D-Models/characters', 'https://www.turbosquid.com/Search/3D-Models/man', 'https://www.turbosquid.com/Search/3D-Models/male', 'https://www.turbosquid.com/Search/3D-Models/human', 'https://www.turbosquid.com/Search/3D-Models/zbrush', 'https://www.turbosquid.com/Search/3D-Models/ztl', 'https://www.turbosquid.com/Search/3D-Models/obj', 'https://www.turbosquid.com/Search/3D-Models/head', 'https://www.turbosquid.com/Search/3D-Models/face', 'https://www.turbosquid.com/Search/3D-Models/body', 'https://www.turbosquid.com/Search/3D-Models/torso', 'https://www.turbosquid.com/Search/3D-Models/people', 'https://www.turbosquid.com/Search/3D-Models/free']"
Minecraft grass block,,Render at Night,Free, - Editorial Uses Only,2019-07-21,['OBJ '],"['3D Model', 'nature', 'plants', 'grasses', 'ornamental grass']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/nature', 'https://www.turbosquid.com/3d-model/plants', 'https://www.turbosquid.com/3d-model/grasses', 'https://www.turbosquid.com/3d-model/ornamental-grass']","['minecraft', 'grass', 'block', 'cube']","['https://www.turbosquid.com/Search/3D-Models/minecraft', 'https://www.turbosquid.com/Search/3D-Models/grass', 'https://www.turbosquid.com/Search/3D-Models/block', 'https://www.turbosquid.com/Search/3D-Models/cube']"
Diving helmet ,This is a helmet I made.CC0 License,NotJerd,Free, - All Extended Uses,2019-07-20,['OBJ '],"['3D Model', 'sports', 'outdoor sports', 'scuba', 'diving helmet']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/sports', 'https://www.turbosquid.com/3d-model/outdoor-sports', 'https://www.turbosquid.com/3d-model/scuba', 'https://www.turbosquid.com/3d-model/diving-helmet']","['Helmet', 'Undersea']","['https://www.turbosquid.com/Search/3D-Models/helmet', 'https://www.turbosquid.com/Search/3D-Models/undersea']"
Dominoes,"Models of 5 different dominoes.Polygons/Vertices (5 dominoes combined):- Low Poly: 5,324/5,398- High Poly: 85,696/85,706Available File variants:- BLEND (Modifiers not applied + Modifiers applied); Modifiers include Subdivison- OBJ (Low Poly + High Poly)*All photos were rendered in Blender with Cycles Render engine.",Render at Night,Free, - All Extended Uses,2019-07-20,['OBJ '],"['3D Model', 'toys and games', 'games', 'dominos']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/toys-and-games', 'https://www.turbosquid.com/3d-model/games', 'https://www.turbosquid.com/3d-model/dominos']","['domino', 'dominoes', 'black', 'white', 'tile']","['https://www.turbosquid.com/Search/3D-Models/domino', 'https://www.turbosquid.com/Search/3D-Models/dominoes', 'https://www.turbosquid.com/Search/3D-Models/black', 'https://www.turbosquid.com/Search/3D-Models/white', 'https://www.turbosquid.com/Search/3D-Models/tile']"
Prototyping polygons ,"I was starting work on a new game in unity and needed placeholder objects, and found that there were no free packages on the unity asset store. After making some myself I decided to upload them to the Unity Asset Store, but as it turns out, there is a clause explicitly banning 3d primitives for prototyping . So I'm sharing them here.",HyperChromatica,Free, - All Extended Uses,2019-07-20,"['FBX 1', '0\n']","['3D Model', 'symbols']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/symbols-and-shapes']","['primitives', 'prototyping', 'blender', 'unity', 'geometric', 'simple']","['https://www.turbosquid.com/Search/3D-Models/primitives', 'https://www.turbosquid.com/Search/3D-Models/prototyping', 'https://www.turbosquid.com/Search/3D-Models/blender', 'https://www.turbosquid.com/Search/3D-Models/unity', 'https://www.turbosquid.com/Search/3D-Models/geometric', 'https://www.turbosquid.com/Search/3D-Models/simple']"
Counter and bar stools,counter and bar stools Are the same specifications as the real materials Used in exhibitionsThe component of octanorm systemThe wooden materials are decorated in the same style as the real exhibits,ESalem,Free, - All Extended Uses,2019-07-20,"['3D Studio', 'FBX ', 'OBJ ']","['3D Model', 'furnishings', 'cupboard', 'showcase']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/cupboard', 'https://www.turbosquid.com/3d-model/showcase']","['counter', 'and', 'bar', 'stools', 'Are', 'same', 'specifications', 'as', 'the', 'real', 'Used', 'in', 'exhibitions', 'The', 'component', 'of', 'octanorm', 'system', 'The', 'wooden', 'materials']","['https://www.turbosquid.com/Search/3D-Models/counter', 'https://www.turbosquid.com/Search/3D-Models/and', 'https://www.turbosquid.com/Search/3D-Models/bar', 'https://www.turbosquid.com/Search/3D-Models/stools', 'https://www.turbosquid.com/Search/3D-Models/are', 'https://www.turbosquid.com/Search/3D-Models/same', 'https://www.turbosquid.com/Search/3D-Models/specifications', 'https://www.turbosquid.com/Search/3D-Models/as', 'https://www.turbosquid.com/Search/3D-Models/the', 'https://www.turbosquid.com/Search/3D-Models/real', 'https://www.turbosquid.com/Search/3D-Models/used', 'https://www.turbosquid.com/Search/3D-Models/in', 'https://www.turbosquid.com/Search/3D-Models/exhibitions', 'https://www.turbosquid.com/Search/3D-Models/the', 'https://www.turbosquid.com/Search/3D-Models/component', 'https://www.turbosquid.com/Search/3D-Models/of', 'https://www.turbosquid.com/Search/3D-Models/octanorm', 'https://www.turbosquid.com/Search/3D-Models/system', 'https://www.turbosquid.com/Search/3D-Models/the', 'https://www.turbosquid.com/Search/3D-Models/wooden', 'https://www.turbosquid.com/Search/3D-Models/materials']"
Cabin shop,Small low poly shop cabin.,MarkoffIN,Free, - All Extended Uses,2019-07-20,['FBX '],"['3D Model', 'architecture', 'building', 'commercial building', 'restaurant', 'coffee shop']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/architecture', 'https://www.turbosquid.com/3d-model/building', 'https://www.turbosquid.com/3d-model/commercial-building', 'https://www.turbosquid.com/3d-model/restaurant-building', 'https://www.turbosquid.com/3d-model/coffee-shop']","['House', 'shop', 'store', 'stall', 'depot', 'trade', 'cabin.']","['https://www.turbosquid.com/Search/3D-Models/house', 'https://www.turbosquid.com/Search/3D-Models/shop', 'https://www.turbosquid.com/Search/3D-Models/store', 'https://www.turbosquid.com/Search/3D-Models/stall', 'https://www.turbosquid.com/Search/3D-Models/depot', 'https://www.turbosquid.com/Search/3D-Models/trade', 'https://www.turbosquid.com/Search/3D-Models/cabin.']"
Viper sniper rifle,"Game ready model, low poly can used as a game object or props object, all texture have 2 sets 4096x4096 and 2048x2048 ( normal, basecolor, metallic, roughness, AO) And same texture sets for unity ( normal, basecolor, metallic with roughness alpha, AO) Good work with unreal and unity. In .blend file 2.8 version all texture pack into this file and all texture set up for scene All texture pbr I model that model from concept of mass effect",Young_Wizard,Free, - All Extended Uses,2019-07-20,"['FBX ', 'OBJ ', 'Other ']","['3D Model', 'weaponry', 'weapons', 'firearms', 'rifle', 'sniper rifle']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/weaponry', 'https://www.turbosquid.com/3d-model/weapons', 'https://www.turbosquid.com/3d-model/firearms', 'https://www.turbosquid.com/3d-model/rifle', 'https://www.turbosquid.com/3d-model/sniper-rifle']","['weapon', 'sci-fi', 'low-poly', 'game-ready', 'sniper-rifle', 'mass-effect']","['https://www.turbosquid.com/Search/3D-Models/weapon', 'https://www.turbosquid.com/Search/3D-Models/sci-fi', 'https://www.turbosquid.com/Search/3D-Models/low-poly', 'https://www.turbosquid.com/Search/3D-Models/game-ready', 'https://www.turbosquid.com/Search/3D-Models/sniper-rifle', 'https://www.turbosquid.com/Search/3D-Models/mass-effect']"
Atom ,"3D model for the atom. The whole project was made in Blender 3D. The renders and wireframe views in the photos of this product are with no Subdivision .. only smooth shading The Project has these formats: blend, fbx, obj, mtl",Abdo Ashraf,Free, - All Extended Uses,2019-07-20,Unknown,"['3D Model', 'science', 'chemistry', 'atom']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/science', 'https://www.turbosquid.com/3d-model/chemistry', 'https://www.turbosquid.com/3d-model/atom']","['atom', 'science', 'chemistry', 'chemical', 'scientific', 'nuclear', 'radiation', 'molecule', 'atomic', 'electron', 'nucleus', 'proton', 'neutron', 'models', 'various', 'orbit', 'other']","['https://www.turbosquid.com/Search/3D-Models/atom', 'https://www.turbosquid.com/Search/3D-Models/science', 'https://www.turbosquid.com/Search/3D-Models/chemistry', 'https://www.turbosquid.com/Search/3D-Models/chemical', 'https://www.turbosquid.com/Search/3D-Models/scientific', 'https://www.turbosquid.com/Search/3D-Models/nuclear', 'https://www.turbosquid.com/Search/3D-Models/radiation', 'https://www.turbosquid.com/Search/3D-Models/molecule', 'https://www.turbosquid.com/Search/3D-Models/atomic', 'https://www.turbosquid.com/Search/3D-Models/electron', 'https://www.turbosquid.com/Search/3D-Models/nucleus', 'https://www.turbosquid.com/Search/3D-Models/proton', 'https://www.turbosquid.com/Search/3D-Models/neutron', 'https://www.turbosquid.com/Search/3D-Models/models', 'https://www.turbosquid.com/Search/3D-Models/various', 'https://www.turbosquid.com/Search/3D-Models/orbit', 'https://www.turbosquid.com/Search/3D-Models/other']"
Fan,Vintage fan,Akumax Maxime,Free, - All Extended Uses,2019-07-19,['OBJ '],"['3D Model', 'interior design', 'housewares', 'fan', 'box fan']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/housewares', 'https://www.turbosquid.com/3d-model/fan', 'https://www.turbosquid.com/3d-model/box-fan']","['Fan', 'ventilateur']","['https://www.turbosquid.com/Search/3D-Models/fan', 'https://www.turbosquid.com/Search/3D-Models/ventilateur']"
