name,aliases,titles,born,died,gender,culture,father,mother,books,Books Apperences
Aegon I,"['Aegon the Conqueror', 'Aegon the Dragon', 'Aegon the Dragonlord']","['King of All Westeros', 'Shield of His People', 'King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm', 'Lord of Dragonstone']","27 BC, at Dragonstone","37 AC, at Dragonstone",Male,,https://www.anapioficeandfire.com/api/characters/59,https://www.anapioficeandfire.com/api/characters/1070,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/11']",10
Daeron II,"['Daeron the Good', 'Daeron the Falseborn']","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms']","153 AC, at King's Landing","209 AC, at King's Landing",Male,,https://www.anapioficeandfire.com/api/characters/41,https://www.anapioficeandfire.com/api/characters/779,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",9
Aegon V,"['Aegon the Unlikely', 'Aegon the Fortunate', 'The Prince Who Was An Eggg']","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","200 AC, at King's Landing","259 AC, at Summerhall",Male,,https://www.anapioficeandfire.com/api/characters/695,https://www.anapioficeandfire.com/api/characters/334,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",9
Aemon Targaryen,"['Aemon Targaryen', 'Maester Aemon', 'Uncle Maester']",['Maester'],"In 198 AC, at King's Landing","In 300 AC, at the Cinnamon Wind, off the coast of Dorne, at the Summer Sea",Male,Valyrian,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8']",8
Jaehaerys I,"['The Conciliator', 'The Wise', 'The Old King']","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","34 AC, at King's Landing","103 AC, at King's Landing",Male,,https://www.anapioficeandfire.com/api/characters/57,https://www.anapioficeandfire.com/api/characters/110,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",7
Rhaenyra Targaryen,"[""The Realm's Delight"", 'The Whore of Dragonstone', 'King Maegor with Teats', ""Maegor's Teats"", 'The Half-Year Queen']","['Princess of Dragonstone', 'Lady of the Seven Kingdoms (claimant)']",In 97 AC,"In 130 AC, at Dragonstone",Female,Valyrian,,,"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",7
Aerion Targaryen,"['Brightflame', 'Aerion the Monstrous', 'The Bright Prince', 'The Prince Who Thought He Was a Dragon']",['Prince'],In or between 191 AC and 194 AC,In 232 AC,Male,Valyrian,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",7
Ryam Redwyne,['Has no known aliases'],"['Ser', 'Lord Commander of the Kingsguard', 'Hand of the King']",,"In 105 AC, at King's Landing",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",7
Symeon Star-Eyes,['Has no known aliases'],['Has no title'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",7
Aegon Targaryen,['Young Griff'],['Has no title'],"In 281 AC or 282 AC, at Dragonstone","In 283 AC (Supposedly), at King's Landing",Male,Valyrian,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",6
