aliases,allegiances,books,born,culture,died,father,gender,mother,name,playedBy,povBooks,spouse,titles,tvSeries,url
['The Daughter of the Dusk'],[],['https://www.anapioficeandfire.com/api/books/5'],,Braavosi,,,Female,,,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/1
['Hodor'],['https://www.anapioficeandfire.com/api/houses/362'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Male,,Walder,['Kristian Nairn'],[],,['Has no title'],"['Season 1', 'Season 2', 'Season 3', 'Season 4', 'Season 6']",https://www.anapioficeandfire.com/api/characters/2
['Lamprey'],['https://www.anapioficeandfire.com/api/houses/15'],['https://www.anapioficeandfire.com/api/books/3'],,,,,Male,,,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/3
['The Merling Queen'],[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,Braavosi,,,Female,,,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/4
['Old Crackbones'],[],['https://www.anapioficeandfire.com/api/books/5'],,,,,Male,,,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/5
['The Poetess'],[],['https://www.anapioficeandfire.com/api/books/5'],,Braavosi,,,Female,,,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/6
['Porridge'],['https://www.anapioficeandfire.com/api/houses/15'],['https://www.anapioficeandfire.com/api/books/3'],,,,,Female,,,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/7
['Quickfinger'],['https://www.anapioficeandfire.com/api/houses/23'],['https://www.anapioficeandfire.com/api/books/6'],,,,,Male,,,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/8
"[""the Sailor's Wife""]",[],['https://www.anapioficeandfire.com/api/books/5'],,,,,Female,,,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/9
['The Veiled Lady'],[],['https://www.anapioficeandfire.com/api/books/5'],,Braavosi,,,Female,,,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/10
['The waif'],[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In 263 AC or 264 AC,Braavosi,,,Female,,,['Faye Marsay'],[],,['Has no title'],"['Season 5', 'Season 6']",https://www.anapioficeandfire.com/api/characters/11
