champion,gameId,lane,platformId,queue,role,season,timestamp
104,3098384601,NONE,NA1,450,DUO_SUPPORT,13,1563475677269
82,3082038329,TOP,NA1,420,DUO,13,1562029154090
412,3076260340,BOTTOM,NA1,400,DUO_SUPPORT,13,1561610153317
412,3076231678,BOTTOM,NA1,400,DUO_SUPPORT,13,1561608199041
412,3076210811,BOTTOM,NA1,420,DUO_SUPPORT,13,1561605807175
29,3075232601,BOTTOM,NA1,420,DUO_CARRY,13,1561532398005
15,3075197468,BOTTOM,NA1,420,SOLO,13,1561529617753
222,3075182286,BOTTOM,NA1,420,DUO_CARRY,13,1561527655337
222,3075154170,BOTTOM,NA1,420,DUO_CARRY,13,1561525329996
99,3075055533,BOTTOM,NA1,420,DUO_SUPPORT,13,1561517086587
25,3075014542,MID,NA1,420,DUO_SUPPORT,13,1561514185799
111,3074992633,BOTTOM,NA1,420,DUO_SUPPORT,13,1561512022169
15,3074581095,BOTTOM,NA1,420,DUO_CARRY,13,1561444223719
15,3074562827,BOTTOM,NA1,420,DUO_CARRY,13,1561441902389
15,3074541604,BOTTOM,NA1,420,DUO_CARRY,13,1561439200593
15,3074512513,MID,NA1,420,DUO,13,1561436936002
15,3074465450,BOTTOM,NA1,420,DUO_CARRY,13,1561434401352
15,3074432791,BOTTOM,NA1,420,DUO_CARRY,13,1561431640616
24,3074411162,TOP,NA1,420,SOLO,13,1561429520426
86,3074380295,TOP,NA1,420,SOLO,13,1561427110502
75,3074350515,TOP,NA1,420,SOLO,13,1561424882540
82,3072552650,TOP,NA1,420,SOLO,13,1561229515717
86,3072518596,TOP,NA1,420,SOLO,13,1561227073746
86,3072521106,TOP,NA1,420,SOLO,13,1561224816001
86,3072387474,TOP,NA1,420,SOLO,13,1561195360004
86,3072385590,TOP,NA1,420,SOLO,13,1561193815090
86,3072074055,MID,NA1,420,DUO,13,1561161908735
86,3072046971,TOP,NA1,420,SOLO,13,1561159654215
86,3071384199,MID,NA1,420,DUO,13,1561092790636
86,3071370161,TOP,NA1,420,SOLO,13,1561090050695
3,3071320884,MID,NA1,420,SOLO,13,1561087282361
113,3071266813,JUNGLE,NA1,420,NONE,13,1561084184324
113,3071255057,JUNGLE,NA1,420,NONE,13,1561082228983
113,3071219678,JUNGLE,NA1,420,NONE,13,1561080412376
15,3071200837,BOTTOM,NA1,440,DUO_CARRY,13,1561078101000
40,3070844534,BOTTOM,NA1,420,DUO_SUPPORT,13,1561017420685
40,3070836734,BOTTOM,NA1,420,DUO_SUPPORT,13,1561014803952
40,3070832552,BOTTOM,NA1,420,DUO_SUPPORT,13,1561012954631
40,3070798755,BOTTOM,NA1,420,DUO_SUPPORT,13,1561010698748
40,3070782099,BOTTOM,NA1,420,DUO_SUPPORT,13,1561008550996
40,3070762569,BOTTOM,NA1,420,DUO_SUPPORT,13,1561006003211
99,3070734150,BOTTOM,NA1,420,DUO_SUPPORT,13,1561003947912
40,3070703609,BOTTOM,NA1,420,DUO_SUPPORT,13,1561001484939
111,3070664222,BOTTOM,NA1,420,DUO_SUPPORT,13,1560999427204
25,3070628863,BOTTOM,NA1,420,DUO_SUPPORT,13,1560996584975
15,3070602805,BOTTOM,NA1,420,DUO_CARRY,13,1560994606630
15,3070568673,BOTTOM,NA1,420,DUO_CARRY,13,1560991899665
111,3070005996,BOTTOM,NA1,420,DUO_SUPPORT,13,1560910415099
25,3069976172,BOTTOM,NA1,420,DUO_SUPPORT,13,1560908205296
15,3069139062,MID,NA1,420,DUO,13,1560826776387
25,3069108616,BOTTOM,NA1,420,DUO_SUPPORT,13,1560824567760
89,3069101900,NONE,NA1,420,DUO_SUPPORT,13,1560823147664
25,3069070383,BOTTOM,NA1,420,DUO_SUPPORT,13,1560820608909
111,3069029454,BOTTOM,NA1,420,DUO_SUPPORT,13,1560818371512
412,3068681843,BOTTOM,NA1,420,DUO_SUPPORT,13,1560754262159
16,3068664521,BOTTOM,NA1,420,DUO_SUPPORT,13,1560752164610
412,3068638162,BOTTOM,NA1,420,DUO_SUPPORT,13,1560750090559
412,3068610900,BOTTOM,NA1,420,DUO_SUPPORT,13,1560747573622
63,3068591023,BOTTOM,NA1,420,DUO_SUPPORT,13,1560745098056
15,3068534116,BOTTOM,NA1,420,DUO_CARRY,13,1560741311707
51,3068494223,BOTTOM,NA1,420,DUO_CARRY,13,1560739100676
51,3068458637,BOTTOM,NA1,420,DUO_CARRY,13,1560735989422
51,3068424983,BOTTOM,NA1,420,DUO_CARRY,13,1560732865855
15,3068385505,BOTTOM,NA1,420,DUO_CARRY,13,1560730199393
89,3068362716,TOP,NA1,420,SOLO,13,1560727121456
89,3068326152,TOP,NA1,420,SOLO,13,1560724915600
222,3068282806,BOTTOM,NA1,420,DUO_CARRY,13,1560720761907
15,3068254274,BOTTOM,NA1,420,DUO_CARRY,13,1560718119529
22,3068246509,BOTTOM,NA1,420,DUO_CARRY,13,1560716164162
15,3068229960,BOTTOM,NA1,420,DUO_CARRY,13,1560713746758
103,3068214548,NONE,NA1,420,DUO_SUPPORT,13,1560712126573
103,3068189099,MID,NA1,420,SOLO,13,1560710186529
103,3068184415,MID,NA1,420,SOLO,13,1560708429953
103,3067748245,MID,NA1,420,SOLO,13,1560662697217
103,3067665985,MID,NA1,420,SOLO,13,1560659930701
103,3067570762,MID,NA1,420,SOLO,13,1560654125986
103,3067529858,MID,NA1,420,SOLO,13,1560651577109
103,3067489056,MID,NA1,420,SOLO,13,1560648924900
103,3067482482,MID,NA1,420,SOLO,13,1560647200839
25,3067434415,MID,NA1,420,SOLO,13,1560644731795
15,3067406475,BOTTOM,NA1,420,DUO_CARRY,13,1560642435097
15,3067389324,BOTTOM,NA1,420,DUO_CARRY,13,1560640430520
15,3067371998,BOTTOM,NA1,420,DUO_CARRY,13,1560637974820
15,3067366133,BOTTOM,NA1,420,SOLO,13,1560636274946
15,3067327677,BOTTOM,NA1,420,DUO_CARRY,13,1560633479216
51,3067297215,BOTTOM,NA1,420,DUO_CARRY,13,1560630070572
15,3066444988,BOTTOM,NA1,420,DUO_CARRY,13,1560499403656
22,3066460502,BOTTOM,NA1,420,DUO_CARRY,13,1560497437144
