,temperatureMin,apparentTemperatureMinTime,temperatureHighTime,apparentTemperatureMin,time,dewPoint,apparentTemperatureHighTime,uvIndex,temperatureLowTime,apparentTemperatureMaxTime,apparentTemperatureLowTime,sunriseTime,windBearing,apparentTemperatureLow,icon,cloudCover,sunsetTime,temperatureMaxTime,uvIndexTime,windSpeed,temperatureMinTime,apparentTemperatureHigh,humidity,temperatureMax,apparentTemperatureMax,moonPhase,temperatureLow,summary,temperatureHigh
0,43.91,1522760400,1522789200,43.91,1522731600,37.32,1522789200,0,1522846800,1522789200,1522846800,1522759647,240,44.94,clear-day,,1522804290,1522789200,1522731600,6.25,1522760400,83.93,0.44,83.93,83.93,0.62,44.94,Clear throughout the day.,83.93
0,61.64,1528027200,1528070400,61.82,1528002000,49.73,1528070400,9,1528117200,1528070400,1528117200,1528028039,126,65.77,clear-day,0.12,1528075998,1528070400,1528052400,3.89,1528027200,87.38,0.49,87.38,87.38,0.67,65.77,Partly cloudy throughout the day.,87.38
0,66.07,1530536400,1530568800,66.31,1530507600,59.97,1530568800,7,1530622800,1530568800,1530622800,1530533956,285,64.3,partly-cloudy-day,0.84,1530582045,1530568800,1530558000,2.86,1530536400,83.99,0.66,83.99,83.99,0.65,64.15,Foggy in the evening.,83.99
0,64.23,1530622800,1530658800,64.38,1530594000,59.05,1530658800,7,1530709200,1530658800,1530709200,1530620375,289,65.15,partly-cloudy-day,0.58,1530668449,1530658800,1530644400,2.96,1530622800,84.95,0.67,84.95,84.95,0.68,65.15,Mostly cloudy throughout the day.,84.95
0,64.39,1530622800,1530658800,64.54,1530594000,59.05,1530658800,7,1530709200,1530658800,1530709200,1530620378,289,65.31,partly-cloudy-day,0.58,1530668449,1530658800,1530644400,2.95,1530622800,85.11,0.67,85.11,85.11,0.68,65.31,Mostly cloudy throughout the day.,85.11
0,42.43,1514728800,1514746800,42.43,1514700000,49.49,1514746800,5,1514815200,1514746800,1514815200,1514727113,219,46.32,partly-cloudy-day,0.49,1514766337,1514746800,1514746800,1.95,1514728800,75.38,0.75,75.1,75.38,0.46,46.32,Mostly cloudy throughout the day.,75.1
0,47.32,1514898000,1514930400,47.32,1514872800,47.83,1514930400,6,1514988000,1514930400,1514988000,1514899963,109,46.82,partly-cloudy-day,0.23,1514939240,1514930400,1514919600,2.03,1514898000,75.35,0.65,75.35,75.35,0.54,46.82,Partly cloudy throughout the day.,75.35
0,44.36,1517061600,1517094000,44.36,1517032800,46.5,1517094000,7,1517148000,1517094000,1517148000,1517059957,256,41.41,partly-cloudy-day,0.44,1517100177,1517094000,1517079600,2.59,1517061600,73.91,0.68,73.91,73.91,0.37,41.41,Mostly cloudy throughout the day.,73.91
0,38.78,1517403600,1517439600,38.78,1517378400,43.32,1517439600,4,1517493600,1517439600,1517493600,1517405535,143,37.59,cloudy,0.94,1517445948,1517439600,1517425200,1.83,1517403600,62.11,0.75,62.11,62.11,0.52,37.59,Overcast throughout the day.,62.11
0,48.99,1523624400,1523656800,48.99,1523595600,33.96,1523656800,12,1523707200,1523656800,1523707200,1523623068,281,45.4,clear-day,0.07,1523668383,1523656800,1523646000,2.91,1523624400,81.97,0.32,81.97,81.97,0.93,45.4,Partly cloudy throughout the day.,81.97
0,48.83,1523624400,1523653200,48.83,1523595600,34.28,1523653200,12,1523710800,1523653200,1523710800,1523623098,270,45.08,clear-day,0.07,1523668420,1523653200,1523646000,4.54,1523624400,84.75,0.31,84.75,84.75,0.93,45.08,Partly cloudy throughout the day.,84.75
0,55.96,1523970000,1524009600,55.96,1523941200,43.01,1524009600,9,1524052800,1524009600,1524052800,1523968474,283,57.17,partly-cloudy-day,0.38,1524014057,1524009600,1523991600,2.7,1523970000,84.17,0.41,84.17,84.17,0.07,57.17,Partly cloudy throughout the day.,84.17
0,58.12,1524315600,1524348000,58.12,1524286800,46.65,1524348000,12,1524402000,1524348000,1524402000,1524313945,262,56.95,partly-cloudy-day,0.2,1524359794,1524348000,1524337200,6.03,1524315600,90.21,0.4,90.21,90.21,0.22,56.95,Partly cloudy throughout the day.,90.21
0,58.61,1524574800,1524603600,58.61,1524546000,45.56,1524603600,7,1524654000,1524603600,1524654000,1524572966,282,52.21,partly-cloudy-day,0.53,1524619000,1524603600,1524596400,3.08,1524574800,88.15,0.43,88.15,88.15,0.33,52.21,Mostly cloudy throughout the day.,88.15
0,54.42,1524654000,1524693600,54.42,1524632400,35.98,1524693600,12,1524740400,1524693600,1524740400,1524659354,279,53.95,clear-day,0.09,1524705439,1524693600,1524682800,3.34,1524654000,91.26,0.32,91.26,91.26,0.36,53.95,Clear throughout the day.,91.26
0,51.85,1524913200,1524956400,51.85,1524891600,34.16,1524956400,12,1525006800,1524956400,1525006800,1524918437,268,57.75,clear-day,0.0,1524964735,1524956400,1524942000,4.64,1524913200,89.74,0.29,89.74,89.74,0.47,57.75,Clear throughout the day.,89.74
0,59.99,1525006800,1525035600,59.99,1524978000,47.14,1525035600,9,1525093200,1525035600,1525093200,1525004819,263,62.03,partly-cloudy-day,0.44,1525051167,1525035600,1525028400,3.62,1525006800,89.61,0.41,89.61,89.61,0.5,62.03,Mostly cloudy throughout the day.,89.61
0,56.95,1525003200,1525035600,56.95,1524978000,46.75,1525035600,9,1525093200,1525035600,1525093200,1525004794,270,57.5,partly-cloudy-day,0.43,1525051136,1525035600,1525028400,3.18,1525003200,85.57,0.46,85.57,85.57,0.5,57.5,Mostly cloudy throughout the day.,85.57
0,59.06,1525262400,1525298400,59.06,1525237200,53.99,1525298400,9,1525341600,1525298400,1525341600,1525263912,249,62.66,partly-cloudy-day,0.73,1525310441,1525298400,1525287600,3.19,1525262400,87.86,0.58,87.86,87.86,0.6,62.66,Mostly cloudy throughout the day.,87.86
0,62.29,1525341600,1525381200,62.29,1525323600,55.36,1525381200,7,1525438800,1525381200,1525438800,1525350273,256,64.09,partly-cloudy-day,0.84,1525396863,1525381200,1525374000,3.02,1525341600,84.32,0.6,84.32,84.32,0.63,64.09,Mostly cloudy throughout the day.,84.32
0,60.39,1525352400,1525381200,60.39,1525323600,53.98,1525381200,7,1525420800,1525381200,1525420800,1525350244,259,59.07,partly-cloudy-day,0.84,1525396843,1525381200,1525374000,2.89,1525352400,83.23,0.59,83.23,83.23,0.63,59.07,Mostly cloudy throughout the day.,83.23
0,62.44,1525341600,1525381200,62.44,1525323600,55.38,1525381200,7,1525438800,1525381200,1525438800,1525350275,256,64.23,partly-cloudy-day,0.84,1525396864,1525381200,1525374000,3.02,1525341600,84.44,0.59,84.44,84.44,0.63,64.23,Mostly cloudy throughout the day.,84.44
0,47.25,1514988000,1515016800,47.25,1514959200,47.48,1515016800,6,1515074400,1515016800,1515074400,1514986383,17,48.23,partly-cloudy-day,0.27,1515025681,1515016800,1515006000,1.49,1514988000,75.89,0.66,75.89,75.89,0.58,48.23,Partly cloudy throughout the day.,75.89
0,46.72,1514988000,1515013200,46.72,1514959200,47.4,1515013200,6,1515074400,1515013200,1515074400,1514986374,10,47.7,partly-cloudy-day,0.27,1515025681,1515013200,1515006000,1.48,1514988000,75.11,0.67,75.11,75.11,0.58,47.7,Partly cloudy throughout the day.,75.11
0,41.38,1514988000,1515013200,41.38,1514959200,45.71,1515013200,6,1515074400,1515013200,1515074400,1514986335,38,42.21,partly-cloudy-day,0.27,1515025639,1515013200,1515006000,1.11,1514988000,69.91,0.75,69.91,69.91,0.58,42.21,Partly cloudy throughout the day.,69.91
0,33.42,1515848400,1515877200,33.42,1515823200,33.36,1515877200,6,1515924000,1515877200,1515924000,1515850438,32,36.53,clear-day,0.06,1515890032,1515877200,1515870000,0.53,1515848400,73.01,0.58,73.01,73.01,0.91,38.74,Partly cloudy throughout the day.,73.01
0,35.84,1515848400,1515880800,35.84,1515823200,33.49,1515880800,6,1515924000,1515880800,1515924000,1515850445,26,38.01,clear-day,0.06,1515890018,1515880800,1515870000,0.55,1515848400,75.93,0.54,75.93,75.93,0.91,40.05,Partly cloudy throughout the day.,75.93
0,34.13,1516024800,1516057200,34.13,1515996000,33.32,1516057200,7,1516111200,1516057200,1516104000,1516023277,128,33.74,clear-day,0.07,1516062921,1516057200,1516042800,1.7,1516024800,74.62,0.58,74.62,74.62,0.97,34.22,Partly cloudy throughout the day.,74.62
0,44.41,1516197600,1516230000,44.41,1516168800,38.58,1516230000,6,1516284000,1516230000,1516284000,1516196089,86,42.1,partly-cloudy-day,0.18,1516235835,1516230000,1516215600,2.26,1516197600,76.54,0.51,76.54,76.54,0.03,42.1,Partly cloudy throughout the day.,76.54
0,44.82,1517320800,1517349600,40.53,1517292000,36.28,1517349600,5,1517400000,1517349600,1517400000,1517319127,84,46.94,partly-cloudy-day,0.81,1517359490,1517349600,1517342400,5.72,1517320800,59.57,0.57,59.57,59.57,0.48,46.94,Mostly cloudy throughout the day.,59.57
0,47.47,1517580000,1517616000,47.47,1517551200,50.49,1517616000,8,1517666400,1517616000,1517666400,1517578256,100,47.63,partly-cloudy-day,0.38,1517618802,1517616000,1517598000,1.39,1517580000,78.01,0.74,78.01,78.01,0.6,47.63,Partly cloudy throughout the day.,78.01
0,45.62,1517666400,1517695200,45.62,1517637600,50.81,1517695200,5,1517752800,1517695200,1517752800,1517664649,128,43.57,partly-cloudy-day,0.6,1517705248,1517695200,1517680800,1.06,1517666400,73.02,0.8,73.02,73.02,0.63,43.57,Mostly cloudy throughout the day.,73.02
0,55.66,1518613200,1518649200,55.66,1518588000,50.62,1518649200,8,1518703200,1518649200,1518703200,1518614783,116,54.34,partly-cloudy-day,0.46,1518656052,1518649200,1518631200,3.12,1518613200,80.46,0.59,80.46,80.46,0.98,54.34,Partly cloudy throughout the day.,80.46
0,55.67,1518613200,1518649200,55.67,1518588000,50.64,1518649200,8,1518703200,1518649200,1518703200,1518614783,116,54.3,partly-cloudy-day,0.46,1518656052,1518649200,1518631200,3.12,1518613200,80.52,0.59,80.52,80.52,0.98,54.3,Partly cloudy throughout the day.,80.52
0,53.95,1518620400,1518649200,53.95,1518588000,50.12,1518649200,8,1518703200,1518649200,1518703200,1518614756,104,50.41,partly-cloudy-day,0.46,1518656018,1518649200,1518631200,2.94,1518620400,77.99,0.63,77.99,77.99,0.98,50.41,Partly cloudy throughout the day.,77.99
0,52.02,1518789600,1518825600,52.02,1518760800,48.67,1518825600,6,1518868800,1518825600,1518868800,1518787474,257,54.03,partly-cloudy-day,0.44,1518828867,1518825600,1518807600,1.99,1518789600,78.85,0.59,78.85,78.85,0.04,54.03,Mostly cloudy throughout the day.,78.85
0,45.59,1519225200,1519257600,45.59,1519192800,45.3,1519257600,9,1519297200,1519257600,1519297200,1519219281,207,46.58,partly-cloudy-day,0.31,1519261008,1519257600,1519239600,2.59,1519225200,77.08,0.64,77.08,77.08,0.21,46.58,Partly cloudy throughout the day.,77.08
0,46.44,1519225200,1519257600,46.44,1519192800,45.35,1519257600,9,1519297200,1519257600,1519297200,1519219292,207,47.43,partly-cloudy-day,0.31,1519261020,1519257600,1519239600,2.59,1519225200,77.93,0.62,77.93,77.93,0.21,47.43,Partly cloudy throughout the day.,77.93
0,48.09,1519477200,1519506000,48.09,1519452000,46.09,1519506000,9,1519563600,1519506000,1519563600,1519478339,281,49.89,partly-cloudy-day,0.27,1519520277,1519506000,1519498800,4.12,1519477200,80.65,0.55,80.65,80.65,0.32,49.89,Partly cloudy throughout the day.,80.65
0,49.91,1519563600,1519596000,49.91,1519538400,49.56,1519596000,7,1519642800,1519596000,1519642800,1519564695,270,45.23,partly-cloudy-day,0.47,1519606702,1519596000,1519581600,3.76,1519563600,80.53,0.6,80.53,80.53,0.35,45.23,Partly cloudy throughout the day.,80.53
0,52.68,1519563600,1519596000,52.68,1519538400,50.19,1519596000,7,1519642800,1519596000,1519642800,1519564744,265,47.68,partly-cloudy-day,0.47,1519606751,1519596000,1519581600,3.63,1519563600,83.52,0.56,83.52,83.52,0.35,47.68,Partly cloudy throughout the day.,83.52
0,50.47,1519736400,1519772400,50.47,1519711200,47.08,1519772400,7,1519826400,1519772400,1519826400,1519737459,243,52.36,partly-cloudy-day,0.41,1519779604,1519772400,1519758000,3.06,1519736400,83.17,0.52,83.17,83.17,0.43,52.36,Partly cloudy throughout the day.,83.17
0,49.57,1519826400,1519855200,49.57,1519797600,48.67,1519855200,8,1519909200,1519855200,1519909200,1519823761,283,47.77,partly-cloudy-day,0.45,1519865981,1519855200,1519844400,4.45,1519826400,81.99,0.56,81.99,81.99,0.47,47.77,Partly cloudy throughout the day.,81.99
0,47.53,1520064000,1520121600,47.53,1520056800,51.76,1520110800,10,1520161200,1520110800,1520161200,1520082826,250,49.61,clear-day,0.12,1520125252,1520121600,1520103600,2.83,1520064000,80.63,0.66,80.35,80.63,0.58,49.61,Partly cloudy throughout the day.,80.35
0,48.31,1520064000,1520121600,48.31,1520056800,51.69,1520121600,10,1520161200,1520121600,1520161200,1520082825,260,50.46,clear-day,0.12,1520125251,1520121600,1520103600,2.83,1520064000,81.2,0.64,81.2,81.2,0.58,50.46,Partly cloudy throughout the day.,81.2
0,51.57,1520863200,1520892000,51.57,1520834400,39.86,1520892000,11,1520946000,1520892000,1520946000,1520859962,215,50.82,clear-day,0.03,1520903023,1520892000,1520881200,1.84,1520863200,89.39,0.41,89.39,89.39,0.86,50.82,Partly cloudy throughout the day.,89.39
0,50.62,1520863200,1520892000,50.62,1520834400,39.92,1520892000,11,1520946000,1520892000,1520946000,1520859963,215,50.05,clear-day,0.02,1520903025,1520892000,1520881200,1.85,1520863200,88.44,0.42,88.44,88.44,0.86,50.05,Partly cloudy throughout the day.,88.44
0,50.32,1520938800,1520974800,50.32,1520920800,37.45,1520974800,11,1521032400,1520974800,1521032400,1520946348,252,51.18,clear-day,0.0,1520989479,1520974800,1520967600,4.33,1520938800,88.18,0.38,88.18,88.18,0.89,51.18,Clear throughout the day.,88.18
0,53.71,1520938800,1520974800,53.71,1520920800,40.25,1520974800,11,1521028800,1520974800,1521028800,1520946363,258,55.07,clear-day,0.0,1520989496,1520974800,1520967600,3.72,1520938800,90.83,0.36,90.83,90.83,0.89,55.07,Clear throughout the day.,90.83
0,53.42,1520938800,1520974800,53.42,1520920800,40.22,1520974800,11,1521028800,1520974800,1521028800,1520946361,258,54.77,clear-day,0.0,1520989494,1520974800,1520967600,3.72,1520938800,90.56,0.36,90.56,90.56,0.89,54.77,Clear throughout the day.,90.56
