,temperatureMin,temperatureMax,apparentTemperatureMin,apparentTemperatureMax,temperatureLow,temperatureHigh,time,dewPoint,uvIndex,uvIndexTime,windBearing,cloudCover,icon,windSpeed,humidity,summary
0,42.43,75.1,42.43,75.38,46.32,75.1,1514700000,49.49,5,1514746800,219,0.49,partly-cloudy-day,1.95,0.75,Mostly cloudy throughout the day.
1,47.32,75.35,47.32,75.35,46.82,75.35,1514872800,47.83,6,1514919600,109,0.23,partly-cloudy-day,2.03,0.65,Partly cloudy throughout the day.
2,41.38,69.91,41.38,69.91,42.21,69.91,1514959200,45.71,6,1515006000,38,0.27,partly-cloudy-day,1.11,0.75,Partly cloudy throughout the day.
3,46.72,75.11,46.72,75.11,47.7,75.11,1514959200,47.4,6,1515006000,10,0.27,partly-cloudy-day,1.48,0.67,Partly cloudy throughout the day.
4,47.25,75.89,47.25,75.89,48.23,75.89,1514959200,47.48,6,1515006000,17,0.27,partly-cloudy-day,1.49,0.66,Partly cloudy throughout the day.
5,35.84,75.93,35.84,75.93,40.05,75.93,1515823200,33.49,6,1515870000,26,0.06,clear-day,0.55,0.54,Partly cloudy throughout the day.
6,33.42,73.01,33.42,73.01,38.74,73.01,1515823200,33.36,6,1515870000,32,0.06,clear-day,0.53,0.58,Partly cloudy throughout the day.
7,34.13,74.62,34.13,74.62,34.22,74.62,1515996000,33.32,7,1516042800,128,0.07,clear-day,1.7,0.58,Partly cloudy throughout the day.
8,44.41,76.54,44.41,76.54,42.1,76.54,1516168800,38.58,6,1516215600,86,0.18,partly-cloudy-day,2.26,0.51,Partly cloudy throughout the day.
9,44.74,76.15,44.74,76.15,46.33,76.15,1516687200,35.97,5,1516730400,255,0.69,rain,2.55,0.45,Possible drizzle in the evening.
10,44.36,73.91,44.36,73.91,41.41,73.91,1517032800,46.5,7,1517079600,256,0.44,partly-cloudy-day,2.59,0.68,Mostly cloudy throughout the day.
11,44.82,59.57,40.53,59.57,46.94,59.57,1517292000,36.28,5,1517342400,84,0.81,partly-cloudy-day,5.72,0.57,Mostly cloudy throughout the day.
12,38.78,62.11,38.78,62.11,37.59,62.11,1517378400,43.32,4,1517425200,143,0.94,cloudy,1.83,0.75,Overcast throughout the day.
13,47.47,78.01,47.47,78.01,47.63,78.01,1517551200,50.49,8,1517598000,100,0.38,partly-cloudy-day,1.39,0.74,Partly cloudy throughout the day.
14,45.62,73.02,45.62,73.02,43.57,73.02,1517637600,50.81,5,1517680800,128,0.6,partly-cloudy-day,1.06,0.8,Mostly cloudy throughout the day.
15,55.66,80.46,55.66,80.46,54.34,80.46,1518588000,50.62,8,1518631200,116,0.46,partly-cloudy-day,3.12,0.59,Partly cloudy throughout the day.
16,53.95,77.99,53.95,77.99,50.41,77.99,1518588000,50.12,8,1518631200,104,0.46,partly-cloudy-day,2.94,0.63,Partly cloudy throughout the day.
17,55.67,80.52,55.67,80.52,54.3,80.52,1518588000,50.64,8,1518631200,116,0.46,partly-cloudy-day,3.12,0.59,Partly cloudy throughout the day.
18,52.02,78.85,52.02,78.85,54.03,78.85,1518760800,48.67,6,1518807600,257,0.44,partly-cloudy-day,1.99,0.59,Mostly cloudy throughout the day.
19,46.44,77.93,46.44,77.93,47.43,77.93,1519192800,45.35,9,1519239600,207,0.31,partly-cloudy-day,2.59,0.62,Partly cloudy throughout the day.
20,45.59,77.08,45.59,77.08,46.58,77.08,1519192800,45.3,9,1519239600,207,0.31,partly-cloudy-day,2.59,0.64,Partly cloudy throughout the day.
21,48.09,80.65,48.09,80.65,49.89,80.65,1519452000,46.09,9,1519498800,281,0.27,partly-cloudy-day,4.12,0.55,Partly cloudy throughout the day.
22,52.68,83.52,52.68,83.52,47.68,83.52,1519538400,50.19,7,1519581600,265,0.47,partly-cloudy-day,3.63,0.56,Partly cloudy throughout the day.
23,49.91,80.53,49.91,80.53,45.23,80.53,1519538400,49.56,7,1519581600,270,0.47,partly-cloudy-day,3.76,0.6,Partly cloudy throughout the day.
24,50.47,83.17,50.47,83.17,52.36,83.17,1519711200,47.08,7,1519758000,243,0.41,partly-cloudy-day,3.06,0.52,Partly cloudy throughout the day.
25,49.57,81.99,49.57,81.99,47.77,81.99,1519797600,48.67,8,1519844400,283,0.45,partly-cloudy-day,4.45,0.56,Partly cloudy throughout the day.
26,47.53,80.35,47.53,80.63,49.61,80.35,1520056800,51.76,10,1520103600,250,0.12,clear-day,2.83,0.66,Partly cloudy throughout the day.
27,48.31,81.2,48.31,81.2,50.46,81.2,1520056800,51.69,10,1520103600,260,0.12,clear-day,2.83,0.64,Partly cloudy throughout the day.
28,50.62,88.44,50.62,88.44,50.05,88.44,1520834400,39.92,11,1520881200,215,0.02,clear-day,1.85,0.42,Partly cloudy throughout the day.
29,51.57,89.39,51.57,89.39,50.82,89.39,1520834400,39.86,11,1520881200,215,0.03,clear-day,1.84,0.41,Partly cloudy throughout the day.
30,53.42,90.56,53.42,90.56,54.77,90.56,1520920800,40.22,11,1520967600,258,0.0,clear-day,3.72,0.36,Clear throughout the day.
31,53.71,90.83,53.71,90.83,55.07,90.83,1520920800,40.25,11,1520967600,258,0.0,clear-day,3.72,0.36,Clear throughout the day.
32,50.32,88.18,50.32,88.18,51.18,88.18,1520920800,37.45,11,1520967600,252,0.0,clear-day,4.33,0.38,Clear throughout the day.
