,Name of the Trail,Location,Level,Reviews,Links
0,Iztaccihuatl,Parque Nacional Iztaccíhuatl-Popocatépetl,DIFÍCIL,(22),https://www.alltrails.com/es/trail/mexico/san-pedro-nexapa/iztaccihuatl?ref=result-card
1,Boca de Tomatlan Trail,"Puerto Vallarta, Jalisco, México",MODERADA,(27),https://www.alltrails.com/es/trail/mexico/jalisco/boca-de-tomatlan-hike?ref=result-card
2,Cerro El Coronel,Sierra de San Pedro Mártir National Park,DIFÍCIL,(23),https://www.alltrails.com/es/trail/mexico/baja-california/cerro-el-coronel?ref=result-card
3,Malinche,La Malinche National Park,DIFÍCIL,(26),https://www.alltrails.com/es/trail/mexico/tlaxcala/malinche?ref=result-card
4,Coba Ruins,"Solidaridad, Quintana Roo, México",FÁCIL,(15),https://www.alltrails.com/es/trail/mexico/quintana-roo/coba-ruins?ref=result-card
5,Cañon de La Zorra,"Los Cabos, Baja California Sur, México",MODERADA,(9),https://www.alltrails.com/es/trail/mexico/baja-california-sur/canon-de-la-zorra?ref=result-card
6,Todos Santos Sugar Port Trail,"Todos Santos, Baja California Sur, México",MODERADA,(12),https://www.alltrails.com/es/trail/mexico/baja-california-sur/todos-santos-sugar-port-trail?ref=result-card
7,Tepozteco,"Tepoztlán, Morelos, México",MODERADA,(20),https://www.alltrails.com/es/trail/mexico/morelos/tepozteco?ref=result-card
8,Cerro de la Silla (Antenas),Monumento Natural Cerro de la Silla,DIFÍCIL,(15),https://www.alltrails.com/es/trail/mexico/nuevo-leon/cerro-de-la-silla-antenas?ref=result-card
9,Nevado de Toluca Lagoons Loop Trail,Parque Nacional Nevado de Toluca,MODERADA,(10),https://www.alltrails.com/es/trail/mexico/mexico/nevado-de-toluca-lagoons-loop-trail--4?ref=result-card
10,The Walled City,"Tulum, Quintana Roo, México",FÁCIL,(11),https://www.alltrails.com/es/trail/mexico/quintana-roo/the-walled-city?ref=result-card
11,El San Miguel,Parque Nacional Desierto de los Leones,DIFÍCIL,(9),https://www.alltrails.com/es/trail/mexico/distrito-federal/el-san-miguel?ref=result-card
12,Pico de Orizaba South Face Trail,"Municipio de La Perla, Veracruz de Ignacio de la Llave, México",DIFÍCIL,(9),https://www.alltrails.com/es/trail/mexico/veracruz/pico-de-orizaba-south-face-trail?ref=result-card
13,Camino al Convento Trail,Parque Nacional Desierto de los Leones,FÁCIL,(13),https://www.alltrails.com/es/trail/mexico/distrito-federal/camino-al-convento-trail?ref=result-card
14,Boca de Tomatlan to Quimixto Waterfall,"Puerto Vallarta, Jalisco, México",MODERADA,(11),https://www.alltrails.com/es/trail/mexico/jalisco/boca-de-tomatlan-to-quimixto-waterfall?ref=result-card
15,Nevado de Toluca El Fraile Loop Trail,Parque Nacional Nevado de Toluca,DIFÍCIL,(8),https://www.alltrails.com/es/trail/mexico/mexico/nevado-de-toluca-el-fraile-loop-trail--2?ref=result-card
16,Nevado de Toluca Rim Crater Trail,Parque Nacional Nevado de Toluca,DIFÍCIL,(5),https://www.alltrails.com/es/trail/mexico/mexico/nevado-de-toluca-rim-crater-trail?ref=result-card
17,Los Picachos,"Guanajuato, Gto, Mexico",MODERADA,(10),https://www.alltrails.com/es/trail/mexico/guanajuato/los-picachos?ref=result-card
18,Playa del Carmen Day Trip to Tulum,"Playa del Carmen, Quintana Roo, México",FÁCIL,(9),https://www.alltrails.com/es/trail/mexico/quintana-roo/playa-del-carmen-day-trip-to-tulum?ref=result-card
19,Mirador El Pinal,Reserva Nacional Chipinque,DIFÍCIL,(7),https://www.alltrails.com/es/trail/mexico/nuevo-leon/mirador-el-pinal?ref=result-card
20,Peña de Bernal,Peña de Bernal,MODERADA,(11),https://www.alltrails.com/es/trail/mexico/queretaro/pena-de-bernal?ref=result-card
21,El Faro Lighthouse,"Mazatlán, Sinaloa, México",MODERADA,(7),https://www.alltrails.com/es/trail/mexico/sinaloa/el-faro-lighthouse?ref=result-card
22,Pico del Águila,Parque Nacional Cumbres des Ajusco,DIFÍCIL,(8),https://www.alltrails.com/es/trail/mexico/distrito-federal/pico-del-aguila?ref=result-card
23,El Salto Waterfall Trail,"Ensenada, Baja California, México",FÁCIL,(11),https://www.alltrails.com/es/trail/mexico/baja-california/el-salto-waterfall-trail?ref=result-card
