,geojson,ent_abr,id_dest,nombre
0,"{""type"":""Point"",""coordinates"":[-102.294711977,21.8706184490001]}",Ags.,7101,"TP, Aguascalientes"
1,"{""type"":""Point"",""coordinates"":[-102.296227593,22.146483269]}",Ags.,15524,"Hotel y Restaurante-Bar San José, Rincón de Romos"
2,"{""type"":""Point"",""coordinates"":[-102.400994308,22.1414429550001]}",Ags.,15670,"Restaurante-Bar la Palapa, San José de Gracia"
3,"{""type"":""Point"",""coordinates"":[-109.596397106,23.5881710950001]}",B.C.S.,27421,"Restaurante Vianey, Los Cabos"
4,"{""type"":""Point"",""coordinates"":[-110.065430235,23.0147241020001]}",B.C.S.,27300,"Restaurante Migriño, Los Cabos"
5,"{""type"":""Point"",""coordinates"":[-109.755638815,23.371698988]}",B.C.S.,27334,"Restaurante Rancho Viejo, Los Cabos"
6,"{""type"":""Point"",""coordinates"":[-111.866173306,24.962853587]}",B.C.S.,24865,"Restaurante la Curvita, Comondú"
7,"{""type"":""Point"",""coordinates"":[-112.209343782,27.226385608]}",B.C.S.,25509,"Restaurante Balandra, Mulegé"
8,"{""type"":""Point"",""coordinates"":[-111.531781101,24.7245035400001]}",B.C.S.,26601,"Restaurante Brisas del Desierto, La Paz"
9,"{""type"":""Point"",""coordinates"":[-111.935731566,26.872618109]}",B.C.S.,25534,"Restaurante Carmelita, Mulegé"
10,"{""type"":""Point"",""coordinates"":[-114.012318876,28.006755508]}",B.C.,23335,"Restaurante la Espinita, San Quintín"
11,"{""type"":""Point"",""coordinates"":[-116.593972873,32.0577927680001]}",B.C.,17552,"Restaurante Laja, Ensenada"
12,"{""type"":""Point"",""coordinates"":[-111.628149314,26.418855464]}",B.C.S.,27839,"Restaurante Lupita, Loreto"
13,"{""type"":""Point"",""coordinates"":[-111.089754023,24.3790198190001]}",B.C.S.,26181,"Restaurante Miriam, La Paz"
14,"{""type"":""Point"",""coordinates"":[-111.093525257,24.3805102740001]}",B.C.S.,25616,"Restaurante Pénjamo, La Paz"
15,"{""type"":""Point"",""coordinates"":[-112.929190998,27.2889387990001]}",B.C.S.,25130,"Restaurante Quichule, Mulegé"
16,"{""type"":""Point"",""coordinates"":[-115.526809289,32.619920388]}",B.C.,5551,"Museo Valle de Mexicali, Mexicali"
17,"{""type"":""Point"",""coordinates"":[-109.596397106,23.5881710950001]}",B.C.S.,27421,"Restaurante Vianey, Los Cabos"
18,"{""type"":""Point"",""coordinates"":[-110.065430235,23.0147241020001]}",B.C.S.,27300,"Restaurante Migriño, Los Cabos"
19,"{""type"":""Point"",""coordinates"":[-109.755638815,23.371698988]}",B.C.S.,27334,"Restaurante Rancho Viejo, Los Cabos"
20,"{""type"":""Point"",""coordinates"":[-111.866173306,24.962853587]}",B.C.S.,24865,"Restaurante la Curvita, Comondú"
21,"{""type"":""Point"",""coordinates"":[-112.209343782,27.226385608]}",B.C.S.,25509,"Restaurante Balandra, Mulegé"
22,"{""type"":""Point"",""coordinates"":[-111.531781101,24.7245035400001]}",B.C.S.,26601,"Restaurante Brisas del Desierto, La Paz"
23,"{""type"":""Point"",""coordinates"":[-111.935731566,26.872618109]}",B.C.S.,25534,"Restaurante Carmelita, Mulegé"
24,"{""type"":""Point"",""coordinates"":[-111.628149314,26.418855464]}",B.C.S.,27839,"Restaurante Lupita, Loreto"
25,"{""type"":""Point"",""coordinates"":[-111.089754023,24.3790198190001]}",B.C.S.,26181,"Restaurante Miriam, La Paz"
26,"{""type"":""Point"",""coordinates"":[-111.093525257,24.3805102740001]}",B.C.S.,25616,"Restaurante Pénjamo, La Paz"
27,"{""type"":""Point"",""coordinates"":[-112.929190998,27.2889387990001]}",B.C.S.,25130,"Restaurante Quichule, Mulegé"
28,"{""type"":""Point"",""coordinates"":[-90.2673796829999,18.649574527]}",Camp.,31051,"Hotel y Restaurante Las Palmas, Escárcega"
29,"{""type"":""Point"",""coordinates"":[-89.4130684959999,18.480531607]}",Camp.,31365,"Restaurante la Cueva del Jaguar, Calakmul"
