,geometry.coordinates,geometry.type,id,properties.alert,properties.cdi,properties.code,properties.detail,properties.dmin,properties.felt,properties.gap,properties.ids,properties.mag,properties.magType,properties.mmi,properties.net,properties.nst,properties.place,properties.rms,properties.sig,properties.sources,properties.status,properties.time,properties.title,properties.tsunami,properties.type,properties.types,properties.tz,properties.updated,properties.url,type
0,"[-13.0395, -1.7531, 10]",Point,us700047g7,,,700047g7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700047g7&format=geojson,6.278,,49.0,",us700047g7,",5.0,mb,,us,,North of Ascension Island,1.05,385,",us,",reviewed,1561837880892,M 5.0 - North of Ascension Island,0,earthquake,",geoserve,moment-tensor,origin,phase-data,",-60,1562179078040,https://earthquake.usgs.gov/earthquakes/eventpage/us700047g7,Feature
1,"[-27.2372, -56.2781, 104.96]",Point,us700047fz,,,700047fz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700047fz&format=geojson,5.652,,90.0,",us700047fz,",5.3,mb,,us,,"47km N of Visokoi Island, South Georgia and the South Sandwich Islands",0.79,432,",us,",reviewed,1561837596750,"M 5.3 - 47km N of Visokoi Island, South Georgia and the South Sandwich Islands",0,earthquake,",geoserve,origin,phase-data,",-120,1561838529040,https://earthquake.usgs.gov/earthquakes/eventpage/us700047fz,Feature
2,"[122.5072, 22.2807, 10]",Point,us700047fu,,2.2,700047fu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700047fu&format=geojson,1.423,2.0,60.0,",us700047fu,",5.2,mww,,us,,"149km ESE of Taitung City, Taiwan",0.99,416,",us,",reviewed,1561837450531,"M 5.2 - 149km ESE of Taitung City, Taiwan",0,earthquake,",dyfi,geoserve,origin,phase-data,",480,1561863463118,https://earthquake.usgs.gov/earthquakes/eventpage/us700047fu,Feature
3,"[158.1824, -8.8913, 10]",Point,us700047fr,,,700047fr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700047fr&format=geojson,1.825,,56.0,",us700047fr,",5.1,mb,,us,,"132km SW of Dadali, Solomon Islands",1.02,400,",us,",reviewed,1561837002794,"M 5.1 - 132km SW of Dadali, Solomon Islands",0,earthquake,",geoserve,origin,phase-data,",660,1561838213040,https://earthquake.usgs.gov/earthquakes/eventpage/us700047fr,Feature
4,"[125.0903, 9.7129, 48.15]",Point,us700047eq,,4.5,700047eq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700047eq&format=geojson,2.67,18.0,96.0,",us700047eq,",5.0,mww,,us,,"30km SW of Pintuyan, Philippines",0.73,393,",us,",reviewed,1561834807383,"M 5.0 - 30km SW of Pintuyan, Philippines",0,earthquake,",dyfi,geoserve,origin,phase-data,",480,1561980818852,https://earthquake.usgs.gov/earthquakes/eventpage/us700047eq,Feature
5,"[126.8166, 8.3171, 52.89]",Point,us7000477y,,4.3,7000477y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000477y&format=geojson,1.743,5.0,107.0,",us7000477y,",5.0,mb,,us,,"45km ENE of Barcelona, Philippines",0.66,387,",us,",reviewed,1561795707883,"M 5.0 - 45km ENE of Barcelona, Philippines",0,earthquake,",dyfi,geoserve,origin,phase-data,",480,1563435199329,https://earthquake.usgs.gov/earthquakes/eventpage/us7000477y,Feature
6,"[108.9633, -8.1929, 78.89]",Point,us7000477c,,,7000477c,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000477c&format=geojson,1.569,,122.0,",us7000477c,",5.1,mb,,us,,"54km S of Karangbadar Kidul, Indonesia",0.84,400,",us,",reviewed,1561790824303,"M 5.1 - 54km S of Karangbadar Kidul, Indonesia",1,earthquake,",geoserve,origin,phase-data,",420,1563434222040,https://earthquake.usgs.gov/earthquakes/eventpage/us7000477c,Feature
7,"[166.0848, -12.5764, 10]",Point,us700046ut,,,700046ut,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700046ut&format=geojson,6.784,,46.0,",us700046ut,",5.1,mb,,us,,"207km S of Lata, Solomon Islands",0.92,400,",us,",reviewed,1561745665730,"M 5.1 - 207km S of Lata, Solomon Islands",0,earthquake,",geoserve,moment-tensor,origin,phase-data,",660,1561832476040,https://earthquake.usgs.gov/earthquakes/eventpage/us700046ut,Feature
8,"[144.4063, 19.8856, 410.03]",Point,us700046la,green,,700046la,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700046la&format=geojson,4.803,,34.0,",us700046la,pt19179000,at00pttg1w,",6.4,mww,3.003,us,,"88km SW of Farallon de Pajaros, Northern Mariana Islands",0.82,630,",us,pt,at,",reviewed,1561737091396,"M 6.4 - 88km SW of Farallon de Pajaros, Northern Mariana Islands",1,earthquake,",geoserve,ground-failure,impact-link,losspager,moment-tensor,origin,phase-data,shakemap,",600,1561831923040,https://earthquake.usgs.gov/earthquakes/eventpage/us700046la,Feature
9,"[-71.0244, -29.3602, 78.31]",Point,us700046ge,,3.8,700046ge,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us700046ge&format=geojson,0.448,17.0,123.0,",us700046ge,",5.0,mww,,us,,"64km NNE of La Serena, Chile",0.72,391,",us,",reviewed,1561710642818,"M 5.0 - 64km NNE of La Serena, Chile",0,earthquake,",dyfi,geoserve,moment-tensor,origin,phase-data,",-240,1563433473664,https://earthquake.usgs.gov/earthquakes/eventpage/us700046ge,Feature
