,coordenadas,id,magnitud,localidad,tsunami
188,"[-70.0028, -31.4782, 108]",us70003nha,5.5,"58km WSW of Calingasta, Argentina",0
62,"[-68.7982, -33.6488, 149.27]",us600043h2,5.5,"70km SSW of San Martin, Argentina",0
545,"[-63.2866, -28.2499, 577.65]",us1000j91e,5.5,"37km SSE of Suncho Corral, Argentina",0
174,"[-66.6429, -27.8854, 148.84]",us60003rvz,5.2,"46km SW of Andalgala, Argentina",0
210,"[-69.3931, -31.456, 105.45]",us70003lxa,5.1,"13km S of Calingasta, Argentina",0
308,"[-67.0884, -24.2469, 157.81]",us70003acf,5.1,"78km W of San Antonio de los Cobres, Argentina",0
516,"[-68.8567, -38.5233, 13.84]",us1000jbq5,5.0,"19km SSW of Anelo, Argentina",0
577,"[-64.6916, -23.4656, 10]",us2000jj5u,5.0,"29km NW of Yuto, Argentina",0
329,"[-63.1341, -28.2253, 589.62]",us7000377f,5.0,"39km NW of Anatuya, Argentina",0
186,"[-66.689, -23.1389, 195.81]",us70003nut,5.0,"102km W of El Aguilar, Argentina",0
274,"[-67.3963, -28.1444, 129.82]",us70003e2q,5.0,"18km ESE of Tinogasta, Argentina",0
312,"[-67.0144, -24.3453, 162.21]",us700039zu,5.0,"72km WSW of San Antonio de los Cobres, Argentina",0
