,coordenadas,id,magnitud,localidad,tsunami
170,"[-75.2697, -5.8119, 122.57]",us60003sc0,8.0,"78km SE of Lagunas, Peru",1
219,"[152.6001, -4.0509, 10]",us70003kyy,7.6,"46km SSE of Namatanai, Papua New Guinea",1
560,"[-77.0505, -2.1862, 145]",us2000jlfv,7.5,"111km ESE of Palora, Ecuador",1
32,"[129.1692, -6.4078, 212]",us600044zz,7.3,"292km NW of Saumlaki, Indonesia",1
99,"[-178.106, -30.644, 46]",us6000417i,7.3,"115km NE of L'Esperance Rock, New Zealand",1
249,"[146.4494, -6.9746, 146]",us70003hqb,7.1,"33km NW of Bulolo, Papua New Guinea",1
542,"[-70.1546, -14.7131, 267]",us1000j96d,7.0,"23km NNE of Azangaro, Peru",1
788,"[-71.587, -8.144, 570.41]",us2000j0ja,6.8,"90km W of Tarauaca, Brazil",0
355,"[122.5798, -1.8146, 15.46]",us700034xq,6.8,"98km SSW of Luwuk, Indonesia",1
713,"[-71.3815, -30.0404, 63]",us2000j6hy,6.7,"10km SSW of Coquimbo, Chile",1
