Player,Attempts,Debut year,Last year,Years played,Completions,Yards,TD,Interceptions,Passer Rating
Aaron Rodgers,5492,2005,2018,13,3560,42944,338,80,103.1
Russell Wilson,3261,2012,2018,6,2095,25624,196,63,100.3
Drew Brees,9783,2001,2018,17,6586,74437,520,233,97.7
Tom Brady,9375,2000,2018,18,6004,70514,517,171,97.6
Tony Romo,4335,2004,2016,12,2829,34183,248,117,97.1
Steve Young+,4149,1985,1999,14,2667,33124,232,107,96.8
Peyton Manning,9380,1998,2015,17,6125,71940,539,251,96.5
Philip Rivers,7000,2004,2018,14,4518,54656,374,178,95.6
Kirk Cousins,2702,2012,2018,6,1797,20504,129,65,95.0
Matt Ryan,6201,2008,2018,10,4052,46720,295,133,94.9
Ben Roethlisberger,7168,2004,2018,14,4616,56194,363,190,94.2
Kurt Warner+,4070,1998,2009,11,2666,32344,208,128,93.7
Joe Montana+,5391,1979,1994,15,3409,40551,273,139,92.3
Chad Pennington,2471,2000,2010,10,1632,17823,102,64,90.1
Andrew Luck,3290,2012,2018,6,2000,23671,171,83,89.5
Matt Schaub,3281,2004,2018,14,2098,24887,133,90,89.1
Andy Dalton,3921,2011,2018,7,2443,28100,188,104,88.8
Derek Carr,2800,2014,2018,4,1759,18739,122,54,88.8
Matthew Stafford,5405,2009,2018,9,3372,38526,237,129,88.4
Carson Palmer,6307,2004,2017,13,3941,46247,294,187,87.9
Jameis Winston,1922,2015,2018,3,1183,14628,88,58,87.8
Daunte Culpepper,3199,1999,2009,10,2016,24153,149,106,87.8
Jeff Garcia,3676,1999,2009,10,2264,25537,161,83,87.5
Alex Smith,4941,2005,2018,13,3082,34068,193,101,87.3
Ryan Tannehill,2911,2012,2018,6,1829,20434,123,75,87.0
Otto Graham+,2626,1946,1955,9,1464,23584,174,135,86.6
Cam Newton,3891,2011,2018,7,2321,28469,182,107,86.4
Dan Marino+,8358,1983,1999,16,4967,61361,420,252,86.4
Brett Favre+,10169,1991,2010,19,6300,71838,508,336,86.0
Trent Green,3740,1997,2008,11,2266,28475,162,114,86.0
David Garrard,2281,2002,2010,8,1406,16003,89,54,85.8
Donovan McNabb,5374,1999,2011,12,3170,37276,234,117,85.6
Jay Cutler,4920,2006,2017,11,3048,35133,227,160,85.3
Rich Gannon,4206,1987,2004,17,2533,28743,180,104,84.7
Sam Bradford,2967,2010,2018,8,1855,19449,103,61,84.5
Marc Bulger,3171,2002,2009,7,1969,22814,122,93,84.4
Jim Kelly+,4779,1986,1996,10,2874,35467,237,175,84.4
Joe Flacco,5670,2008,2018,10,3499,38245,212,136,84.1
Eli Manning,7972,2004,2018,14,4804,55981,360,239,84.1
Mark Brunell,4640,1994,2011,17,2761,32072,184,108,84.0
Roger Staubach+,2958,1969,1979,10,1685,22700,153,109,83.4
Steve McNair,4544,1995,2007,12,2733,31304,174,119,82.8
Brian Griese,2796,1998,2008,10,1752,19440,119,99,82.7
Neil Lomax,3153,1981,1988,7,1817,22771,136,90,82.7
Sonny Jurgensen+,4262,1957,1974,17,2433,32224,255,189,82.6
Len Dawson+,3741,1957,1975,18,2136,28711,239,183,82.6
Brad Johnson,4326,1994,2008,14,2668,29054,166,122,82.5
Matt Hasselbeck,5330,1999,2015,16,3222,36638,212,153,82.4
Ken Anderson,4475,1971,1986,15,2654,32838,197,160,81.9
Bernie Kosar,3365,1985,1996,11,1994,23301,124,87,81.8
Neil O'Donnell,3229,1991,2003,12,1865,21690,120,68,81.8
Jason Campbell,2518,2006,2014,8,1519,16771,87,60,81.7
Danny White,2950,1976,1988,12,1761,21959,155,132,81.7
Troy Aikman+,4715,1989,2000,11,2898,32942,165,141,81.6
Randall Cunningham,4289,1985,2001,16,2429,29979,207,134,81.5
Dave Krieg,5311,1980,1998,18,3105,38147,261,199,81.5
Jake Delhomme,2932,1999,2011,12,1741,20975,126,101,81.3
Kyle Orton,2712,2005,2014,9,1613,18037,101,69,81.2
Ryan Fitzpatrick,4285,2005,2018,13,2575,29357,190,148,81.1
Boomer Esiason,5205,1984,1997,13,2969,37920,247,184,81.1
Warren Moon+,6823,1984,2000,16,3988,49325,291,233,80.9
Blake Bortles,2632,2014,2018,4,1561,17646,103,75,80.6
Jeff Hostetler,2338,1985,1997,12,1357,16430,94,71,80.5
Bart Starr+,3149,1956,1971,15,1808,24718,152,138,80.5
Michael Vick,3217,2001,2015,14,1807,22464,133,88,80.4
Ken O'Brien,3602,1984,1993,9,2110,25094,128,98,80.4
Fran Tarkenton+,6467,1961,1978,17,3686,47003,342,266,80.4
Jeff George,3967,1990,2001,11,2298,27602,154,113,80.4
Steve Beuerlein,3328,1988,2003,15,1894,24046,147,112,80.3
Dan Fouts+,5604,1973,1987,14,3297,43040,254,242,80.2
John Elway+,7250,1983,1998,15,4123,51475,300,226,79.9
Tony Eason,1564,1983,1990,7,911,11142,61,51,79.7
Josh McCown,2628,2002,2018,16,1581,17707,98,82,79.7
Elvis Grbac,2445,1994,2001,7,1446,16774,99,81,79.6
Chris Chandler,4005,1988,2004,16,2328,28484,170,146,79.1
Mark Rypien,2613,1988,2001,13,1466,18473,115,88,78.9
Jim Everett,4923,1986,1997,11,2841,34837,203,175,78.6
Phil Simms,4647,1979,1993,14,2576,33462,199,157,78.5
Aaron Brooks,2963,2000,2006,6,1673,20261,123,92,78.5
Matt Cassel,2683,2005,2018,13,1578,17508,104,82,78.5
Jim McMahon,2573,1982,1996,14,1492,18148,100,90,78.2
Johnny Unitas+,5186,1956,1973,17,2830,40239,290,253,78.2
Bert Jones,2551,1973,1982,9,1430,18190,124,101,78.2
Bobby Hebert,3121,1985,1996,11,1839,21683,135,124,78.0
Jeff Blake,3241,1992,2005,13,1827,21711,134,99,78.0
Jim Harbaugh,3918,1987,2000,13,2305,26288,129,117,77.6
Frank Ryan,2133,1958,1970,12,1090,16042,149,111,77.6
Josh Freeman,2048,2009,2015,6,1179,13873,81,68,77.6
Joe Theismann,3602,1974,1985,11,2044,25206,160,138,77.4
Jon Kitna,4442,1997,2011,14,2677,29745,169,165,77.4
Charlie Batch,1604,1998,2012,14,908,11085,61,52,77.2
Drew Bledsoe,6717,1993,2006,13,3839,44611,251,206,77.1
Jay Fiedler,1717,1995,2005,10,1008,11844,69,66,77.1
Bob Griese+,3429,1967,1980,13,1926,25092,192,172,77.1
Bill Kenney,2430,1980,1988,8,1330,17277,105,86,77.0
Gary Danielson,1932,1976,1988,12,1105,13764,81,78,76.6
Erik Kramer,2299,1987,1999,12,1317,15337,92,79,76.6
Doug Flutie,2151,1986,2005,19,1177,14715,86,68,76.3
